axis,axis_value,dependency_span,family_id,model_type,nuisance_count,predictive_order,raw_length,target_margin,top1_correct
length,4,1,"length:(3, 1):106",transformer,0,2,4,12.450789451599121,1
length,4,1,"length:(3, 0):107",transformer,0,2,4,13.528022766113281,1
length,4,1,"length:(0, 3):108",transformer,0,2,4,6.032934188842773,1
length,4,1,"length:(3, 3):109",transformer,0,2,4,6.148487091064453,1
length,4,1,"length:(0, 2):110",transformer,0,2,4,4.057397842407227,1
length,4,1,"length:(2, 0):111",transformer,0,2,4,6.12005615234375,1
length,4,1,"length:(0, 3):112",transformer,0,2,4,6.032934188842773,1
length,4,1,"length:(0, 2):113",transformer,0,2,4,4.057397842407227,1
length,4,1,"length:(0, 2):114",transformer,0,2,4,4.057397842407227,1
length,4,1,"length:(2, 3):115",transformer,0,2,4,5.789499282836914,1
length,4,1,"length:(3, 1):116",transformer,0,2,4,12.450789451599121,1
length,4,1,"length:(3, 1):117",transformer,0,2,4,12.450789451599121,1
length,4,1,"length:(3, 1):118",transformer,0,2,4,12.450789451599121,1
length,4,1,"length:(0, 3):119",transformer,0,2,4,6.032934188842773,1
length,4,1,"length:(1, 1):120",transformer,0,2,4,13.8583345413208,1
length,4,1,"length:(2, 0):121",transformer,0,2,4,6.12005615234375,1
length,4,1,"length:(2, 3):122",transformer,0,2,4,5.789499282836914,1
length,4,1,"length:(0, 1):123",transformer,0,2,4,7.86939811706543,1
length,4,1,"length:(3, 2):124",transformer,0,2,4,11.583038330078125,1
length,4,1,"length:(0, 1):125",transformer,0,2,4,7.86939811706543,1
length,4,1,"length:(2, 1):126",transformer,0,2,4,9.141653060913086,1
length,4,1,"length:(2, 3):127",transformer,0,2,4,5.789499282836914,1
length,8,1,"length:(2, 2):0",transformer,0,2,8,14.604180335998535,1
length,8,1,"length:(2, 0):1",transformer,0,2,8,8.478178024291992,1
length,8,1,"length:(0, 2):2",transformer,0,2,8,5.155251502990723,1
length,8,1,"length:(1, 3):3",transformer,0,2,8,12.939628601074219,1
length,8,1,"length:(3, 0):4",transformer,0,2,8,13.107444763183594,1
length,8,1,"length:(0, 2):5",transformer,0,2,8,5.155251502990723,1
length,8,1,"length:(1, 3):6",transformer,0,2,8,12.939628601074219,1
length,8,1,"length:(0, 3):7",transformer,0,2,8,7.829458236694336,1
length,8,1,"length:(1, 3):8",transformer,0,2,8,12.939628601074219,1
length,8,1,"length:(1, 1):9",transformer,0,2,8,9.21438217163086,1
length,8,1,"length:(1, 3):10",transformer,0,2,8,12.939628601074219,1
length,8,1,"length:(3, 0):11",transformer,0,2,8,13.107444763183594,1
length,8,1,"length:(3, 0):12",transformer,0,2,8,13.107444763183594,1
length,8,1,"length:(3, 0):13",transformer,0,2,8,13.107444763183594,1
length,8,1,"length:(1, 3):14",transformer,0,2,8,12.939628601074219,1
length,8,1,"length:(1, 0):15",transformer,0,2,8,6.617269515991211,1
length,8,1,"length:(0, 3):16",transformer,0,2,8,7.829458236694336,1
length,8,1,"length:(0, 0):17",transformer,0,2,8,16.58287811279297,1
length,8,1,"length:(0, 3):18",transformer,0,2,8,7.829458236694336,1
length,8,1,"length:(1, 1):19",transformer,0,2,8,9.21438217163086,1
length,8,1,"length:(1, 3):20",transformer,0,2,8,12.939628601074219,1
length,8,1,"length:(2, 3):21",transformer,0,2,8,4.823009490966797,1
length,8,1,"length:(1, 1):22",transformer,0,2,8,9.21438217163086,1
length,8,1,"length:(1, 3):23",transformer,0,2,8,12.939628601074219,1
length,8,1,"length:(3, 0):24",transformer,0,2,8,13.107444763183594,1
length,8,1,"length:(2, 2):25",transformer,0,2,8,14.604180335998535,1
length,8,1,"length:(3, 3):26",transformer,0,2,8,4.172857284545898,1
length,8,1,"length:(1, 1):27",transformer,0,2,8,9.21438217163086,1
length,8,1,"length:(0, 2):28",transformer,0,2,8,5.155251502990723,1
length,8,1,"length:(2, 3):29",transformer,0,2,8,4.823009490966797,1
length,8,1,"length:(1, 2):30",transformer,0,2,8,12.003175735473633,1
length,8,1,"length:(3, 3):31",transformer,0,2,8,4.172857284545898,1
length,8,1,"length:(0, 3):32",transformer,0,2,8,7.829458236694336,1
length,8,1,"length:(0, 3):33",transformer,0,2,8,7.829458236694336,1
length,8,1,"length:(0, 0):34",transformer,0,2,8,16.58287811279297,1
length,8,1,"length:(3, 1):35",transformer,0,2,8,13.080442428588867,1
length,8,1,"length:(2, 2):36",transformer,0,2,8,14.604180335998535,1
length,8,1,"length:(1, 1):37",transformer,0,2,8,9.21438217163086,1
length,8,1,"length:(3, 1):38",transformer,0,2,8,13.080442428588867,1
length,8,1,"length:(2, 1):39",transformer,0,2,8,10.062078475952148,1
length,8,1,"length:(0, 3):40",transformer,0,2,8,7.829458236694336,1
length,8,1,"length:(0, 0):41",transformer,0,2,8,16.58287811279297,1
length,8,1,"length:(2, 1):42",transformer,0,2,8,10.062078475952148,1
length,8,1,"length:(0, 2):43",transformer,0,2,8,5.155251502990723,1
length,8,1,"length:(0, 0):44",transformer,0,2,8,16.58287811279297,1
length,8,1,"length:(0, 1):45",transformer,0,2,8,8.695783615112305,1
length,8,1,"length:(0, 2):46",transformer,0,2,8,5.155251502990723,1
length,8,1,"length:(3, 0):47",transformer,0,2,8,13.107444763183594,1
length,8,1,"length:(3, 1):48",transformer,0,2,8,13.080442428588867,1
length,8,1,"length:(2, 3):49",transformer,0,2,8,4.823009490966797,1
length,8,1,"length:(2, 1):50",transformer,0,2,8,10.062078475952148,1
length,8,1,"length:(3, 3):51",transformer,0,2,8,4.172857284545898,1
length,8,1,"length:(3, 3):52",transformer,0,2,8,4.172857284545898,1
length,8,1,"length:(0, 3):53",transformer,0,2,8,7.829458236694336,1
length,8,1,"length:(3, 2):54",transformer,0,2,8,11.176802635192871,1
length,8,1,"length:(2, 1):55",transformer,0,2,8,10.062078475952148,1
length,8,1,"length:(0, 1):56",transformer,0,2,8,8.695783615112305,1
length,8,1,"length:(3, 3):57",transformer,0,2,8,4.172857284545898,1
length,8,1,"length:(2, 1):58",transformer,0,2,8,10.062078475952148,1
length,8,1,"length:(3, 2):59",transformer,0,2,8,11.176802635192871,1
length,8,1,"length:(3, 3):60",transformer,0,2,8,4.172857284545898,1
length,8,1,"length:(3, 1):61",transformer,0,2,8,13.080442428588867,1
length,8,1,"length:(1, 1):62",transformer,0,2,8,9.21438217163086,1
length,8,1,"length:(2, 3):63",transformer,0,2,8,4.823009490966797,1
length,8,1,"length:(2, 1):64",transformer,0,2,8,10.062078475952148,1
length,8,1,"length:(2, 3):65",transformer,0,2,8,4.823009490966797,1
length,8,1,"length:(1, 1):66",transformer,0,2,8,9.21438217163086,1
length,8,1,"length:(3, 3):67",transformer,0,2,8,4.172857284545898,1
length,8,1,"length:(3, 3):68",transformer,0,2,8,4.172857284545898,1
length,8,1,"length:(2, 2):69",transformer,0,2,8,14.604180335998535,1
length,8,1,"length:(0, 3):70",transformer,0,2,8,7.829458236694336,1
length,8,1,"length:(0, 0):71",transformer,0,2,8,16.58287811279297,1
