axis,axis_value,computation_index,family_id,hidden_norm,hidden_pair_distance,model_type,target_margin,top1_correct
length,32,0,"length:(3, 0):13",,,transformer,-23.88418960571289,0
length,32,1,"length:(3, 0):13",,,transformer,-16.193580627441406,0
length,32,2,"length:(3, 0):13",,,transformer,0.6893329620361328,1
length,32,3,"length:(3, 0):13",,,transformer,6.828073501586914,1
length,32,4,"length:(3, 0):13",,,transformer,14.152412414550781,1
length,32,0,"length:(1, 3):14",,,transformer,-25.306743621826172,0
length,32,1,"length:(1, 3):14",,,transformer,-3.502739906311035,0
length,32,2,"length:(1, 3):14",,,transformer,5.626068115234375,1
length,32,3,"length:(1, 3):14",,,transformer,12.650219917297363,1
length,32,4,"length:(1, 3):14",,,transformer,15.898128509521484,1
length,32,0,"length:(1, 0):15",,,transformer,-24.259206771850586,0
length,32,1,"length:(1, 0):15",,,transformer,-15.533539772033691,0
length,32,2,"length:(1, 0):15",,,transformer,-5.555091857910156,0
length,32,3,"length:(1, 0):15",,,transformer,8.05417537689209,1
length,32,4,"length:(1, 0):15",,,transformer,11.282034873962402,1
span,1,0,"span:(1, 3):0",,,transformer,-25.306743621826172,0
span,1,1,"span:(1, 3):0",,,transformer,-1.9256563186645508,0
span,1,2,"span:(1, 3):0",,,transformer,4.407530784606934,1
span,1,3,"span:(1, 3):0",,,transformer,10.561851501464844,1
span,1,4,"span:(1, 3):0",,,transformer,14.4645357131958,1
span,1,0,"span:(1, 3):1",,,transformer,-25.306743621826172,0
span,1,1,"span:(1, 3):1",,,transformer,-1.9256563186645508,0
span,1,2,"span:(1, 3):1",,,transformer,4.407530784606934,1
span,1,3,"span:(1, 3):1",,,transformer,10.561851501464844,1
span,1,4,"span:(1, 3):1",,,transformer,14.4645357131958,1
