abstraction_level,angular_concentration,between_cosine_distance,common_energy_fraction,component,effective_rank,family,layer,model_setting,n,natural,parent_id,seed,within_cosine_distance
root,0.8247151133295052,1.0053068534161478,0.6782785322611236,sa,1.1007591240595964,relation,0,tiny-w48-l3-h3,6,False,synthetic:relation:p1,11,0.3830668549715017
parent,0.9247969250768379,0.8557582338229919,0.846239756836799,sa,1.372542390436341,relation,0,tiny-w48-l3-h3,6,True,natural:relation:social,11,0.1725437445945067
parent,0.9684935582974362,0.7908463073884696,0.9333689198457767,sa,1.53268110430123,relation,0,tiny-w48-l3-h3,6,True,natural:relation:spatial,11,0.07407437103708214
root,0.7852080250424033,0.928592849912701,0.6080873707979491,sa,1.4850641317788018,relation,0,tiny-w48-l3-h3,6,True,natural:relation:social,11,0.45867879064045347
root,0.9664707379371773,0.9069040285866452,0.9327968767152239,sa,1.5712993437051634,relation,0,tiny-w48-l3-h3,6,True,natural:relation:spatial,11,0.07910320947126658
parent,0.9534798169780903,0.7391020214234229,0.9073487042425605,ff,1.2187839943385768,action,1,tiny-w48-l3-h3,6,False,synthetic:action:p0,11,0.10899736316957084
parent,0.9816873395734724,0.7379244147820974,0.9603390014800532,ff,1.6586681583434564,action,1,tiny-w48-l3-h3,6,False,synthetic:action:p1,11,0.04349397177285871
root,0.9370599151164188,0.8175221229060449,0.8631358913428941,ff,1.1352348537251133,action,1,tiny-w48-l3-h3,6,False,synthetic:action:p0,11,0.143748898060577
root,0.9608321266097751,0.8068012612302398,0.9102355145853801,ff,1.1935666477373943,action,1,tiny-w48-l3-h3,6,False,synthetic:action:p1,11,0.09111930830654445
parent,0.9630853947346208,0.7336135944986925,0.927411758464354,ff,1.0748503333583754,action,1,tiny-w48-l3-h3,6,True,natural:action:communication,11,0.08695522340198746
parent,0.9227809101815753,0.7282413789953205,0.8507731124346731,ff,1.0182428337964726,action,1,tiny-w48-l3-h3,6,True,natural:action:movement,11,0.17798544402867425
root,0.9672706177672631,0.7945283011847718,0.9353852424737656,ff,1.158005340063897,action,1,tiny-w48-l3-h3,6,True,natural:action:communication,11,0.0772637078548298
root,0.9523592748093486,0.7792335148956067,0.9000917272723356,ff,1.0902839813580043,action,1,tiny-w48-l3-h3,6,True,natural:action:movement,11,0.11066869417538351
parent,0.9686395794253855,0.7609531184415801,0.9363043923713149,ff,1.340815754454074,noun,1,tiny-w48-l3-h3,6,False,synthetic:noun:p0,11,0.07406620411917451
parent,0.9681088079074059,0.7322410167805035,0.9279351567397184,ff,1.049816277091739,noun,1,tiny-w48-l3-h3,6,False,synthetic:noun:p1,11,0.07449957836041401
root,0.9657071847470493,0.8110900630486985,0.9314131659688992,ff,1.4115743710214086,noun,1,tiny-w48-l3-h3,6,False,synthetic:noun:p0,11,0.08086745606938374
root,0.9599283399126496,0.8108720824590557,0.9099454536989677,ff,1.088300475015068,noun,1,tiny-w48-l3-h3,6,False,synthetic:noun:p1,11,0.09295935848713956
parent,0.9902859315796896,0.7345007717232939,0.9584813361916017,ff,1.113011664182159,noun,1,tiny-w48-l3-h3,6,True,natural:noun:bird,11,0.022722207236831174
parent,0.901341980233505,0.7636647806360318,0.8119733632960913,ff,1.0222145975613102,noun,1,tiny-w48-l3-h3,6,True,natural:noun:mammal,11,0.22502230375715251
