abstraction_level,between_parent_dispersion,cross_template_cosine,effective_rank,family,hierarchy_rsa_spearman,layer,location,model_setting,n_items,natural,normalized_separation,permuted_neighbor_recovery,seed,tree_neighbor_recovery,within_parent_dispersion
parent,0.5568222106870654,0.8698347753875174,2.2037933874554487,noun,0.6210590034081188,1,post_block,tiny-w32-l2-h2,4,False,0.38755998982812595,0.0,11,0.75,0.3410202003771117
root,0.6088555379178544,0.8549383293130641,2.2374481960468686,noun,0.8280786712108251,1,post_block,tiny-w32-l2-h2,4,False,0.4095542025094493,0.0,11,1.0,0.3594961936424458
parent,0.413870519331817,0.7442633753223675,2.677667597496347,noun,0.20701966780270628,1,post_block,tiny-w32-l2-h2,4,True,0.11828850991880456,0.25,11,0.5,0.3649143923007346
root,0.36937223663542074,0.8487819487697025,2.6716311674101854,noun,0.6210590034081188,1,post_block,tiny-w32-l2-h2,4,True,0.2274451915194191,0.25,11,0.75,0.28536029753192127
parent,0.33067263980759687,0.8554009319084277,2.451969627585673,relation,-0.6210590034081188,1,post_block,tiny-w32-l2-h2,4,False,-0.3421103607205221,0.25,11,0.0,0.4437991758925811
root,0.28391141057237734,0.9027569097903955,2.4831885506558637,relation,-0.6210590034081188,1,post_block,tiny-w32-l2-h2,4,False,-0.3503887976583351,0.25,11,0.0,0.38339078836431456
parent,0.7465346156602385,0.7858210648852197,1.9799321228853013,relation,0.8280786712108251,1,post_block,tiny-w32-l2-h2,4,True,0.4283038370518824,0.0,11,1.0,0.42679097528090604
root,0.6467734084081433,0.8647714250155594,2.2971656607193416,relation,0.8280786712108251,1,post_block,tiny-w32-l2-h2,4,True,0.4131979791010917,0.0,11,1.0,0.3795279431175735
parent,0.5384804242309731,0.8647493558482277,1.9838691259857688,action,0.8280786712108251,1,post_sa,tiny-w32-l2-h2,4,False,0.48170434449611954,0.0,11,1.0,0.2790920644527998
root,0.5111005133444224,0.8667402624350712,2.0581234641060715,action,0.8280786712108251,1,post_sa,tiny-w32-l2-h2,4,False,0.45086263316896674,0.0,11,1.0,0.2806643900839455
parent,0.5740206744785605,0.8144302276027983,2.7362599455004286,action,0.41403933560541256,1,post_sa,tiny-w32-l2-h2,4,True,0.07531294179541857,0.0,11,0.5,0.5307894888321898
root,0.3718362550098089,0.8591222640957185,2.725408222634597,action,-0.20701966780270628,1,post_sa,tiny-w32-l2-h2,4,True,-0.10226737210020925,0.25,11,0.25,0.4098629716612453
parent,0.5688377991172319,0.848471292345251,2.462918004441826,noun,0.0,1,post_sa,tiny-w32-l2-h2,4,False,0.21524846429032327,0.25,11,0.25,0.4463963364269603
root,0.5968586852280299,0.8571212690573243,2.5892539626268927,noun,0.0,1,post_sa,tiny-w32-l2-h2,4,False,0.22449401634679636,0.25,11,0.25,0.46286748178972115
parent,0.4562750662660439,0.7526649929563551,2.702217541394165,noun,0.20701966780270628,1,post_sa,tiny-w32-l2-h2,4,True,0.026835932682328593,0.25,11,0.5,0.44403049930310334
root,0.4080162367199437,0.8444781299201577,2.7803636131231273,noun,0.6210590034081188,1,post_sa,tiny-w32-l2-h2,4,True,0.15124053989971586,0.25,11,0.75,0.34630764079056914
parent,0.38193086769715257,0.8232111895740495,2.5602878629537735,relation,-0.41403933560541256,1,post_sa,tiny-w32-l2-h2,4,False,-0.2539156246353948,0.25,11,0.0,0.4789090825360134
root,0.3117554274937835,0.8946370728263298,2.4636476757830383,relation,-0.41403933560541256,1,post_sa,tiny-w32-l2-h2,4,False,-0.2468582520422306,0.25,11,0.0,0.38871482738957724
parent,0.7203396931153672,0.7956345268567807,2.217220647088351,relation,0.6210590034081188,1,post_sa,tiny-w32-l2-h2,4,True,0.2406148862664775,0.0,11,0.75,0.5470152397831838
root,0.631092707118318,0.8664585394831109,2.557059460749971,relation,0.8280786712108251,1,post_sa,tiny-w32-l2-h2,4,True,0.21839892986651155,0.0,11,1.0,0.49326273523711756
parent,0.5230389218649103,0.9168626668956658,2.178096720946161,action,0.8280786712108251,1,pre_sa,tiny-w32-l2-h2,4,False,0.4146449119783386,0.0,11,1.0,0.30616349414698946
root,0.5225474034290807,0.9205208290338548,2.1445834899856866,action,0.8280786712108251,1,pre_sa,tiny-w32-l2-h2,4,False,0.4322658356045809,0.0,11,1.0,0.2966680134428051
parent,0.49824483522286367,0.9095831180684645,2.8251381853261206,action,0.20701966780270628,1,pre_sa,tiny-w32-l2-h2,4,True,0.030123363982623715,0.0,11,0.5,0.48323602469898297
root,0.3692268940498681,0.917870164433081,2.7829082136827714,action,-0.20701966780270628,1,pre_sa,tiny-w32-l2-h2,4,True,-0.12373241203437067,0.25,11,0.25,0.4149122282386173
parent,0.6784458750959104,0.8849746389153491,2.48859190647344,noun,0.20701966780270628,1,pre_sa,tiny-w32-l2-h2,4,False,0.2723564357196557,0.0,11,0.5,0.4936667747260855
