component,family,layer,mean_update_cosine,model_setting,natural,parent_id,seed,shared_update_explained_variance,shared_update_rank
ff,noun,0,0.9033906539258111,tiny-w32-l2-h2,False,synthetic:noun:p1,23,0.7888928408043717,1.9905365494289966
ff,noun,0,0.8792385140129862,tiny-w32-l2-h2,True,natural:noun:bird,23,0.753636723928752,1.8128787497056222
ff,noun,0,0.8252890308956049,tiny-w32-l2-h2,True,natural:noun:mammal,23,0.6880921973144711,1.9317820220928188
ff,relation,0,0.9349964076200893,tiny-w32-l2-h2,False,synthetic:relation:p0,23,0.869240788957337,1.6183758559196602
ff,relation,0,0.789645605915639,tiny-w32-l2-h2,False,synthetic:relation:p1,23,0.6230970831575114,1.3934791078074047
ff,relation,0,0.9026386932648568,tiny-w32-l2-h2,True,natural:relation:social,23,0.8071405649131224,1.67508441856246
ff,relation,0,0.7905983971197186,tiny-w32-l2-h2,True,natural:relation:spatial,23,0.6067880671561782,1.3670352711691598
sa,action,0,0.8134063890866697,tiny-w32-l2-h2,False,synthetic:action:p0,23,0.6644466937564992,1.3394136731004147
sa,action,0,0.776021707691898,tiny-w32-l2-h2,False,synthetic:action:p1,23,0.5956873007693853,1.3522861204969925
sa,action,0,0.8090966387958957,tiny-w32-l2-h2,True,natural:action:communication,23,0.6472423976367578,1.9254990272749057
sa,action,0,0.8096793503453755,tiny-w32-l2-h2,True,natural:action:movement,23,0.6424868801104502,2.6141582402347683
sa,noun,0,0.7128296367319672,tiny-w32-l2-h2,False,synthetic:noun:p0,23,0.5114423698213231,1.2768955905914552
sa,noun,0,0.752152513875563,tiny-w32-l2-h2,False,synthetic:noun:p1,23,0.5689024334094395,1.3815239801048305
sa,noun,0,0.8490192598517593,tiny-w32-l2-h2,True,natural:noun:bird,23,0.7136061244051003,1.8952581758490192
sa,noun,0,0.7463892898849198,tiny-w32-l2-h2,True,natural:noun:mammal,23,0.5431042841258872,1.8305763540345084
sa,relation,0,0.8365505186030403,tiny-w32-l2-h2,False,synthetic:relation:p0,23,0.69113259771025,1.6871889398052127
sa,relation,0,0.8106167012128962,tiny-w32-l2-h2,False,synthetic:relation:p1,23,0.6526896062471019,1.666399766716352
sa,relation,0,0.880583996007946,tiny-w32-l2-h2,True,natural:relation:social,23,0.7669445445066948,1.9891077146115888
sa,relation,0,0.7315478999742968,tiny-w32-l2-h2,True,natural:relation:spatial,23,0.5184104078337475,2.164393859230642
ff,action,1,0.591915014586911,tiny-w32-l2-h2,False,synthetic:action:p0,23,0.3308302588517852,1.759799252367436
ff,action,1,0.7363074708994124,tiny-w32-l2-h2,False,synthetic:action:p1,23,0.5448027894847298,2.181882909568341
ff,action,1,0.8563552408518426,tiny-w32-l2-h2,True,natural:action:communication,23,0.7158051060469884,2.5139660475139776
ff,action,1,0.7182264204624467,tiny-w32-l2-h2,True,natural:action:movement,23,0.5069296314561228,2.0046643140935303
ff,noun,1,0.7933460975331713,tiny-w32-l2-h2,False,synthetic:noun:p0,23,0.6259867804376819,2.021517835920174
ff,noun,1,0.7740786236731906,tiny-w32-l2-h2,False,synthetic:noun:p1,23,0.5938040933902364,1.87478176981743
