abstraction_level,between_category_variance,category_id,family,fisher_separation_ratio,layer,location,mean_js_to_category_centroid,mean_within_example_entropy_bits,model_setting,n_entities,n_realizations,natural,nuisance_context_variance,residual_covariance_effective_rank,seed,semantic_member_variance,within_category_variance
root,0.0,31,noun,0.0,0,pre_sa,0.5386512224260509,0.19688809139783328,tiny-w32-l2-h2,4,12,False,0.0,2.5357511868010323,23,18.274644675527625,18.274644675527625
parent,22.933319694769523,11,noun,3.003275673510085,0,pre_sa,0.31085168521414663,0.6599027892868249,tiny-w32-l2-h2,2,6,True,0.0,1.0000000000000004,23,7.636102105793757,7.636102105793757
parent,22.933319694769523,14,noun,1.2765916552572936,0,pre_sa,0.3103907805493075,0.07904610833815844,tiny-w32-l2-h2,2,6,True,0.0,1.0000000000000007,23,17.964491308027057,17.964491308027057
root,0.0,10,noun,0.0,0,pre_sa,0.5108361954967094,0.3694744488124917,tiny-w32-l2-h2,4,12,True,0.0,2.1601202480095862,23,18.53362663060279,18.53362663060279
parent,33.587464098055364,46,relation,1.6980718934796344,0,pre_sa,0.3112773784560052,0.0020426525999696615,tiny-w32-l2-h2,2,6,False,0.0,1.0000000000000002,23,19.779765643037063,19.779765643037063
parent,33.587464098055364,49,relation,2.0729746346187863,0,pre_sa,0.31122627673208186,0.007237544078238108,tiny-w32-l2-h2,2,6,False,0.0,1.0,23,16.202544660770535,16.202544660770535
root,0.0,45,relation,0.0,0,pre_sa,0.5487532864662378,0.004640098339103885,tiny-w32-l2-h2,4,12,False,0.0,2.8477747308634354,23,26.388021176417638,26.388021176417638
parent,43.282643470885965,25,relation,1.6485483707904807,0,pre_sa,0.31127784783548335,0.000495713776494144,tiny-w32-l2-h2,2,6,True,0.0,1.0000000000000002,23,26.255003637006958,26.255003637006958
parent,43.282643470885965,28,relation,3.8897414410739404,0,pre_sa,0.3111706548509405,0.02633996024840145,tiny-w32-l2-h2,2,6,True,0.0,1.0000000000000002,23,11.127383176125923,11.127383176125923
root,0.0,24,relation,0.0,0,pre_sa,0.5487176028234738,0.0134178370124478,tiny-w32-l2-h2,4,12,True,0.0,2.66372512844829,23,29.511854274287934,29.511854274287934
parent,25.78830869854683,39,action,0.7183679879055644,1,post_block,0.29466799361071433,1.9636674822361992,tiny-w32-l2-h2,2,6,False,5.770708482771488,1.3779560421793056,23,30.127757390873377,35.89846587364487
parent,25.78830869854683,42,action,0.7949819885555639,1,post_block,0.22392770710046195,0.9672118122197034,tiny-w32-l2-h2,2,6,False,5.130352409408545,1.3054897916886892,23,27.308506671415024,32.43885908082357
root,0.0,38,action,0.0,1,post_block,0.4686402453960988,1.5755778071185045,tiny-w32-l2-h2,4,12,False,11.289343249735236,3.3305626572228966,23,35.27209321228342,46.56143646201866
parent,78.79960062818131,18,action,2.0571450483535028,1,post_block,0.39884863656283925,1.5661278887917487,tiny-w32-l2-h2,2,6,True,15.04689771050904,1.9911138700460516,23,23.258422904219085,38.305320614728124
parent,78.79960062818131,21,action,2.501940358257481,1,post_block,0.2833992775944738,1.3132418903131402,tiny-w32-l2-h2,2,6,True,12.011155638705493,2.10372187368285,23,19.484239672421204,31.495395311126696
root,0.0,17,action,0.0,1,post_block,0.458506926385678,1.8175534037649854,tiny-w32-l2-h2,4,12,True,14.14238464533674,3.450358518822001,23,41.16998720770652,55.31237185304326
parent,56.74177815773802,32,noun,2.7455285796512543,1,post_block,0.20695119319862906,2.403738004574587,tiny-w32-l2-h2,2,6,False,4.512991605797404,1.4783384802868136,23,16.153986177018297,20.6669777828157
parent,56.74177815773802,35,noun,2.4686354186576045,1,post_block,0.2876072254156164,0.7856907185593819,tiny-w32-l2-h2,2,6,False,5.367603493356286,1.551725813471351,23,17.61747471174906,22.985078205105346
root,0.0,31,noun,0.0,1,post_block,0.47779166757397323,1.4634832248427585,tiny-w32-l2-h2,4,12,False,16.119983804806783,3.495894872723993,23,35.52079086042889,51.64077466523567
parent,50.4284377041672,11,noun,2.3592547081664357,1,post_block,0.24971867698392483,1.6318244221164377,tiny-w32-l2-h2,2,6,True,8.125671645517558,1.988269131113606,23,13.249060607685891,21.374732253203447
parent,50.4284377041672,14,noun,1.190664321541769,1,post_block,0.31057699941905753,1.1601662854693204,tiny-w32-l2-h2,2,6,True,6.90323784512322,1.3195269249469204,23,35.44995674700864,42.353194592131864
root,0.0,10,noun,0.0,1,post_block,0.43226310295614295,1.777471424969679,tiny-w32-l2-h2,4,12,True,10.413442331015826,2.7191755073016806,23,38.00001803776938,48.41346036878521
parent,74.04687139848542,46,relation,2.6119952312488617,1,post_block,0.28270589140950536,1.5805177041060503,tiny-w32-l2-h2,2,6,False,5.912748425419713,1.5049440410767732,23,22.436028981452395,28.34877740687211
parent,74.04687139848542,49,relation,2.3068000691919384,1,post_block,0.30693855827569666,0.6082867164804519,tiny-w32-l2-h2,2,6,False,5.048957034892062,1.3612286747930644,23,27.05043137219417,32.09938840708623
root,0.0,45,relation,0.0,1,post_block,0.4692307766623647,1.6565973968095824,tiny-w32-l2-h2,4,12,False,11.2171448208517,3.355105361211674,23,39.20109852457661,50.41824334542831
parent,102.77413276725028,25,relation,2.302581689897467,1,post_block,0.33570929182804893,0.8321361216904943,tiny-w32-l2-h2,2,6,True,7.456781384009576,1.397018626724733,23,37.177523326294434,44.63430471030401
parent,102.77413276725028,28,relation,3.2619065348771783,1,post_block,0.3076894322251082,0.20282169401572173,tiny-w32-l2-h2,2,6,True,5.954471317839037,1.4362519974691437,23,25.552909923273095,31.50738124111213
root,0.0,24,relation,0.0,1,post_block,0.5109566030359661,0.7380141367454405,tiny-w32-l2-h2,4,12,True,10.15533288895641,2.4058897858173003,23,66.09537549354525,76.25070838250166
parent,23.673999652439214,39,action,0.8659765058091295,1,post_sa,0.3503548945846986,2.2466545425958966,tiny-w32-l2-h2,2,6,False,4.490481893017766,1.391316348721444,23,22.847441819265043,27.33792371228281
parent,23.673999652439214,42,action,0.8100858701316302,1,post_sa,0.2895854781818243,1.0314866978213744,tiny-w32-l2-h2,2,6,False,4.262227480736465,1.2713562104441807,23,24.961834467896765,29.224061948633228
root,0.0,38,action,0.0,1,post_sa,0.5280300435618974,1.2706532273484445,tiny-w32-l2-h2,4,12,False,10.160450512024608,3.5714561808076803,23,31.559315902697087,41.7197664147217
parent,56.40103363564933,18,action,1.874356776200297,1,post_sa,0.39076634232117224,2.3307136487921154,tiny-w32-l2-h2,2,6,True,11.829471173215218,2.0207430971728844,23,18.261402854506287,30.090874027721505
parent,56.40103363564933,21,action,2.102259821363853,1,post_sa,0.3154594237555474,1.386941309518103,tiny-w32-l2-h2,2,6,True,9.837796155347466,2.0318313558899606,23,16.990968330604055,26.82876448595152
root,0.0,17,action,0.0,1,post_sa,0.4629534052677413,1.4850204350774423,tiny-w32-l2-h2,4,12,True,12.075817391177921,3.835284389406092,23,30.983421269397212,43.05923866057513
parent,46.47931567740344,32,noun,2.861785282202767,1,post_sa,0.25602952893453657,2.006383859647122,tiny-w32-l2-h2,2,6,False,3.5695915543698526,1.5440320036195054,23,12.671779161474866,16.24137071584472
parent,46.47931567740344,35,noun,2.210965996954978,1,post_sa,0.30689724020159054,0.22978262439734065,tiny-w32-l2-h2,2,6,False,4.2852232803810235,1.4663869966903158,23,16.736952429881562,21.022175710262587
root,0.0,31,noun,0.0,1,post_sa,0.4895913107246746,1.0013702843660977,tiny-w32-l2-h2,4,12,False,13.26775647505541,3.751925445852149,23,26.320174137130614,39.58793061218603
parent,33.97834219825127,11,noun,1.985645112247576,1,post_sa,0.28093910109134596,1.6466421929977388,tiny-w32-l2-h2,2,6,True,6.550154405454126,2.018670850801574,23,10.56183705196737,17.111991457421496
parent,33.97834219825127,14,noun,1.206131235875413,1,post_sa,0.2811193813380608,1.937649527477521,tiny-w32-l2-h2,2,6,True,5.34206546939347,1.4125028891972649,23,22.8292820486813,28.171347518074768
root,0.0,10,noun,0.0,1,post_sa,0.44242425186766865,1.674670290605906,tiny-w32-l2-h2,4,12,True,8.906585572319337,2.979395771833385,23,29.553613985902203,38.46019955822154
parent,75.82499916631427,46,relation,2.8782515065121705,1,post_sa,0.3114135121081687,0.21035125923368966,tiny-w32-l2-h2,2,6,False,5.008972734902434,1.4592563699889818,23,21.33514590613949,26.344118641041923
parent,75.82499916631427,49,relation,3.0547662471664143,1,post_sa,0.30990470479136795,0.10622897229151824,tiny-w32-l2-h2,2,6,False,4.088618623734736,1.3874641706019826,23,20.733247611251052,24.821866234985787
root,0.0,45,relation,0.0,1,post_sa,0.5236627739001859,1.0619556818188232,tiny-w32-l2-h2,4,12,False,9.29798175795864,3.225674963619745,23,38.15197890076824,47.44996065872688
parent,98.37896423801817,25,relation,2.3464496874578145,1,post_sa,0.3115074670141686,0.05275676073803418,tiny-w32-l2-h2,2,6,True,6.273808238681165,1.3504436731252905,23,35.65292250004765,41.926730738728814
parent,98.37896423801817,28,relation,3.9591387914683986,1,post_sa,0.3082332209307939,0.23921924426013838,tiny-w32-l2-h2,2,6,True,4.94135949646482,1.4574786240785749,23,19.907217282408485,24.848576778873305
root,0.0,24,relation,0.0,1,post_sa,0.5473356031750337,0.1917407145136981,tiny-w32-l2-h2,4,12,True,8.937791794031206,2.521425686593376,23,59.52672292810051,68.46451472213172
parent,17.50538893046215,39,action,1.060671281273888,1,pre_sa,0.2053865878899431,2.7241975366833864,tiny-w32-l2-h2,2,6,False,0.19876419975689283,1.0239569311310757,23,16.305301894535596,16.50406609429249
parent,17.50538893046215,42,action,0.9131688581406403,1,pre_sa,0.2884421064492353,0.7699225227876575,tiny-w32-l2-h2,2,6,False,0.11235372989660974,1.0103495781154106,23,19.057582667305937,19.169936397202548
root,0.0,38,action,0.0,1,pre_sa,0.5189039995806061,1.1245400443860365,tiny-w32-l2-h2,4,12,False,1.148444174840054,2.7631613554717456,23,21.926374878927938,23.074819053767992
parent,46.152466058305855,18,action,2.2180395696574497,1,pre_sa,0.36554095740429765,2.0797829208781438,tiny-w32-l2-h2,2,6,True,6.308012426560346,1.7804787042505816,23,14.499761559831413,20.80777398639176
parent,46.152466058305855,21,action,2.7186996200703324,1,pre_sa,0.25759943347380954,1.129366526016277,tiny-w32-l2-h2,2,6,True,1.9404596688493099,1.2436902989652738,23,15.035474604136645,16.975934272985956
root,0.0,17,action,0.0,1,pre_sa,0.40628481261116717,1.5901521056025512,tiny-w32-l2-h2,4,12,True,3.175163126737536,2.8563536730740853,23,27.165133512781967,30.340296639519504
parent,32.66907285151059,32,noun,2.9705544756086635,1,pre_sa,0.1503630185759731,2.1764126224828773,tiny-w32-l2-h2,2,6,False,0.006055079640857633,1.0010911218941665,23,10.991579577376074,10.997634657016931
parent,32.66907285151059,35,noun,2.0082223289979617,1,pre_sa,0.3063576170832279,0.4559901390757231,tiny-w32-l2-h2,2,6,False,0.22062946217638155,1.0224065320816682,23,16.047027947952806,16.26765741012919
root,0.0,31,noun,0.0,1,pre_sa,0.4741459916111597,0.6181193289870562,tiny-w32-l2-h2,4,12,False,2.164516756701585,3.2068831181114636,23,19.926977797621277,22.09149455432286
parent,27.03723855196015,11,noun,2.370049691020621,1,pre_sa,0.17399072769022972,2.347005244516867,tiny-w32-l2-h2,2,6,True,1.617136637263774,1.2818476890993067,23,9.790741709926925,11.4078783471907
parent,27.03723855196015,14,noun,1.371564330765258,1,pre_sa,0.2216917225282948,1.658855017560521,tiny-w32-l2-h2,2,6,True,0.7425285041071229,1.0755085411081524,23,18.970173223033044,19.712701727140168
root,0.0,10,noun,0.0,1,pre_sa,0.3930907677349493,1.7879414114007524,tiny-w32-l2-h2,4,12,True,2.1929198078383,2.6270236453360636,23,22.588311758864975,24.781231566703276
parent,55.4836807739785,46,relation,2.7361460198542824,1,pre_sa,0.3107697610224527,0.11783795209811275,tiny-w32-l2-h2,2,6,False,0.8292591206394114,1.076929967638925,23,19.448781733676313,20.278040854315723
parent,55.4836807739785,49,relation,2.8828985662388655,1,pre_sa,0.3091118997984699,0.1769313689304538,tiny-w32-l2-h2,2,6,False,0.6844461371238224,1.072788454630565,23,18.56135093105556,19.24579706817938
root,0.0,45,relation,0.0,1,pre_sa,0.5385184710803557,0.5140687911689772,tiny-w32-l2-h2,4,12,False,1.6768858408845901,2.7920972351797904,23,31.04918632060314,32.72607216148773
parent,82.50303898011178,25,relation,2.343119461826067,1,pre_sa,0.3113735750112118,0.01141069425488387,tiny-w32-l2-h2,2,6,True,1.3423301250918902,1.0744748826288462,23,33.8684392463573,35.21076937144919
parent,82.50303898011178,28,relation,5.5733270961825,1,pre_sa,0.3001412893372036,0.2892325167878708,tiny-w32-l2-h2,2,6,True,0.33920545468054614,1.0379835892510358,23,14.463987962160711,14.803193416841257
root,0.0,24,relation,0.0,1,pre_sa,0.5467433093787514,0.10111294345849071,tiny-w32-l2-h2,4,12,True,1.0723437621061782,2.597027644124868,23,42.2591803781277,43.33152414023388
