abstraction_level,between_parent_dispersion_ci_high,between_parent_dispersion_ci_low,cross_template_cosine_ci_high,cross_template_cosine_ci_low,effective_rank_ci_high,effective_rank_ci_low,family,hierarchy_rsa_spearman_ci_high,hierarchy_rsa_spearman_ci_low,layer,location,mean_between_parent_dispersion,mean_cross_template_cosine,mean_effective_rank,mean_hierarchy_rsa_spearman,mean_normalized_separation,mean_permuted_neighbor_recovery,mean_tree_neighbor_recovery,mean_within_parent_dispersion,n_runs,natural,normalized_separation_ci_high,normalized_separation_ci_low,permuted_neighbor_recovery_ci_high,permuted_neighbor_recovery_ci_low,tree_neighbor_recovery_ci_high,tree_neighbor_recovery_ci_low,within_parent_dispersion_ci_high,within_parent_dispersion_ci_low
root,0.41665896090057836,0.2220400516467234,0.9861332687011396,0.8512789424388982,2.6248684414424224,2.271022943191514,action,0.3105295017040594,-0.4140393356054125,1,post_block,0.32239565378554574,0.9187013065336934,2.4403036457963516,1.3877787807814457e-17,0.03408912711504323,0.375,0.375,0.3062818477676693,4,True,0.24360688262345395,-0.17542862839336748,0.5,0.25,0.625,0.125,0.40290518834533734,0.21061487720871858
parent,0.4677976519025675,0.15852479821941973,0.9913058345117646,0.8996095594162943,2.574823398918967,2.2265346595102713,noun,0.7763237542601485,-0.10350983390135314,1,post_block,0.28052968951893675,0.9545781818797258,2.3691202639601063,0.3105295017040594,0.14402986661072734,0.1875,0.5625,0.21757987434332132,4,False,0.33210280178441026,-0.06535289744384948,0.375,0.0,0.9375,0.25,0.2955702871577773,0.13425517846634244
root,0.5103381101272604,0.21365706150802838,0.9843867832642386,0.8629031209550337,2.688201864538814,2.283107563275584,noun,0.724568837309472,-0.10350983390135314,1,post_block,0.3438292613976789,0.9236449521096362,2.4856547139071994,0.362284418654736,0.18808057984364165,0.25,0.5625,0.2542463902632123,4,False,0.36320986750565565,-0.019644078951352034,0.375,0.0625,0.875,0.25,0.3305583305671373,0.18591304583920004
parent,0.38898994723573904,0.19241699319203542,0.9910657369993657,0.802481894851264,2.61487601485106,2.011362207531564,noun,0.4657942525560891,0.05175491695067657,1,post_block,0.3012281826580008,0.91216767114591,2.3594059199376396,0.25877458475338283,0.1451740557731081,0.125,0.5,0.2601332960747031,4,True,0.22824830646389,0.03400545266408701,0.25,0.0,0.625,0.3125,0.34395724317734233,0.1500397315717823
root,0.48578734879446756,0.3125534352642098,0.9859436335374394,0.871480577177765,2.5574072303014956,1.9253559856723528,noun,0.5175491695067657,0.05175491695067657,1,post_block,0.38389935252432206,0.9287121053576022,2.241650992961378,0.3105295017040594,0.14016153191355052,0.0625,0.5625,0.33344753231648233,4,True,0.2212217684117625,0.022260121927174033,0.1875,0.0,0.75,0.3125,0.43580409309454554,0.24305620415048707
parent,0.3165219559245705,0.19310093732027253,0.9885174437655241,0.8853741066364398,2.7750453082804523,2.514630512788162,relation,0.6210590034081188,-0.3105295017040594,1,post_block,0.2588049294523529,0.9468380747352902,2.662838707722808,0.25877458475338283,0.059090976898732384,0.125,0.5,0.2524184336293288,4,False,0.2292041171873344,-0.20692915890668218,0.25,0.0,0.75,0.1875,0.3735713997334653,0.16177929471387803
root,0.3784199869552767,0.3072670075823909,0.982482957780167,0.9053252002976468,2.501199173439451,2.4264969335809856,relation,0.8280786712108251,-0.3105295017040594,1,post_block,0.34335420749463497,0.9432385599016946,2.4608462830462874,0.2587745847533829,0.11267189914846948,0.125,0.625,0.2971515172059139,4,False,0.37615927487098166,-0.17975472678730722,0.25,0.0,1.0,0.25,0.3711633021477697,0.2231397322640581
parent,0.6664657133998395,0.2221326886011005,0.9891911788587048,0.8351561869897474,2.537399993160395,2.016918623709673,relation,0.8280786712108251,0.20701966780270628,1,post_block,0.44384322178478314,0.9266349417961923,2.277159308435034,0.5175491695067657,0.28970959080568254,0.3125,0.6875,0.3183089323821353,4,True,0.47106746301236346,0.12260626058582871,0.625,0.0,1.0,0.375,0.41532027842076924,0.15470732103406337
root,0.5741429845548,0.23190006706797991,0.9817512760761591,0.8930755392124506,2.217752349251561,1.9550087655622335,relation,0.7763237542601485,-0.10350983390135314,1,post_block,0.4060459559744267,0.9395525745430466,2.089533084966525,0.4140393356054125,0.2050760966010149,0.3125,0.625,0.29561449670952883,4,True,0.4552091447865342,-0.17991971914516475,0.75,0.0,0.9375,0.25,0.36812387800329793,0.17338710660238235
parent,0.47157617222004633,0.184732572359087,0.9893867730475905,0.895459320124225,2.7343768154870736,2.1665322442420436,action,0.6210590034081188,-0.3105295017040594,1,post_sa,0.3258306454339137,0.9452275534662422,2.4857187372927054,0.10350983390135314,0.021731849095825075,0.375,0.4375,0.2933575005720802,4,False,0.32906055927223565,-0.21241424807475917,0.5,0.125,0.8125,0.125,0.3972212395036142,0.18375089583933754
root,0.46708483513080323,0.24200871115698275,0.9851299665771553,0.8882211717057864,2.77099459283786,2.1941446840241974,action,0.6210590034081188,-0.41403933560541256,1,post_sa,0.354546773143893,0.9366755691414709,2.5058116168448494,0.10350983390135314,0.06758299270134166,0.3125,0.5,0.2992296347695089,4,False,0.33311823711819044,-0.19795225171550712,0.5,0.125,0.875,0.125,0.3406906099036027,0.2606818204183568
parent,0.5116833617164191,0.2180706693424882,0.9906747311934014,0.8501541432390632,2.6998340954326796,2.464637182842319,action,0.6210590034081188,-0.10350983390135313,1,post_sa,0.35814434624146924,0.9180386146014772,2.5898547517415293,0.3105295017040594,0.12976685802678167,0.3125,0.5,0.3024769597789056,4,True,0.30755369079658423,-0.1096864330122406,0.6875,0.0,0.75,0.125,0.4515459520908786,0.21008553806128227
