abstraction_level,between_parent_dispersion,cross_template_cosine,effective_rank,family,hierarchy_rsa_spearman,layer,location,model_setting,n_items,natural,normalized_separation,permuted_neighbor_recovery,seed,step,tree_neighbor_recovery,within_parent_dispersion
parent,0.5551698507341918,0.9970024952047556,2.4346269217382326,noun,0.41403933560541256,1,pre_sa,tiny-w32-l2-h2,4,False,0.21912979258415702,0.0,11,0,0.75,0.4335155964938309
root,0.5749756792906554,0.996655405067396,2.440655607291835,noun,0.41403933560541256,1,pre_sa,tiny-w32-l2-h2,4,False,0.22297663042522214,0.0,11,0,0.75,0.4467695397459719
parent,0.4307455172501341,0.9946393600820862,2.66697402593381,noun,0.20701966780270628,1,pre_sa,tiny-w32-l2-h2,4,True,0.12645728455192198,0.5,11,0,0.5,0.3762746088057691
root,0.4531336661959157,0.9945712662031867,2.6693679433185964,noun,0.20701966780270628,1,pre_sa,tiny-w32-l2-h2,4,True,0.11774000614415421,0.5,11,0,0.5,0.3997817055538855
parent,0.42059481875239807,0.9975677291769066,2.4009694699773396,relation,-0.41403933560541256,1,pre_sa,tiny-w32-l2-h2,4,False,-0.295498910953467,0.5,11,0,0.0,0.5448801296464025
root,0.4319239488439101,0.9969546552920246,2.3817382212848885,relation,-0.41403933560541256,1,pre_sa,tiny-w32-l2-h2,4,False,-0.3068270584651681,0.25,11,0,0.0,0.5644499035483468
parent,0.4069111835224182,0.9960605697942442,2.325773725324004,relation,-0.6210590034081188,1,pre_sa,tiny-w32-l2-h2,4,True,-0.34099575460506276,1.0,11,0,0.0,0.5456661696048843
root,0.4346603515721554,0.9945740308337041,2.319647776311762,relation,-0.6210590034081188,1,pre_sa,tiny-w32-l2-h2,4,True,-0.3393880359434655,1.0,11,0,0.0,0.5821788745947254
parent,0.3170486740015014,0.9939526757413762,2.3966849426570507,action,0.20701966780270628,0,post_block,tiny-w32-l2-h2,4,False,0.14520166198918763,0.5,11,40,0.5,0.27101267960501524
root,0.3369296773627113,0.9925259775641297,2.452958965888463,action,0.41403933560541256,0,post_block,tiny-w32-l2-h2,4,False,0.15763643163886115,0.75,11,40,0.75,0.2838172853100207
parent,0.3165815615826522,0.9908477330840205,2.9079479660855694,action,-0.41403933560541256,0,post_block,tiny-w32-l2-h2,4,True,-0.221414914690165,0.25,11,40,0.25,0.38667744103295437
root,0.32325900001000574,0.9893452428758559,2.96317654118792,action,-0.20701966780270628,0,post_block,tiny-w32-l2-h2,4,True,-0.18809131442605928,0.25,11,40,0.25,0.38406121022194123
parent,0.3693011166965464,0.991934541734495,2.654123335874519,noun,0.0,0,post_block,tiny-w32-l2-h2,4,False,0.039781691873156805,0.25,11,40,0.25,0.3546096934637117
root,0.3892640767522334,0.994781011601961,2.713382685604622,noun,0.0,0,post_block,tiny-w32-l2-h2,4,False,0.024046508548396822,0.25,11,40,0.25,0.379903634803027
parent,0.20803569166913746,0.9887291729648622,2.445440581987604,noun,0.0,0,post_block,tiny-w32-l2-h2,4,True,0.027198307484587715,0.25,11,40,0.25,0.20237747295935138
root,0.2150801505751261,0.9909589258261052,2.2382910664554396,noun,0.0,0,post_block,tiny-w32-l2-h2,4,True,0.011176323179652982,0.25,11,40,0.25,0.21267634530277008
parent,0.38081718741055187,0.9879434309550029,2.551855699905944,relation,-0.41403933560541256,0,post_block,tiny-w32-l2-h2,4,False,-0.3734793292725374,0.0,11,40,0.0,0.523044535140099
root,0.37926780570008223,0.9881027983628984,2.662182092999005,relation,-0.6210590034081188,0,post_block,tiny-w32-l2-h2,4,False,-0.3798375345739012,0.0,11,40,0.0,0.5233279539604548
parent,0.3204635694860012,0.9898787922927683,1.828198119976071,relation,-0.41403933560541256,0,post_block,tiny-w32-l2-h2,4,True,-0.4198845262870057,0.0,11,40,0.0,0.4550212635518737
root,0.36750856347007566,0.988298041968367,1.680814041882369,relation,-0.41403933560541256,0,post_block,tiny-w32-l2-h2,4,True,-0.43547630912554536,0.0,11,40,0.0,0.5275498362620554
parent,0.40096814540642933,0.9908636049805316,2.652921885873167,action,0.20701966780270628,0,post_sa,tiny-w32-l2-h2,4,False,0.09837692064633227,0.5,11,40,0.5,0.361522133984074
root,0.41594932110662647,0.9896309190539229,2.6659440479230554,action,0.0,0,post_sa,tiny-w32-l2-h2,4,False,0.09763186522421713,0.5,11,40,0.5,0.3753394130482397
parent,0.45028876781299554,0.9860622558961493,2.7960016933749,action,-0.6210590034081188,0,post_sa,tiny-w32-l2-h2,4,True,-0.23358120136065086,0.0,11,40,0.0,0.5554677591579622
root,0.4630638533753621,0.9848615177240833,2.834805506471744,action,-0.41403933560541256,0,post_sa,tiny-w32-l2-h2,4,True,-0.160014616804415,0.0,11,40,0.0,0.5371608384291965
parent,0.5599028502753,0.9909410485118461,2.5678964273293095,noun,0.41403933560541256,0,post_sa,tiny-w32-l2-h2,4,False,0.23281385311913577,0.75,11,40,0.75,0.4295497103303208
root,0.5894254390960115,0.9935438511886264,2.597159906950785,noun,0.41403933560541256,0,post_sa,tiny-w32-l2-h2,4,False,0.25280815877531926,0.75,11,40,0.75,0.44041387910281476
parent,0.36628413615673655,0.9837085482576792,2.663658556542687,noun,0.41403933560541256,0,post_sa,tiny-w32-l2-h2,4,True,0.09428157611124836,0.75,11,40,0.75,0.33175029049533233
root,0.37867418640987915,0.9866602808242075,2.5054098285749404,noun,0.41403933560541256,0,post_sa,tiny-w32-l2-h2,4,True,0.1145397198876082,0.75,11,40,0.75,0.33530095116982367
parent,0.45325045059349206,0.9860014245995221,2.486747714360896,relation,-0.6210590034081188,0,post_sa,tiny-w32-l2-h2,4,False,-0.3859797187543323,0.0,11,40,0.0,0.6281959320388425
root,0.47251669786149686,0.986275255442846,2.506235549732663,relation,-0.8280786712108251,0,post_sa,tiny-w32-l2-h2,4,False,-0.39386269044132655,0.0,11,40,0.0,0.6586233957596774
parent,0.4225746824480038,0.9870251636860007,2.0314736019023156,relation,-0.6210590034081188,0,post_sa,tiny-w32-l2-h2,4,True,-0.4955270451969139,0.0,11,40,0.0,0.6319718662164873
