component,correct_signed_progress,correct_target,example_id,habitual_signed_progress,habitual_target,layer,model_setting,repair_geometry_candidate,run_id,seed,update_cosine_previous
ff,0.033459752798080444,13,override-15,-2.4974193572998047,3,1,tiny-w32-l2-h2,aligned_candidate,paper05-tiny-w32-l2-h2-seed11,11,0.37940300274692695
sa,11.005085945129395,13,override-16,-7.893429279327393,3,0,tiny-w32-l2-h2,orthogonal_candidate,paper05-tiny-w32-l2-h2-seed11,11,0.0
ff,4.686964511871338,13,override-16,9.244682312011719,3,0,tiny-w32-l2-h2,orthogonal_candidate,paper05-tiny-w32-l2-h2-seed11,11,0.1673889202964247
sa,0.11287157237529755,13,override-16,-2.8001210689544678,3,1,tiny-w32-l2-h2,orthogonal_candidate,paper05-tiny-w32-l2-h2-seed11,11,0.10769866006036227
ff,-0.0046312687918543816,13,override-16,-1.8546319007873535,3,1,tiny-w32-l2-h2,aligned_candidate,paper05-tiny-w32-l2-h2-seed11,11,0.6603275722387035
sa,8.260360717773438,13,override-17,-9.431709289550781,3,0,tiny-w32-l2-h2,orthogonal_candidate,paper05-tiny-w32-l2-h2-seed11,11,0.0
ff,6.639798164367676,13,override-17,12.28357982635498,3,0,tiny-w32-l2-h2,orthogonal_candidate,paper05-tiny-w32-l2-h2-seed11,11,0.21455668648154597
sa,0.8520839810371399,13,override-17,-3.037304162979126,3,1,tiny-w32-l2-h2,orthogonal_candidate,paper05-tiny-w32-l2-h2-seed11,11,-0.026013606054344794
ff,0.05824049934744835,13,override-17,-2.4071953296661377,3,1,tiny-w32-l2-h2,aligned_candidate,paper05-tiny-w32-l2-h2-seed11,11,0.3173192315347824
sa,11.053661346435547,13,override-18,-6.046850681304932,3,0,tiny-w32-l2-h2,orthogonal_candidate,paper05-tiny-w32-l2-h2-seed11,11,0.0
ff,4.289963722229004,13,override-18,8.6212158203125,3,0,tiny-w32-l2-h2,orthogonal_candidate,paper05-tiny-w32-l2-h2-seed11,11,0.24659373293342396
sa,0.4480043649673462,13,override-18,-2.9142823219299316,3,1,tiny-w32-l2-h2,orthogonal_candidate,paper05-tiny-w32-l2-h2-seed11,11,0.06193798202078731
ff,0.011516266502439976,13,override-18,-2.4108965396881104,3,1,tiny-w32-l2-h2,aligned_candidate,paper05-tiny-w32-l2-h2-seed11,11,0.6517781475026758
sa,5.6320905685424805,13,override-19,-10.830310821533203,3,0,tiny-w32-l2-h2,orthogonal_candidate,paper05-tiny-w32-l2-h2-seed11,11,0.0
ff,7.986888885498047,13,override-19,14.04596996307373,3,0,tiny-w32-l2-h2,orthogonal_candidate,paper05-tiny-w32-l2-h2-seed11,11,0.22546760843205285
sa,1.9275028705596924,13,override-19,-2.104827642440796,3,1,tiny-w32-l2-h2,orthogonal_candidate,paper05-tiny-w32-l2-h2-seed11,11,-0.04045790682719018
ff,0.25344225764274597,13,override-19,-2.001268148422241,3,1,tiny-w32-l2-h2,orthogonal_candidate,paper05-tiny-w32-l2-h2-seed11,11,0.22206487047654427
sa,10.731237411499023,13,override-20,-8.10171890258789,3,0,tiny-w32-l2-h2,orthogonal_candidate,paper05-tiny-w32-l2-h2-seed11,11,0.0
ff,5.01273250579834,13,override-20,8.942115783691406,3,0,tiny-w32-l2-h2,orthogonal_candidate,paper05-tiny-w32-l2-h2-seed11,11,0.12244287441070428
sa,0.050251126289367676,13,override-20,-1.3520126342773438,3,1,tiny-w32-l2-h2,orthogonal_candidate,paper05-tiny-w32-l2-h2-seed11,11,0.21695027043415935
ff,-0.1269112527370453,13,override-20,-1.5988941192626953,3,1,tiny-w32-l2-h2,aligned_candidate,paper05-tiny-w32-l2-h2-seed11,11,0.873013661871334
sa,10.393608093261719,13,override-21,-8.567890167236328,3,0,tiny-w32-l2-h2,orthogonal_candidate,paper05-tiny-w32-l2-h2-seed11,11,0.0
ff,5.299918174743652,13,override-21,9.859169006347656,3,0,tiny-w32-l2-h2,orthogonal_candidate,paper05-tiny-w32-l2-h2-seed11,11,0.1272956041402801
sa,0.11075489223003387,13,override-21,-2.782510757446289,3,1,tiny-w32-l2-h2,orthogonal_candidate,paper05-tiny-w32-l2-h2-seed11,11,0.10731315143216653
ff,-0.006560978479683399,13,override-21,-1.7725491523742676,3,1,tiny-w32-l2-h2,aligned_candidate,paper05-tiny-w32-l2-h2-seed11,11,0.6738365230853873
sa,8.263328552246094,13,override-22,-10.074525833129883,3,0,tiny-w32-l2-h2,orthogonal_candidate,paper05-tiny-w32-l2-h2-seed11,11,0.0
