angular_concentration,between_cosine_distance,common_energy_fraction,component,effective_rank,layer,model_setting,n,relation_id,seed,within_cosine_distance
0.9960277692782746,0.905582497549188,0.9888417517878652,ff,1.3053807969453062,0,tiny-w48-l3-h3,8,map-19-20,23,0.009038670285064462
0.999928994830198,0.8828107329566198,0.9998168346629245,ff,1.5692725500736517,0,tiny-w48-l3-h3,24,override-1-2,23,0.00014817847440282863
0.990347538278372,1.015386871703918,0.978907934855253,sa,4.087536939721351,0,tiny-w48-l3-h3,24,1-2-to-3,23,0.020040026817059988
0.9672537737179837,1.0399091346570704,0.9222480404784411,sa,3.9783762751308505,0,tiny-w48-l3-h3,24,4-5-to-many,23,0.06698389557434771
0.9244442120885823,0.9176003857281336,0.8403604357670107,sa,3.592816915872075,0,tiny-w48-l3-h3,8,map-15-16,23,0.165603193147126
0.9640024325845142,1.081317381406275,0.9247771208054457,sa,2.386848394515689,0,tiny-w48-l3-h3,8,map-17-18,23,0.08023218058322103
0.9872358774856294,0.9910233480809822,0.9650903589526079,sa,1.4178744911129024,0,tiny-w48-l3-h3,8,map-19-20,23,0.028756804368041487
0.9999046056979116,0.9822885585869116,0.9997517913014076,sa,2.5883951061311685,0,tiny-w48-l3-h3,24,override-1-2,23,0.00019907085351122473
0.9979242834118285,0.8448273726340925,0.995386344932548,ff,1.8069489316668255,1,tiny-w48-l3-h3,24,1-2-to-3,23,0.004326932017968971
0.9558716715224073,0.9297235288995215,0.8810816721231315,ff,1.1404465708593292,1,tiny-w48-l3-h3,24,4-5-to-many,23,0.08793731998313105
0.9999266793289763,0.837017736332529,0.9993947592181175,ff,1.137395324164285,1,tiny-w48-l3-h3,8,map-15-16,23,0.00016752742669925197
0.9044319941681176,0.7968011482113116,0.5174807780716575,ff,1.0084549068178181,1,tiny-w48-l3-h3,8,map-17-18,23,0.14430489709838934
0.9190451806309508,0.8250319928768566,0.7980633928636591,ff,1.021550609605361,1,tiny-w48-l3-h3,8,map-19-20,23,0.16723265490770073
0.9994498103594017,0.8319817968802983,0.9986687139528007,ff,1.205944225887829,1,tiny-w48-l3-h3,24,override-1-2,23,0.0011477130360731415
0.9941394141539709,0.8794364364956071,0.986745360476264,sa,1.3182165294192751,1,tiny-w48-l3-h3,24,1-2-to-3,23,0.012183433155975512
0.9664634458013462,0.9332652504041445,0.9304896655552629,sa,1.0638132213188956,1,tiny-w48-l3-h3,24,4-5-to-many,23,0.06881383082417925
0.999807063632882,0.8087454087976422,0.9986963265312396,sa,1.3196285068355644,1,tiny-w48-l3-h3,8,map-15-16,23,0.00044075233834028497
0.9054444299530136,0.8502989014227805,0.5223840394933286,sa,1.013303450075774,1,tiny-w48-l3-h3,8,map-17-18,23,0.14778064254164255
0.9692340487911779,0.9451077316351515,0.9376698603224418,sa,1.0164629381828187,1,tiny-w48-l3-h3,8,map-19-20,23,0.06922881698843422
0.9981456334737319,0.9448062841209277,0.9962326389078117,sa,1.3898553988134326,1,tiny-w48-l3-h3,24,override-1-2,23,0.0038663452879254875
0.926649206139014,0.8118241477060095,0.7447780119944121,ff,1.0205500265811294,2,tiny-w48-l3-h3,24,1-2-to-3,23,0.1334640563228527
0.9995122132500294,0.823022351193305,0.9880475227535601,ff,1.0431565433906902,2,tiny-w48-l3-h3,24,4-5-to-many,23,0.0010099136321900608
0.9999868971230071,0.8306018164159569,0.9999340777578037,ff,1.3706830304204252,2,tiny-w48-l3-h3,8,map-15-16,23,2.9948559206393372e-05
0.9987933416454101,0.8166287328003069,0.9743086090752314,ff,1.009911199002314,2,tiny-w48-l3-h3,8,map-17-18,23,0.002693797516104518
0.9909084766077585,0.8166400965205884,0.8342298677622154,ff,1.0021178442829461,2,tiny-w48-l3-h3,8,map-19-20,23,0.01772053515115658
0.9922312448397239,0.8476516164032669,0.9786084749987115,ff,1.016694606419856,2,tiny-w48-l3-h3,24,override-1-2,23,0.016077574745468264
0.9596125079162047,1.0613449620135782,0.9058745364591162,sa,1.0122649645504642,2,tiny-w48-l3-h3,24,1-2-to-3,23,0.08255251321210381
0.9908233451267995,0.8443682970139579,0.9680092720164936,sa,1.3385504418992038,2,tiny-w48-l3-h3,24,4-5-to-many,23,0.018888960770859435
0.9999980439392654,0.8482756918474208,0.999990109202516,sa,2.0141186724731095,2,tiny-w48-l3-h3,8,map-15-16,23,4.470986707583169e-06
0.9852405891816596,0.8432448811536997,0.8893180842527929,sa,1.1318199055222653,2,tiny-w48-l3-h3,8,map-17-18,23,0.03113935377186967
0.981082303411688,0.8904634934935979,0.9123530621434506,sa,1.0466359662818665,2,tiny-w48-l3-h3,8,map-19-20,23,0.040572234473063504
0.9991070033524365,1.1272526249272203,0.9973903213409135,sa,1.4497456140121567,2,tiny-w48-l3-h3,24,override-1-2,23,0.001861682301287551
