accuracy,architecture,branching,distractors,evaluation_axis,heads,layers,mean_margin,model_seed,n,predicate,required_path,total_depth,width
1.0,baseline,2,4,depth_path,4,4,12.78807775179545,37,24,isAncestor,4,6,64
1.0,baseline,2,4,depth_path,4,4,13.125089168548584,37,24,isAncestor,6,6,64
1.0,baseline,2,0,distractors,4,4,13.390571355819702,37,24,isAncestor,3,8,64
1.0,baseline,2,4,depth_path,4,4,14.012428840001425,37,24,isAncestor,1,8,64
1.0,baseline,2,4,depth_path,4,4,14.303524335225424,37,24,isAncestor,2,8,64
1.0,baseline,2,4,depth_path,4,4,13.861718018849691,37,24,isAncestor,3,8,64
1.0,baseline,2,4,depth_path,4,4,13.639581680297852,37,24,isAncestor,4,8,64
1.0,baseline,2,4,depth_path,4,4,14.19489041964213,37,24,isAncestor,6,8,64
1.0,baseline,2,4,depth_path,4,4,13.833573341369629,37,24,isAncestor,8,8,64
1.0,baseline,2,4,branching,4,4,12.272145589192709,37,24,isAncestor,3,8,64
1.0,baseline,2,4,distractors,4,4,14.244168599446615,37,24,isAncestor,3,8,64
1.0,baseline,2,16,distractors,4,4,14.062280337015787,37,24,isAncestor,3,8,64
1.0,baseline,2,4,depth_path,4,4,14.645726362864176,37,24,isAncestor,1,12,64
1.0,baseline,2,4,depth_path,4,4,14.318437337875366,37,24,isAncestor,2,12,64
1.0,baseline,2,4,depth_path,4,4,14.719416300455729,37,24,isAncestor,3,12,64
1.0,baseline,2,4,depth_path,4,4,14.46012051900228,37,24,isAncestor,4,12,64
1.0,baseline,2,4,depth_path,4,4,14.389102776845297,37,24,isAncestor,6,12,64
1.0,baseline,2,4,depth_path,4,4,14.24423615137736,37,24,isAncestor,8,12,64
1.0,baseline,2,4,depth_path,4,4,13.872918446858725,37,24,isAncestor,12,12,64
1.0,baseline,2,4,depth_path,4,4,12.424019018809,37,24,isAncestor,1,16,64
1.0,baseline,2,4,depth_path,4,4,13.184308687845865,37,24,isAncestor,2,16,64
1.0,baseline,2,4,depth_path,4,4,13.362290302912394,37,24,isAncestor,3,16,64
1.0,baseline,2,4,depth_path,4,4,13.452775478363037,37,24,isAncestor,4,16,64
0.9583333333333334,baseline,2,4,depth_path,4,4,13.516647259394327,37,24,isAncestor,6,16,64
1.0,baseline,2,4,depth_path,4,4,13.265884399414062,37,24,isAncestor,8,16,64
1.0,baseline,2,4,depth_path,4,4,13.112603028615316,37,24,isAncestor,12,16,64
1.0,baseline,2,4,depth_path,4,4,12.71714456876119,37,24,isAncestor,16,16,64
1.0,baseline,4,4,branching,4,4,12.924203395843506,37,24,isAncestor,3,8,64
1.0,baseline,2,64,distractors,4,4,13.267685095469156,37,24,isAncestor,3,8,64
1.0,baseline,2,4,depth_path,4,4,12.284313758214315,37,24,isAncestor,1,24,64
1.0,baseline,2,4,depth_path,4,4,12.252505540847778,37,24,isAncestor,2,24,64
1.0,baseline,2,4,depth_path,4,4,12.004655758539835,37,24,isAncestor,3,24,64
