R,between_js_bits,discrimination_utility,head,layer,mode,stability_utility,target_logprob_drop,within_js_bits
21149.193191246228,0.9997001710511637,0.00018481589567442835,1,3,zero,3.060774956718259e-05,0.15764394402503967,4.726895073543256e-05
19507.61968650962,0.9997109250631361,0.0001740618837020591,1,3,mean,3.458600075226318e-05,0.07459253072738647,5.124720192051315e-05
16938.755230477884,0.9998865736247006,-1.5866778624307187e-06,1,3,equivalent,4.2368317826487355e-05,-0.0020777471363544464,5.902951899473733e-05
15726.440885428794,0.9991238084248065,0.0007611785220316136,1,3,mismatched,4.687026254332234e-05,0.043165404349565506,6.353146371157231e-05
50679.39462113603,0.9996715899879169,0.00021339695892119703,2,3,zero,3.0642039487835306e-06,0.014868807047605515,1.9725405117033505e-05
51704.84958643733,0.9996670008357144,0.0002179861111237802,2,3,mean,2.67290402365327e-06,-0.0010503296507522464,1.9334105191903245e-05
55898.57399123984,0.9998894604539275,-4.473507089319817e-06,2,3,equivalent,1.2263653483954288e-06,-0.0006716633215546608,1.7887566516645403e-05
41486.4861167398,0.9992499337184051,0.0006350532284330468,2,3,mismatched,7.424953800541364e-06,0.05622874200344086,2.408615496879134e-05
5888.462008549774,0.9996103098038862,0.000274677142951929,3,3,zero,0.00015309625134693963,0.029504241421818733,0.0001697574525151896
5910.3987879101705,0.999645713897158,0.0002392730496801887,3,3,mean,0.00015247217709751977,0.01908060349524021,0.00016913337826576975
4503.053229548012,0.9998839857056825,1.0012411556514778e-06,3,3,equivalent,0.0002053845830442641,-0.006583960726857185,0.00022204578421251408
5761.969585860222,0.9992854025003194,0.0005995844465187528,3,3,mismatched,0.00015676654564814233,0.013432743027806282,0.00017342774681639232
