extension_length,layer,metric_type,model_seed,n,short_level,similarity
2,2,update,37,64,2,0.8169833816355094
2,3,update,37,64,2,0.6071762794163078
2,4,update,37,64,2,0.5309340365056414
2,5,update,37,64,2,0.8673464339226484
4,0,update,37,64,2,0.9385355915874243
4,1,update,37,64,2,0.6546103525906801
4,2,update,37,64,2,0.6783904246985912
4,3,update,37,64,2,0.43877548701129854
4,4,update,37,64,2,0.6672317330958322
4,5,update,37,64,2,0.8235727528808638
1,0,update,37,64,3,0.957130909897387
1,1,update,37,64,3,0.7282722933450714
1,2,update,37,64,3,0.6664276122901356
1,3,update,37,64,3,0.5271475185872987
1,4,update,37,64,3,0.6097703630221076
1,5,update,37,64,3,0.8062382356147282
2,0,update,37,64,3,0.9627563674002886
2,1,update,37,64,3,0.6670453157857992
2,2,update,37,64,3,0.6482665668008849
2,3,update,37,64,3,0.5775639871135354
2,4,update,37,64,3,0.7169233182503376
2,5,update,37,64,3,0.7808595598908141
4,0,update,37,64,3,0.9451606702059507
4,1,update,37,64,3,0.6515705190831795
4,2,update,37,64,3,0.611911117011914
4,3,update,37,64,3,0.46149390094797127
4,4,update,37,64,3,0.6924007002235157
4,5,update,37,64,3,0.7492497190833092
1,0,update,37,64,4,0.9717675521969795
1,1,update,37,64,4,0.6746963799232617
1,2,update,37,64,4,0.6881534821004607
1,3,update,37,64,4,0.6611671692226082
1,4,update,37,64,4,0.6563826503697783
1,5,update,37,64,4,0.864849672303535
2,0,update,37,64,4,0.9620587499812245
2,1,update,37,64,4,0.6218285906361416
2,2,update,37,64,4,0.6861348182428628
2,3,update,37,64,4,0.5882103415206075
2,4,update,37,64,4,0.6262204032973386
2,5,update,37,64,4,0.7916798894293606
4,0,update,37,64,4,0.9549267962574959
4,1,update,37,64,4,0.698011361528188
4,2,update,37,64,4,0.6329191812546924
4,3,update,37,64,4,0.5882619940093718
4,4,update,37,64,4,0.469906955397164
4,5,update,37,64,4,0.798674863006454
1,0,head_utility,11,32,2,0.14375
1,1,head_utility,11,32,2,0.22499999999999998
1,2,head_utility,11,32,2,0.1125
1,3,head_utility,11,32,2,0.10181871530459877
1,4,head_utility,11,32,2,0.01613211768802618
1,5,head_utility,11,32,2,0.07330960770657936
2,0,head_utility,11,32,2,1.0408340855860843e-17
2,1,head_utility,11,32,2,0.25625
2,2,head_utility,11,32,2,0.22930827460539444
2,3,head_utility,11,32,2,0.1276231952331452
2,4,head_utility,11,32,2,-0.02714616792094015
2,5,head_utility,11,32,2,-0.09079403922934205
4,0,head_utility,11,32,2,0.18125000000000002
