bridge_selected_ci_high,bridge_selected_ci_low,budget_chunks,condition,evidence_recall_ci_high,evidence_recall_ci_low,materialized_tokens,mean_bridge_selected,mean_evidence_recall,mean_path_complete,mean_quality,mean_selector_time_ns,n_examples,path_complete_ci_high,path_complete_ci_low,quality_ci_high,quality_ci_low,qwen_equivalent_kv_bytes,selector_time_ns_ci_high,selector_time_ns_ci_low
0.20166666666666666,0.14,6,entropy_adaptive_sharpen,0.62,0.5869374999999999,192,0.17,0.6036111111111111,0.14666666666666667,0.37513888888888886,172635.66666666666,600,0.17504166666666662,0.12,0.39625347222222224,0.3555520833333333,786432,218741.67916666664,144839.78750000003
0.29,0.22,8,entropy_adaptive_sharpen,0.6763888888888888,0.6422222222222222,256,0.25333333333333335,0.658888888888889,0.23,0.44444444444444436,138635.33333333334,600,0.26670833333333327,0.19666666666666666,0.4709756944444444,0.41971875,1048576,145133.57916666666,132557.55000000002
0.6050416666666666,0.5282500000000001,2,oracle_evidence,0.8461250000000001,0.82,64,0.565,0.8333333333333334,0.5,0.6666666666666666,43181.0,600,0.5383749999999999,0.46,0.6922499999999999,0.64,262144,51062.845833333326,37153.625
1.0,1.0,3,oracle_evidence,1.0,1.0,96,1.0,1.0,1.0,1.0,40356.166666666664,600,1.0,1.0,1.0,1.0,393216,45866.541666666664,35930.870833333334
1.0,1.0,4,oracle_evidence,1.0,1.0,128,1.0,1.0,1.0,1.0,42132.333333333336,600,1.0,1.0,1.0,1.0,524288,51361.708333333336,36244.67083333334
1.0,1.0,6,oracle_evidence,1.0,1.0,192,1.0,1.0,1.0,1.0,40438.833333333336,600,1.0,1.0,1.0,1.0,786432,45755.49166666667,36459.3125
1.0,1.0,8,oracle_evidence,1.0,1.0,256,1.0,1.0,1.0,1.0,40820.0,600,1.0,1.0,1.0,1.0,1048576,46235.45833333333,36746.520833333336
0.053374999999999964,0.025,2,persistence,0.42916666666666664,0.39611111111111114,64,0.03833333333333333,0.4122222222222222,0.018333333333333333,0.21527777777777776,30014.333333333332,600,0.03,0.008333333333333333,0.22722222222222224,0.20499652777777777,262144,31989.629166666666,28225.1375
0.15166666666666667,0.1,3,persistence,0.5638888888888889,0.5335972222222222,96,0.125,0.5483333333333333,0.07833333333333334,0.31333333333333335,30494.666666666668,600,0.1,0.058333333333333334,0.32944444444444443,0.29735763888888883,393216,33801.354166666664,27864.270833333332
0.2950416666666666,0.225,4,persistence,0.6736180555555557,0.638888888888889,128,0.26166666666666666,0.6569444444444443,0.22,0.43847222222222226,35605.5,600,0.25170833333333326,0.185,0.46264583333333337,0.41249305555555554,524288,42451.4875,30536.995833333334
0.4716666666666667,0.3933333333333333,6,persistence,0.7691666666666667,0.7344375,192,0.43166666666666664,0.7516666666666667,0.4116666666666667,0.5816666666666667,30761.166666666668,600,0.45,0.37333333333333335,0.6091701388888888,0.5543020833333333,786432,32303.82083333333,29398.479166666668
0.6183333333333333,0.5399583333333334,8,persistence,0.8363888888888888,0.8022152777777777,256,0.5783333333333334,0.8191666666666667,0.5666666666666667,0.6929166666666666,43288.0,600,0.6050416666666666,0.5266666666666666,0.7209756944444444,0.6648541666666665,1048576,73606.54166666666,30935.1625
0.041666666666666664,0.015,2,power_sharpen,0.3963958333333333,0.3613888888888889,64,0.028333333333333332,0.3788888888888889,0.015,0.19694444444444445,65449.833333333336,600,0.025,0.006666666666666667,0.20847222222222223,0.1861111111111111,262144,72139.41249999999,60081.941666666666
0.08666666666666667,0.04666666666666667,3,power_sharpen,0.48555555555555563,0.4527708333333333,96,0.06666666666666667,0.47,0.03166666666666667,0.25083333333333335,61892.5,600,0.04666666666666667,0.018333333333333333,0.2641736111111111,0.23805555555555558,393216,64884.6625,59183.2625
0.12666666666666668,0.08,4,power_sharpen,0.5427847222222222,0.5097222222222223,128,0.10166666666666667,0.5258333333333334,0.06833333333333333,0.2970833333333333,65103.5,600,0.09,0.05,0.31416666666666665,0.2815277777777778,524288,71777.5625,59866.5
0.19666666666666666,0.14162500000000003,6,power_sharpen,0.6202847222222223,0.5877777777777777,192,0.17,0.6036111111111111,0.14666666666666667,0.37513888888888886,69915.5,600,0.175,0.11833333333333333,0.3968055555555556,0.35360416666666666,786432,78072.8,63536.1875
0.28833333333333333,0.22166666666666668,8,power_sharpen,0.6761111111111111,0.6422222222222221,256,0.25333333333333335,0.658888888888889,0.23,0.44444444444444436,69087.16666666667,600,0.2633333333333333,0.19833333333333333,0.4686145833333334,0.42013888888888884,1048576,75678.60416666667,63697.78333333333
