accuracy,architecture,budget_multiplier,diagnostic_tier,heads,layers,mean_margin,model_seed,n,predicate,width
0.3125,heads2,1,easy,2,4,-1.7379527886708577,37,96,parent,64
0.25,heads2,1,easy,2,4,-1.8491432964801788,37,96,grandparent,64
0.2222222222222222,heads2,1,easy,2,4,-1.6333749691645305,37,72,root,64
0.3263888888888889,heads2,1,easy,2,4,-1.7073155674669478,37,144,ancestor_k,64
0.5,heads2,1,easy,2,4,0.46156490511364406,37,144,isAncestor,64
0.3055555555555556,heads2,1,medium,2,4,-1.344754570060306,37,72,parent,64
0.18055555555555555,heads2,1,medium,2,4,-2.382009264495638,37,72,grandparent,64
0.1875,heads2,1,medium,2,4,-2.447413108415074,37,144,ancestor_k,64
0.5,heads2,1,medium,2,4,0.2413563827673594,37,144,isAncestor,64
0.15625,heads2,1,hard,2,4,-2.029787023862203,37,96,parent,64
0.09375,heads2,1,hard,2,4,-2.8677691519260406,37,96,grandparent,64
0.041666666666666664,heads2,1,medium,2,4,-2.9112113316853843,37,48,root,64
0.1111111111111111,heads2,1,hard,2,4,-2.619523909356859,37,72,root,64
0.4976851851851852,heads2,1,hard,2,4,0.13290644906185292,37,432,isAncestor,64
0.0763888888888889,heads2,1,hard,2,4,-3.304213714820367,37,432,ancestor_k,64
0.2604166666666667,heads8,1,easy,8,4,-1.6596398452917736,11,96,parent,64
0.19791666666666666,heads8,1,easy,8,4,-2.1182703052957854,11,96,grandparent,64
0.2638888888888889,heads8,1,easy,8,4,-1.8765913711653814,11,72,root,64
0.2777777777777778,heads8,1,easy,8,4,-1.7135423488087125,11,144,ancestor_k,64
0.9791666666666666,heads8,1,easy,8,4,5.3795139988263445,11,144,isAncestor,64
0.08333333333333333,heads8,1,medium,8,4,-2.9078083601262836,11,72,parent,64
0.1388888888888889,heads8,1,medium,8,4,-2.5064097510443792,11,72,grandparent,64
0.1111111111111111,heads8,1,medium,8,4,-2.8598637779553733,11,144,ancestor_k,64
0.9722222222222222,heads8,1,medium,8,4,5.153226719962226,11,144,isAncestor,64
0.041666666666666664,heads8,1,hard,8,4,-3.30453988413016,11,96,parent,64
0.07291666666666667,heads8,1,hard,8,4,-3.1616008083025613,11,96,grandparent,64
0.10416666666666667,heads8,1,medium,8,4,-2.850152234236399,11,48,root,64
0.1388888888888889,heads8,1,hard,8,4,-2.57786535554462,11,72,root,64
0.8912037037037037,heads8,1,hard,8,4,4.775532392440019,11,432,isAncestor,64
0.046296296296296294,heads8,1,hard,8,4,-3.672428133311095,11,432,ancestor_k,64
0.19791666666666666,heads8,1,easy,8,4,-2.6397315760453544,23,96,parent,64
0.2708333333333333,heads8,1,easy,8,4,-1.9987583955128987,23,96,grandparent,64
0.3055555555555556,heads8,1,easy,8,4,-1.8452527523040771,23,72,root,64
0.2847222222222222,heads8,1,easy,8,4,-1.5651819043689303,23,144,ancestor_k,64
0.6736111111111112,heads8,1,easy,8,4,1.569980051782396,23,144,isAncestor,64
0.1111111111111111,heads8,1,medium,8,4,-3.1540382703145347,23,72,parent,64
0.09722222222222222,heads8,1,medium,8,4,-3.3358690208858914,23,72,grandparent,64
0.125,heads8,1,medium,8,4,-3.3479256166352167,23,144,ancestor_k,64
0.5972222222222222,heads8,1,medium,8,4,1.3611836499638028,23,144,isAncestor,64
0.11458333333333333,heads8,1,hard,8,4,-3.7575419545173645,23,96,parent,64
0.07291666666666667,heads8,1,hard,8,4,-3.6885450755556426,23,96,grandparent,64
0.08333333333333333,heads8,1,medium,8,4,-3.149291584889094,23,48,root,64
0.06944444444444445,heads8,1,hard,8,4,-3.923810601234436,23,72,root,64
0.6111111111111112,heads8,1,hard,8,4,1.7170827686786652,23,432,isAncestor,64
0.0625,heads8,1,hard,8,4,-4.2793337675156415,23,432,ancestor_k,64
0.2604166666666667,heads8,1,easy,8,4,-1.8310606777668,37,96,parent,64
0.2708333333333333,heads8,1,easy,8,4,-1.688653161128362,37,96,grandparent,64
0.2916666666666667,heads8,1,easy,8,4,-2.235956026448144,37,72,root,64
0.2916666666666667,heads8,1,easy,8,4,-1.5175366583797667,37,144,ancestor_k,64
0.9861111111111112,heads8,1,easy,8,4,5.168825765450795,37,144,isAncestor,64
0.1527777777777778,heads8,1,medium,8,4,-2.4556660254796348,37,72,parent,64
0.09722222222222222,heads8,1,medium,8,4,-2.4140533208847046,37,72,grandparent,64
0.1527777777777778,heads8,1,medium,8,4,-2.762490381797155,37,144,ancestor_k,64
