accuracy,label_mode,mean_margin,model_seed,n,ontology_family,position_mode,query_level
1.0,arbitrary,10.239145040512085,23,128,b4-d2-i8,aligned,root
1.0,arbitrary,10.164170399308205,23,128,b4-d2-i8,randomized,root
0.9921875,natural,9.891045942902565,23,128,b4-d2-i16,aligned,parent
0.8984375,natural,7.366388157010078,23,128,b4-d2-i16,randomized,parent
1.0,natural,10.220671780407429,23,128,b4-d2-i16,aligned,ancestor
1.0,natural,9.378801837563515,23,128,b4-d2-i16,randomized,ancestor
1.0,natural,11.223774425685406,23,128,b4-d2-i16,aligned,root
1.0,natural,10.672707341611385,23,128,b4-d2-i16,randomized,root
0.9765625,arbitrary,9.361942745745182,23,128,b4-d2-i16,aligned,parent
0.8515625,arbitrary,5.63557880371809,23,128,b4-d2-i16,randomized,parent
1.0,arbitrary,10.56899918615818,23,128,b4-d2-i16,aligned,ancestor
0.9453125,arbitrary,8.774044699966908,23,128,b4-d2-i16,randomized,ancestor
1.0,arbitrary,10.239145040512085,23,128,b4-d2-i16,aligned,root
0.96875,arbitrary,10.051376983523369,23,128,b4-d2-i16,randomized,root
0.96875,natural,5.9685778096318245,23,128,b4-d3-i8,aligned,parent
0.953125,natural,5.530345790088177,23,128,b4-d3-i8,randomized,parent
0.96875,natural,7.477655932307243,23,128,b4-d3-i8,aligned,ancestor
0.9140625,natural,6.285363607108593,23,128,b4-d3-i8,randomized,ancestor
1.0,natural,10.986848622560501,23,128,b4-d3-i8,aligned,root
1.0,natural,10.323332220315933,23,128,b4-d3-i8,randomized,root
0.9375,arbitrary,6.6316699385643005,23,128,b4-d3-i8,aligned,parent
0.9140625,arbitrary,6.204862378537655,23,128,b4-d3-i8,randomized,parent
0.953125,arbitrary,7.338151961565018,23,128,b4-d3-i8,aligned,ancestor
0.8671875,arbitrary,6.2604188323020935,23,128,b4-d3-i8,randomized,ancestor
0.984375,arbitrary,9.15326988697052,23,128,b4-d3-i8,aligned,root
0.9765625,arbitrary,8.716214537620544,23,128,b4-d3-i8,randomized,root
0.96875,natural,5.9685778096318245,23,128,b4-d3-i16,aligned,parent
0.96875,natural,5.514885671436787,23,128,b4-d3-i16,randomized,parent
0.96875,natural,7.477655932307243,23,128,b4-d3-i16,aligned,ancestor
0.890625,natural,6.287158757448196,23,128,b4-d3-i16,randomized,ancestor
1.0,natural,10.986848622560501,23,128,b4-d3-i16,aligned,root
0.96875,natural,9.990745179355145,23,128,b4-d3-i16,randomized,root
0.9375,arbitrary,6.6316699385643005,23,128,b4-d3-i16,aligned,parent
0.953125,arbitrary,6.266050830483437,23,128,b4-d3-i16,randomized,parent
0.953125,arbitrary,7.338151961565018,23,128,b4-d3-i16,aligned,ancestor
0.921875,arbitrary,5.993778496980667,23,128,b4-d3-i16,randomized,ancestor
0.984375,arbitrary,9.15326988697052,23,128,b4-d3-i16,aligned,root
0.9921875,arbitrary,9.436699405312538,23,128,b4-d3-i16,randomized,root
