boundary,class_id,example_id,model_seed,position_mode,predictive_order,residual,stage,target_margin,template_id,top1_correct
0,level1-0,test:l1:t0:paligned:c50:i10,11,aligned,1,-0.458242:-0.597932:-0.411127:0.475156:-0.014743:0.716501:-0.342094:0.885943:0.217322:-2.92364:-1.44937:-1.73196:1.08547:-0.290814:-0.918466:2.14067:-1.71163:2.57017:-0.163606:2.56966:1.50898:0.0674831:0.0408022:-0.0221505:-0.74467:-0.583051:1.80266:0.707662:-0.336066:0.167983:-1.52952:-1.51414:-1.55559:-0.213142:-0.700658:0.916596:-0.362188:-0.993957:1.93895:-0.66011:1.62748:-0.957469:-0.511092:2.80039:-3.2097:2.90867:0.29984:-0.320319:0.339527:-0.00854108:0.376982:-0.423348:0.195643:0.717976:-0.963809:1.37771:0.909974:2.2978:2.26744:-1.23529:0.516683:0.811725:0.482978:-0.756008,s3,-31.930648803710938,0,0
0,level1-1,test:l1:t0:paligned:c55:i11,11,aligned,1,-0.264613:0.689461:-0.158374:-0.119904:-0.264524:0.298365:0.549945:0.110503:-0.151782:-1.9437:-1.7322:-0.934093:1.91803:-1.23293:-0.297872:2.34897:-1.74244:4.11293:-1.35816:1.42381:0.892779:-0.403819:0.0476639:-2.80238:-1.55663:1.09899:-0.194697:0.800986:0.358603:-1.12717:-1.25817:-2.51042:-1.52599:-1.51479:-1.50044:2.75741:-0.606275:-0.649612:0.244518:0.160136:-1.30162:0.0184699:-0.101911:2.07649:-2.24426:0.348674:0.524333:1.17977:-2.05875:0.374635:-3.06874:0.240137:0.682832:0.254655:0.047412:0.402954:2.80486:0.781436:0.906673:1.72141:0.0412482:0.407843:-0.856107:-2.15034,s3,-39.495689392089844,0,0
0,level1-0,test:l1:t0:paligned:c60:i12,11,aligned,1,1.27317:-2.09877:-1.18744:1.39488:-2.23817:0.922084:-0.820106:-0.554407:0.365856:-0.85234:-2.28052:0.694498:0.624028:-0.978025:1.23837:3.30176:-0.629392:2.03937:0.451785:4.21183:1.62331:-1.80776:-1.64374:-0.630166:-3.75981:0.361433:1.86918:0.758576:-0.519124:-0.79101:0.327966:-2.08699:-0.873533:-0.310762:0.71198:0.27981:-1.10992:-0.991032:-0.816535:-0.313872:-2.16111:0.268466:-0.732966:2.39289:-0.965048:1.3302:-0.784048:-0.137037:0.523282:-0.942565:-0.737428:1.00608:1.27889:0.721923:-0.198101:0.362956:-0.194529:1.02394:0.6557:0.852925:0.556399:-0.375082:-0.381687:-2.46684,s3,-36.99217224121094,0,0
0,level1-0,test:l1:t0:paligned:c0:i13,11,aligned,1,0.56032:-1.28457:-0.553194:-0.362772:-0.12915:-0.307803:1.54191:-1.90196:-0.11695:-2.35302:-0.977608:-0.300847:1.51201:-0.765451:-1.99578:3.55394:-0.980261:2.80436:1.13381:1.03983:3.24202:0.0307788:-0.980641:-0.422937:-0.428653:-0.0723656:-1.52657:0.307826:1.83714:-1.01882:0.400305:-1.47758:-0.351128:-1.26682:1.09725:1.94022:-1.6214:0.0559331:0.450571:-1.40959:-0.742892:-1.2195:0.0356095:2.07348:-2.30488:0.474504:0.62108:1.53415:-0.167028:-0.549874:-1.33992:2.39304:1.12435:-0.509827:0.453417:-0.0733574:-2.68172:0.732728:0.864796:-1.44723:1.08058:1.12164:-0.146411:-1.63518,s3,-31.17222023010254,0,0
0,level1-1,test:l1:t0:paligned:c5:i14,11,aligned,1,1.44949:-0.321303:-0.921199:-1.10483:-1.301:0.852673:0.0291959:-0.208571:0.171252:-4.55046:-0.769338:0.637808:1.19762:1.37635:-0.711562:2.836:-0.162358:1.99826:-1.46209:2.16249:2.60186:-0.171421:-2.42403:-0.102076:-0.794018:-0.889291:1.13451:0.421176:0.80476:-0.346737:-2.19966:-1.24184:-0.0965067:-1.59087:-0.666194:1.5083:-0.840544:-2.03386:-0.0153077:-0.813775:-0.940908:-0.719305:0.93835:2.91061:-2.07028:-0.30787:0.627167:0.200151:-0.974103:0.271593:0.18524:0.145704:-0.424008:-0.533655:-1.96136:1.18425:-0.412185:-0.423537:-0.514765:0.12489:0.493714:-0.365877:-1.52783:-1.5016,s3,-20.853471755981445,0,0
0,level1-0,test:l1:t0:paligned:c10:i15,11,aligned,1,2.60153:-1.01578:-0.337689:1.02325:-1.62712:-0.288335:0.501735:-0.578684:0.326815:-1.59942:-0.619184:0.134266:3.01961:-0.389297:0.421842:1.42309:-0.0645936:1.85618:-0.946705:1.68083:1.3515:-0.313286:-1.52729:-2.10596:-1.93037:-1.50965:0.00654961:0.853022:-0.737182:-2.77111:-0.485572:-0.182893:-0.829375:-0.662519:0.465506:-0.137934:1.36982:0.498865:0.462462:1.27846:-0.587657:-1.75589:-0.743299:3.72658:-2.65713:1.92972:-0.938058:1.92788:-1.7272:-0.378856:0.471834:-0.721331:2.0353:-1.02455:0.418015:0.573528:0.0898244:0.0720752:2.50418:1.99277:-0.371653:0.0525032:-0.325476:-1.92075,s3,-41.340057373046875,0,0
0,level1-1,test:l1:t0:paligned:c15:i16,11,aligned,1,1.66262:0.644718:-1.98239:1.6408:-1.14282:-1.15654:0.962998:-2.58916:-0.180185:-3.0344:-2.15075:-0.710931:1.31898:-1.55727:-0.976428:1.16143:-2.15547:0.537493:-0.141323:0.103874:0.465927:-1.79728:-1.13644:-1.44789:-2.64453:-1.26709:1.44833:-0.734956:1.62556:-0.597182:-2.40155:-1.5125:-0.596495:-0.224852:-0.642713:1.24111:-0.858053:-0.18722:0.977814:0.626155:-0.859411:-1.21247:-0.169425:1.40278:-2.28195:1.78895:0.710559:1.1181:0.34103:2.81591:-0.754039:-1.58748:1.07159:1.70224:-1.44673:1.81067:-1.31873:0.609244:2.51185:-0.335599:-0.00766036:1.35969:-1.60163:-1.25189,s3,-46.120635986328125,0,0
0,level1-0,test:l1:t0:paligned:c20:i17,11,aligned,1,0.76068:-1.73352:-0.0306771:0.174069:0.712009:-0.700177:-1.58411:0.0025456:-0.321216:-5.08595:-2.68307:-1.45021:1.00558:-0.155527:0.994797:2.03616:-0.872081:0.551519:0.547331:2.31117:2.24982:-1.22383:-2.44794:-0.439467:-0.315429:-0.592696:-0.168531:1.16676:0.718173:-1.14341:-2.26357:-1.28403:-0.370167:-0.231663:-0.972324:-0.00354141:-2.07961:1.19563:-0.974707:-0.552821:-1.89043:-0.174422:-0.30636:2.71954:-2.03941:1.28733:0.59267:2.29258:-1.91001:-0.521434:-0.986092:0.775136:1.30174:-0.318053:0.245926:1.58061:-0.273614:2.93943:0.307806:-0.0205828:-0.4575:-0.624146:-1.60386:-3.37575,s3,-32.242958068847656,0,0
0,level1-1,test:l1:t0:paligned:c25:i18,11,aligned,1,2.76743:0.23163:-2.42296:-0.305246:-0.369097:-0.317616:2.65206:-1.98869:1.57999:-4.28191:-3.12096:-0.715718:0.316989:-0.902438:0.752851:0.877859:-2.00948:1.31388:0.64139:1.83272:1.38502:0.623959:-4.70652:0.0165822:0.412433:0.766214:-0.163054:0.000708647:1.90172:0.817437:-1.49597:-2.55783:-1.5606:-0.662631:-0.434962:0.237117:-0.66529:0.408657:-1.1797:-0.986771:0.788343:-1.59282:1.12677:2.10057:-1.20915:2.00502:0.756518:1.08148:-0.301794:0.209996:-0.332225:0.236528:0.966348:-0.380051:1.42966:-0.583661:-2.74055:0.427637:1.13122:0.741291:-0.546727:1.95712:-0.869503:-1.40994,s3,-47.08162307739258,0,0
0,level1-0,test:l1:t0:paligned:c30:i19,11,aligned,1,-0.473552:0.00799069:-0.114037:0.100548:-1.13586:-1.01706:1.24858:-0.250568:-0.216873:-2.83495:-2.84544:-2.98033:1.80644:-0.216354:-0.282157:2.33113:-0.511775:-0.46719:0.368439:1.79044:2.11879:0.425847:-0.496629:0.661102:0.632744:0.664848:-0.445008:1.16581:2.07117:-0.0594046:-2.09762:-0.585165:-1.60791:-0.0662857:-0.27749:-0.339776:0.281715:1.04952:0.555479:-0.359794:0.236064:0.106162:-1.036:2.50124:-1.0719:0.771865:-0.416278:0.539683:-0.0417318:0.996232:-0.811987:0.836996:2.0436:-1.53102:-1.09379:0.937334:0.273737:0.862764:1.55039:2.39069:0.190539:-0.266946:-0.761006:-1.96191,s3,-24.62517738342285,0,0
