class_id,entity_id,example_id,feature_bits,label_mode,model_seed,output_entropy,position_mode,predictive_order,stage,target_margin,target_probability,template_id,top1_correct
level1-0,test-entity-125,test:l1:t1:prandomized:c60:i25,001111,arbitrary,11,0.00829608365893364,randomized,1,s3,6.85406494140625,0.9989448189735413,1,1
level1-0,test-entity-126,test:l1:t1:prandomized:c0:i26,000000,arbitrary,11,4.9916328862309456e-05,randomized,1,s3,12.51307487487793,0.9999963045120239,1,1
level1-1,test-entity-127,test:l1:t1:prandomized:c5:i27,101000,arbitrary,11,6.71148070452432e-09,randomized,1,s3,22.005338668823242,1.0,1,1
level1-0,test-entity-128,test:l1:t1:prandomized:c10:i28,010100,arbitrary,11,0.0014588935300707817,randomized,1,s3,8.813772201538086,0.9998513460159302,1,1
level1-1,test-entity-129,test:l1:t1:prandomized:c15:i29,111100,arbitrary,11,5.92335180904513e-10,randomized,1,s3,25.05738067626953,1.0,1,1
level1-0,test-entity-130,test:l1:t1:prandomized:c20:i30,001010,arbitrary,11,0.0006576967425644398,randomized,1,s3,9.696725845336914,0.9999384880065918,1,1
level1-1,test-entity-131,test:l1:t1:prandomized:c25:i31,100110,arbitrary,11,1.7005490349220054e-08,randomized,1,s3,21.019821166992188,1.0,1,1
level1-0,test-entity-100,test:l1:t2:paligned:c0:i0,000000,arbitrary,11,4.1292250898550265e-06,aligned,1,s3,15.180734634399414,0.9999997615814209,2,1
level1-1,test-entity-101,test:l1:t2:paligned:c5:i1,101000,arbitrary,11,1.8545131297287298e-07,aligned,1,s3,18.421329498291016,1.0,2,1
level1-0,test-entity-102,test:l1:t2:paligned:c10:i2,010100,arbitrary,11,2.9571407139883377e-05,aligned,1,s3,13.076282501220703,0.9999978542327881,2,1
level1-1,test-entity-103,test:l1:t2:paligned:c15:i3,111100,arbitrary,11,1.3192887893254124e-09,aligned,1,s3,23.71087074279785,1.0,2,1
level1-0,test-entity-104,test:l1:t2:paligned:c20:i4,001010,arbitrary,11,0.0002923882275354117,aligned,1,s3,10.587871551513672,0.9999747276306152,2,1
level1-1,test-entity-105,test:l1:t2:paligned:c25:i5,100110,arbitrary,11,8.104590961011127e-06,aligned,1,s3,14.455087661743164,0.9999995231628418,2,1
level1-0,test-entity-106,test:l1:t2:paligned:c30:i6,011110,arbitrary,11,0.0006465688929893076,aligned,1,s3,9.715484619140625,0.9999396800994873,2,1
level1-1,test-entity-107,test:l1:t2:paligned:c35:i7,110001,arbitrary,11,0.00017593265511095524,aligned,1,s3,11.146438598632812,0.9999855756759644,2,1
level1-0,test-entity-108,test:l1:t2:paligned:c40:i8,000101,arbitrary,11,0.00027855942607857287,aligned,1,s3,10.767786026000977,0.9999771118164062,2,1
level1-1,test-entity-109,test:l1:t2:paligned:c45:i9,101101,arbitrary,11,2.1777691472379956e-06,aligned,1,s3,15.884626388549805,0.9999998807907104,2,1
level1-0,test-entity-110,test:l1:t2:paligned:c50:i10,010011,arbitrary,11,0.00018390905461274087,aligned,1,s3,11.146839141845703,0.9999850988388062,2,1
level1-1,test-entity-111,test:l1:t2:paligned:c55:i11,111011,arbitrary,11,2.132839199475711e-06,aligned,1,s3,15.903553009033203,0.9999998807907104,2,1
level1-0,test-entity-112,test:l1:t2:paligned:c60:i12,001111,arbitrary,11,0.0030082238372415304,aligned,1,s3,8.005346298217773,0.9996662139892578,2,1
level1-0,test-entity-113,test:l1:t2:paligned:c0:i13,000000,arbitrary,11,2.42221881308069e-06,aligned,1,s3,15.740882873535156,0.9999998807907104,2,1
level1-1,test-entity-114,test:l1:t2:paligned:c5:i14,101000,arbitrary,11,7.554244341179128e-09,aligned,1,s3,21.86094093322754,1.0,2,1
level1-0,test-entity-115,test:l1:t2:paligned:c10:i15,010100,arbitrary,11,9.574374416843057e-05,aligned,1,s3,11.804073333740234,0.9999924898147583,2,1
level1-1,test-entity-116,test:l1:t2:paligned:c15:i16,111100,arbitrary,11,2.3029494755633095e-08,aligned,1,s3,20.63280487060547,1.0,2,1
level1-0,test-entity-117,test:l1:t2:paligned:c20:i17,001010,arbitrary,11,7.483304216293618e-05,aligned,1,s3,12.070734024047852,0.9999942779541016,2,1
level1-1,test-entity-118,test:l1:t2:paligned:c25:i18,100110,arbitrary,11,2.860744416466332e-06,aligned,1,s3,15.551715850830078,0.9999998807907104,2,1
level1-0,test-entity-119,test:l1:t2:paligned:c30:i19,011110,arbitrary,11,0.0006077412981539965,aligned,1,s3,9.783870697021484,0.9999436140060425,2,1
level1-1,test-entity-120,test:l1:t2:paligned:c35:i20,110001,arbitrary,11,1.395566596329445e-05,aligned,1,s3,13.910835266113281,0.9999990463256836,2,1
level1-0,test-entity-121,test:l1:t2:paligned:c40:i21,000101,arbitrary,11,0.0016514104790985584,aligned,1,s3,8.69921875,0.9998310804367065,2,1
level1-1,test-entity-122,test:l1:t2:paligned:c45:i22,101101,arbitrary,11,2.273468226121622e-06,aligned,1,s3,15.816471099853516,0.9999998807907104,2,1
level1-0,test-entity-123,test:l1:t2:paligned:c50:i23,010011,arbitrary,11,0.0002367256092838943,aligned,1,s3,10.859424591064453,0.9999802112579346,2,1
level1-1,test-entity-124,test:l1:t2:paligned:c55:i24,111011,arbitrary,11,4.044016804982675e-06,aligned,1,s3,15.205316543579102,0.9999997615814209,2,1
level1-0,test-entity-125,test:l1:t2:paligned:c60:i25,001111,arbitrary,11,0.0011228722287341952,aligned,1,s3,9.109703063964844,0.9998891353607178,2,1
level1-0,test-entity-126,test:l1:t2:paligned:c0:i26,000000,arbitrary,11,3.121361260127742e-06,aligned,1,s3,15.520853042602539,0.9999997615814209,2,1
level1-1,test-entity-127,test:l1:t2:paligned:c5:i27,101000,arbitrary,11,4.178538759447292e-08,aligned,1,s3,20.074464797973633,1.0,2,1
level1-0,test-entity-128,test:l1:t2:paligned:c10:i28,010100,arbitrary,11,4.78941947221756e-05,aligned,1,s3,12.554487228393555,0.9999964237213135,2,1
level1-1,test-entity-129,test:l1:t2:paligned:c15:i29,111100,arbitrary,11,1.0852272680494934e-07,aligned,1,s3,19.045955657958984,1.0,2,1
level1-0,test-entity-130,test:l1:t2:paligned:c20:i30,001010,arbitrary,11,0.0007299500284716487,aligned,1,s3,9.581697463989258,0.9999309778213501,2,1
level1-1,test-entity-131,test:l1:t2:paligned:c25:i31,100110,arbitrary,11,3.9204559243444237e-07,aligned,1,s3,17.628063201904297,1.0,2,1
