accuracy,architecture,heads,layers,mean_margin,model_seed,n,required_path,split,width
0.5,L8_W64_H4,4,8,0.003967796762784322,23,384,8,test,64
0.4713541666666667,L8_W64_H4,4,8,-0.004727254311243693,23,384,1,validation,64
0.5364583333333334,L8_W64_H4,4,8,0.003316094477971395,23,384,12,validation,64
0.5,L8_W64_H4,4,8,0.0038669010003407798,23,384,16,validation,64
0.5729166666666666,L8_W64_H4,4,8,0.003796269496281942,23,384,2,validation,64
0.4166666666666667,L8_W64_H4,4,8,-0.009943664073944092,23,384,3,validation,64
0.4895833333333333,L8_W64_H4,4,8,-0.00526009996732076,23,384,4,validation,64
0.5130208333333334,L8_W64_H4,4,8,0.003129050135612488,23,384,6,validation,64
0.5,L8_W64_H4,4,8,-0.0027076154947280884,23,384,8,validation,64
0.5598958333333334,L8_W64_H4,4,8,0.007865851124127706,37,384,1,test,64
0.4244791666666667,L8_W64_H4,4,8,-0.0009651631116867065,37,384,12,test,64
0.46875,L8_W64_H4,4,8,-0.003260622421900431,37,384,16,test,64
0.4348958333333333,L8_W64_H4,4,8,-0.007065827647844951,37,384,2,test,64
0.5807291666666666,L8_W64_H4,4,8,0.006158560514450073,37,384,3,test,64
0.5104166666666666,L8_W64_H4,4,8,-0.00010369221369425456,37,384,4,test,64
0.5625,L8_W64_H4,4,8,-0.0008938610553741455,37,384,6,test,64
0.5052083333333334,L8_W64_H4,4,8,0.0029211193323135376,37,384,8,test,64
0.3515625,L8_W64_H4,4,8,-0.01301842431227366,37,384,1,validation,64
0.4322916666666667,L8_W64_H4,4,8,-0.00012288987636566162,37,384,12,validation,64
0.515625,L8_W64_H4,4,8,0.00011531511942545573,37,384,16,validation,64
0.453125,L8_W64_H4,4,8,-0.0037925243377685547,37,384,2,validation,64
0.5598958333333334,L8_W64_H4,4,8,0.01749509572982788,37,384,3,validation,64
0.4895833333333333,L8_W64_H4,4,8,-0.0034318516651789346,37,384,4,validation,64
0.4713541666666667,L8_W64_H4,4,8,-0.0030737568934758506,37,384,6,validation,64
0.515625,L8_W64_H4,4,8,0.005212604999542236,37,384,8,validation,64
