accuracy,architecture,heads,layers,mean_margin,model_seed,n,position_mode,required_path,split,template_id,tree_seed,width
0.5625,L2_W64_H4,4,2,0.014314770698547363,11,16,randomized,1,validation,0,101,64
0.5,L2_W64_H4,4,2,0.007755279541015625,11,16,randomized,1,validation,0,211,64
0.4375,L2_W64_H4,4,2,0.018027186393737793,11,16,randomized,1,validation,0,307,64
0.625,L2_W64_H4,4,2,0.056209564208984375,11,16,aligned,1,validation,1,101,64
0.3125,L2_W64_H4,4,2,-0.04687094688415527,11,16,aligned,1,validation,1,211,64
0.4375,L2_W64_H4,4,2,-0.02892160415649414,11,16,aligned,1,validation,1,307,64
0.5,L2_W64_H4,4,2,0.014208793640136719,11,16,randomized,1,validation,1,101,64
0.5,L2_W64_H4,4,2,0.010689616203308105,11,16,randomized,1,validation,1,211,64
0.4375,L2_W64_H4,4,2,0.017553210258483887,11,16,randomized,1,validation,1,307,64
0.625,L2_W64_H4,4,2,0.04331839084625244,11,16,aligned,1,validation,2,101,64
0.375,L2_W64_H4,4,2,-0.05471348762512207,11,16,aligned,1,validation,2,211,64
0.5,L2_W64_H4,4,2,-0.027077198028564453,11,16,aligned,1,validation,2,307,64
0.625,L2_W64_H4,4,2,0.039052486419677734,11,16,randomized,1,validation,2,101,64
0.5,L2_W64_H4,4,2,-0.0039206743240356445,11,16,randomized,1,validation,2,211,64
0.4375,L2_W64_H4,4,2,-0.012482285499572754,11,16,randomized,1,validation,2,307,64
0.625,L2_W64_H4,4,2,0.0527496337890625,11,16,aligned,1,validation,3,101,64
0.3125,L2_W64_H4,4,2,-0.04572951793670654,11,16,aligned,1,validation,3,211,64
0.4375,L2_W64_H4,4,2,-0.029324769973754883,11,16,aligned,1,validation,3,307,64
0.6875,L2_W64_H4,4,2,0.03975212574005127,11,16,randomized,1,validation,3,101,64
0.5,L2_W64_H4,4,2,-0.001226663589477539,11,16,randomized,1,validation,3,211,64
0.4375,L2_W64_H4,4,2,-0.012288331985473633,11,16,randomized,1,validation,3,307,64
0.5,L2_W64_H4,4,2,-0.044706106185913086,11,16,aligned,12,validation,0,101,64
0.4375,L2_W64_H4,4,2,-0.06489026546478271,11,16,aligned,12,validation,0,211,64
0.5,L2_W64_H4,4,2,0.00330960750579834,11,16,aligned,12,validation,0,307,64
0.375,L2_W64_H4,4,2,-0.03795957565307617,11,16,randomized,12,validation,0,101,64
0.3125,L2_W64_H4,4,2,-0.05925416946411133,11,16,randomized,12,validation,0,211,64
0.5,L2_W64_H4,4,2,0.009858846664428711,11,16,randomized,12,validation,0,307,64
0.5,L2_W64_H4,4,2,-0.0458524227142334,11,16,aligned,12,validation,1,101,64
