architecture,branching,budget_multiplier,diagnostic_tier,distractors,evaluation_axis,example_id,heads,label_mode,model_depth,model_seed,output_entropy,position_mode,predicate,required_path,sequence_length,target_margin,target_probability,target_rank,template_id,top1_correct,total_depth,tree_seed,width
baseline,2,2,easy,4,depth_path,test:grandparent:D3:d2:b2:N4:t0:paligned:tree307:i0,4,arbitrary,4,11,1.837812066078186,aligned,grandparent,2,16,-3.8384556770324707,0.014359189197421074,8,0,0,3,307,64
baseline,2,2,easy,4,depth_path,test:grandparent:D3:d2:b2:N4:t1:paligned:tree307:i1,4,arbitrary,4,11,0.3874035179615021,aligned,grandparent,2,16,-3.1630420684814453,0.03947041183710098,2,1,0,3,307,64
baseline,2,2,easy,4,depth_path,test:grandparent:D3:d2:b2:N4:t2:paligned:tree307:i2,4,arbitrary,4,11,3.606494665145874,aligned,grandparent,2,16,-0.22734737396240234,0.14017975330352783,2,2,0,3,307,64
baseline,2,2,easy,4,depth_path,test:grandparent:D3:d2:b2:N4:t3:paligned:tree307:i3,4,arbitrary,4,11,1.0500993728637695,aligned,grandparent,2,16,2.5214834213256836,0.8103161454200745,1,3,1,3,307,64
baseline,2,2,easy,4,depth_path,test:ancestor_k:D2:d1:b2:N4:t0:paligned:tree101:i0,4,arbitrary,4,11,1.8626137971878052,aligned,ancestor_k,1,16,-3.80098295211792,0.01385077927261591,7,0,0,2,101,64
baseline,2,2,easy,4,depth_path,test:ancestor_k:D2:d1:b2:N4:t1:paligned:tree101:i1,4,arbitrary,4,11,1.5986533164978027,aligned,ancestor_k,1,16,2.8621292114257812,0.7105826139450073,1,1,1,2,101,64
baseline,2,2,easy,4,depth_path,test:ancestor_k:D2:d1:b2:N4:t2:paligned:tree101:i2,4,arbitrary,4,11,2.253068447113037,aligned,ancestor_k,1,16,2.565523624420166,0.5793037414550781,1,2,1,2,101,64
baseline,2,2,easy,4,depth_path,test:ancestor_k:D2:d1:b2:N4:t3:paligned:tree101:i3,4,arbitrary,4,11,0.494504451751709,aligned,ancestor_k,1,16,2.8564653396606445,0.9111820459365845,1,3,1,2,101,64
baseline,2,2,easy,4,depth_path,test:ancestor_k:D2:d1:b2:N4:t0:paligned:tree211:i0,4,arbitrary,4,11,0.7241703867912292,aligned,ancestor_k,1,16,2.9223480224609375,0.873340368270874,1,0,1,2,211,64
baseline,2,2,easy,4,depth_path,test:ancestor_k:D2:d1:b2:N4:t1:paligned:tree211:i1,4,arbitrary,4,11,0.9769967198371887,aligned,ancestor_k,1,16,3.1432204246520996,0.8415749073028564,1,1,1,2,211,64
baseline,2,2,easy,4,depth_path,test:ancestor_k:D2:d1:b2:N4:t2:paligned:tree211:i2,4,arbitrary,4,11,1.0069080591201782,aligned,ancestor_k,1,16,2.7915430068969727,0.8327174186706543,1,2,1,2,211,64
baseline,2,2,easy,4,depth_path,test:ancestor_k:D2:d1:b2:N4:t3:paligned:tree211:i3,4,arbitrary,4,11,1.1087568998336792,aligned,ancestor_k,1,16,0.4539909362792969,0.57230144739151,1,3,1,2,211,64
baseline,2,2,easy,4,depth_path,test:ancestor_k:D2:d1:b2:N4:t0:paligned:tree307:i0,4,arbitrary,4,11,4.331905364990234,aligned,ancestor_k,1,16,-0.4230928421020508,0.04701061174273491,3,0,0,2,307,64
baseline,2,2,easy,4,depth_path,test:ancestor_k:D2:d1:b2:N4:t1:paligned:tree307:i1,4,arbitrary,4,11,3.0261542797088623,aligned,ancestor_k,1,16,0.718599796295166,0.2592701017856598,1,1,1,2,307,64
baseline,2,2,easy,4,depth_path,test:ancestor_k:D2:d1:b2:N4:t2:paligned:tree307:i2,4,arbitrary,4,11,2.5697543621063232,aligned,ancestor_k,1,16,0.1915302276611328,0.3251974284648895,1,2,1,2,307,64
baseline,2,2,easy,4,depth_path,test:ancestor_k:D2:d1:b2:N4:t3:paligned:tree307:i3,4,arbitrary,4,11,3.260180950164795,aligned,ancestor_k,1,16,0.4457712173461914,0.23681797087192535,1,3,1,2,307,64
baseline,2,2,easy,4,depth_path,test:isAncestor:D2:d1:b2:N4:t0:paligned:tree101:i0,4,arbitrary,4,11,1.779564854587079e-06,aligned,isAncestor,1,16,16.69150161743164,1.0,1,0,1,2,101,64
baseline,2,2,easy,4,depth_path,test:isAncestor:D2:d1:b2:N4:t1:paligned:tree101:i1,4,arbitrary,4,11,4.308307688916102e-05,aligned,isAncestor,1,16,12.823722839355469,0.9999969005584717,1,1,1,2,101,64
