architecture_depth,block_update_cosine,ff_update_cosine,layer,long_length,model_seed,regime,sa_update_cosine,short_length
8,0.5240249037742615,0.9078012704849243,3,3,11,redundant,-0.00046521425247192383,2
8,0.852989912033081,0.40969860553741455,3,3,11,redundant,0.9013067483901978,2
8,-0.1671903431415558,-0.0599367618560791,3,3,11,redundant,-0.1172877848148346,2
8,0.5707681179046631,0.561154842376709,3,3,11,redundant,0.41582149267196655,2
8,0.6656329035758972,0.5615057945251465,3,3,11,redundant,0.614812970161438,2
8,0.5631951689720154,0.08217383921146393,3,3,11,redundant,0.7181260585784912,2
8,0.7120528221130371,0.5382386445999146,3,3,11,redundant,0.5426793098449707,2
8,0.8702201843261719,0.4485326111316681,3,3,11,redundant,0.8136810064315796,2
8,0.7074131965637207,0.8576703071594238,3,3,11,redundant,0.6953271627426147,2
8,0.059269461780786514,-0.13152195513248444,3,3,11,redundant,0.2909833490848541,2
8,0.7600466012954712,-0.242378830909729,3,3,11,redundant,0.8981959223747253,2
8,0.8640731573104858,-0.016086064279079437,3,3,11,redundant,0.8918824195861816,2
8,0.2324725091457367,0.860607922077179,3,3,11,redundant,0.034037284553050995,2
8,0.8253459930419922,0.07104886323213577,3,3,11,supportive,0.8428479433059692,2
8,0.7181899547576904,0.20075422525405884,3,3,11,supportive,0.8084460496902466,2
8,0.912560224533081,0.980070173740387,3,3,11,supportive,0.8942868113517761,2
8,-0.18867258727550507,-0.1826259195804596,3,3,11,supportive,-0.11429202556610107,2
8,0.18722733855247498,0.9929450154304504,3,3,11,supportive,-0.3765949010848999,2
8,0.65611332654953,0.34891217947006226,3,3,11,supportive,0.7409031987190247,2
8,0.7570273280143738,0.5179192423820496,3,3,11,supportive,0.7001607418060303,2
8,0.4735735356807709,0.296873539686203,3,3,11,supportive,0.3103492259979248,2
8,-0.2157943695783615,0.8483829498291016,3,3,11,supportive,-0.6405292749404907,2
8,0.790023922920227,0.15649789571762085,3,3,11,supportive,0.8391942381858826,2
8,0.45363545417785645,0.17276278138160706,3,3,11,supportive,0.41720548272132874,2
8,0.532566487789154,0.6371811628341675,3,3,11,supportive,0.302453875541687,2
8,0.31678327918052673,-0.17275351285934448,3,3,11,supportive,0.3336896300315857,2
8,0.7680131793022156,0.3682757019996643,3,3,11,supportive,0.8251131772994995,2
8,0.8186222314834595,0.3394203186035156,3,3,11,supportive,0.6340286135673523,2
8,0.2292180061340332,0.8432888984680176,3,3,11,supportive,0.0022494494915008545,2
8,0.07584285736083984,0.39557549357414246,3,3,11,supportive,-0.06696808338165283,2
8,0.8617428541183472,0.39650633931159973,3,3,11,supportive,0.8607654571533203,2
8,0.27476590871810913,0.3139188587665558,3,3,11,supportive,0.034358635544776917,2
8,0.9745465517044067,0.9598532915115356,3,3,11,supportive,0.9656542539596558,2
8,0.9915241003036499,0.999809205532074,3,3,11,supportive,0.9885351657867432,2
8,-0.561069667339325,-0.06173359602689743,3,3,11,supportive,-0.6557767987251282,2
8,-0.039047710597515106,0.8132660984992981,3,3,11,supportive,-0.3650645613670349,2
8,0.007712293416261673,0.796720027923584,3,3,11,supportive,-0.5650081038475037,2
8,-0.6101402044296265,0.3487125635147095,3,3,11,supportive,-0.6457328796386719,2
8,0.7181899547576904,0.20075422525405884,3,3,11,supportive,0.8084460496902466,2
8,0.06515128165483475,-0.040322065353393555,3,3,11,supportive,-0.20481713116168976,2
8,0.7072686553001404,0.5439739227294922,3,3,11,supportive,0.8227365016937256,2
8,0.8186222314834595,0.3394203186035156,3,3,11,supportive,0.6340286135673523,2
8,0.7181899547576904,0.20075422525405884,3,3,11,supportive,0.8084460496902466,2
8,0.532732367515564,0.4965507388114929,3,3,11,supportive,0.4265393614768982,2
8,0.912560224533081,0.9800703525543213,3,3,11,supportive,0.8942869305610657,2
8,-0.676821768283844,-0.6262341737747192,4,3,11,redundant,-0.7939137816429138,2
8,0.6694475412368774,0.6119587421417236,4,3,11,redundant,0.6242478489875793,2
8,0.2273780107498169,0.584468424320221,4,3,11,redundant,0.1862725466489792,2
8,0.7163940668106079,0.713634729385376,4,3,11,redundant,0.7135389447212219,2
8,0.25401023030281067,-0.2245384305715561,4,3,11,redundant,0.3852836787700653,2
8,0.8960031270980835,0.44508129358291626,4,3,11,redundant,0.8885886073112488,2
8,0.34369906783103943,0.8609757423400879,4,3,11,redundant,0.1312878429889679,2
8,0.8935847878456116,0.5316252112388611,4,3,11,redundant,0.8855465054512024,2
8,-0.5099444389343262,0.8155618906021118,4,3,11,redundant,-0.7517022490501404,2
8,-0.510613739490509,0.8155019879341125,4,3,11,redundant,-0.7517154216766357,2
8,-0.6002321243286133,0.7403775453567505,4,3,11,redundant,-0.6349801421165466,2
8,-0.727064847946167,-0.6929038763046265,4,3,11,redundant,-0.5660452246665955,2
8,0.6297490000724792,0.7426584959030151,4,3,11,redundant,0.6167246699333191,2
