condition,episode_id,family,heads,layers,modulus,parameters,seed,split,target,target_margin,target_rank,top1,variant,width
none,4dac4b669205acc9,multiply_a,1,1,5,4,11,seen_parameter,0,1.1954922676086426,1,1,sa_only,32
shuffled,4dac4b669205acc9,multiply_a,1,1,5,4,11,seen_parameter,0,1.4953432083129883,1,1,sa_only,32
wrong_rule,4dac4b669205acc9,multiply_a,1,1,5,4,11,seen_parameter,0,1.8240351676940918,1,1,sa_only,32
correct,ea2f88dfe4b606cc,multiply_a,1,1,5,4,11,seen_parameter,2,-2.1235365867614746,6,0,sa_only,32
none,ea2f88dfe4b606cc,multiply_a,1,1,5,4,11,seen_parameter,2,-1.378664255142212,7,0,sa_only,32
shuffled,ea2f88dfe4b606cc,multiply_a,1,1,5,4,11,seen_parameter,2,-2.0813255310058594,6,0,sa_only,32
wrong_rule,ea2f88dfe4b606cc,multiply_a,1,1,5,4,11,seen_parameter,2,-2.2838070392608643,7,0,sa_only,32
correct,1a9a9fa0b740fa01,multiply_a,1,1,5,2,11,seen_parameter,0,1.5981979370117188,1,1,sa_only,32
none,1a9a9fa0b740fa01,multiply_a,1,1,5,2,11,seen_parameter,0,1.1954922676086426,1,1,sa_only,32
shuffled,1a9a9fa0b740fa01,multiply_a,1,1,5,2,11,seen_parameter,0,1.710744857788086,1,1,sa_only,32
wrong_rule,1a9a9fa0b740fa01,multiply_a,1,1,5,2,11,seen_parameter,0,1.6072173118591309,1,1,sa_only,32
correct,5e69da799ee221e6,multiply_a,1,1,5,2,11,seen_parameter,2,-2.7909061908721924,12,0,sa_only,32
none,5e69da799ee221e6,multiply_a,1,1,5,2,11,seen_parameter,2,-2.100433349609375,12,0,sa_only,32
shuffled,5e69da799ee221e6,multiply_a,1,1,5,2,11,seen_parameter,2,-2.8153538703918457,12,0,sa_only,32
wrong_rule,5e69da799ee221e6,multiply_a,1,1,5,2,11,seen_parameter,2,-2.7474565505981445,12,0,sa_only,32
correct,14abdab26bf52f01,multiply_a,1,1,5,2,11,seen_parameter,4,-2.548243761062622,15,0,sa_only,32
none,14abdab26bf52f01,multiply_a,1,1,5,2,11,seen_parameter,4,-1.6034882068634033,17,0,sa_only,32
shuffled,14abdab26bf52f01,multiply_a,1,1,5,2,11,seen_parameter,4,-2.4289398193359375,15,0,sa_only,32
wrong_rule,14abdab26bf52f01,multiply_a,1,1,5,2,11,seen_parameter,4,-2.465977191925049,15,0,sa_only,32
correct,df6f346315dd3eae,multiply_a,1,1,5,2,11,seen_parameter,2,-2.6672325134277344,12,0,sa_only,32
none,df6f346315dd3eae,multiply_a,1,1,5,2,11,seen_parameter,2,-2.100433349609375,12,0,sa_only,32
shuffled,df6f346315dd3eae,multiply_a,1,1,5,2,11,seen_parameter,2,-2.6124074459075928,13,0,sa_only,32
wrong_rule,df6f346315dd3eae,multiply_a,1,1,5,2,11,seen_parameter,2,-2.696816921234131,12,0,sa_only,32
correct,05878679376fb55c,multiply_a,1,1,5,3,11,seen_parameter,3,-2.567119598388672,16,0,sa_only,32
none,05878679376fb55c,multiply_a,1,1,5,3,11,seen_parameter,3,-2.2136831283569336,16,0,sa_only,32
shuffled,05878679376fb55c,multiply_a,1,1,5,3,11,seen_parameter,3,-2.577906608581543,16,0,sa_only,32
wrong_rule,05878679376fb55c,multiply_a,1,1,5,3,11,seen_parameter,3,-2.7186357975006104,15,0,sa_only,32
correct,b4bc16b5d489c930,multiply_a,1,1,5,3,11,seen_parameter,3,-2.657984733581543,14,0,sa_only,32
none,b4bc16b5d489c930,multiply_a,1,1,5,3,11,seen_parameter,3,-2.2136831283569336,16,0,sa_only,32
shuffled,b4bc16b5d489c930,multiply_a,1,1,5,3,11,seen_parameter,3,-2.5784363746643066,14,0,sa_only,32
wrong_rule,b4bc16b5d489c930,multiply_a,1,1,5,3,11,seen_parameter,3,-2.4569199085235596,14,0,sa_only,32
correct,0528e26ac9871fc9,multiply_a,1,1,5,3,11,seen_parameter,1,-1.7926340103149414,7,0,sa_only,32
none,0528e26ac9871fc9,multiply_a,1,1,5,3,11,seen_parameter,1,-1.4202156066894531,13,0,sa_only,32
shuffled,0528e26ac9871fc9,multiply_a,1,1,5,3,11,seen_parameter,1,-1.9180994033813477,7,0,sa_only,32
wrong_rule,0528e26ac9871fc9,multiply_a,1,1,5,3,11,seen_parameter,1,-1.9950847625732422,7,0,sa_only,32
correct,af8882bd9b767bbe,multiply_a,1,1,5,3,11,seen_parameter,1,-1.9158086776733398,6,0,sa_only,32
none,af8882bd9b767bbe,multiply_a,1,1,5,3,11,seen_parameter,1,-1.4202156066894531,13,0,sa_only,32
shuffled,af8882bd9b767bbe,multiply_a,1,1,5,3,11,seen_parameter,1,-1.885291337966919,6,0,sa_only,32
wrong_rule,af8882bd9b767bbe,multiply_a,1,1,5,3,11,seen_parameter,1,-1.93581223487854,6,0,sa_only,32
correct,e1b95782f3b2de13,affine,1,1,5,4;2,11,seen_parameter,3,-2.3836231231689453,9,0,sa_only,32
none,e1b95782f3b2de13,affine,1,1,5,4;2,11,seen_parameter,3,-2.221045970916748,9,0,sa_only,32
shuffled,e1b95782f3b2de13,affine,1,1,5,4;2,11,seen_parameter,3,-2.302750587463379,10,0,sa_only,32
