accuracy_delta,component,example_id,js_damage,layer,margin_delta,mode,model_depth,model_seed,predicate,stage,status
0,sa,test:isAncestor:D16:d6:b2:N4:t1:paligned:tree101:i1,0.0006622031796723604,2,1.0295495986938477,zero,4,23,isAncestor,s1,
0,ff,test:isAncestor:D16:d6:b2:N4:t1:paligned:tree101:i1,0.0006076708668842912,2,1.4374380111694336,zero,4,23,isAncestor,s1,
0,sa,test:isAncestor:D16:d6:b2:N4:t1:paligned:tree101:i1,0.0005792471347376704,3,0.42601585388183594,zero,4,23,isAncestor,s1,
0,ff,test:isAncestor:D16:d6:b2:N4:t1:paligned:tree101:i1,0.0003338926180731505,3,0.6174325942993164,zero,4,23,isAncestor,s1,
-1,sa,test:isAncestor:D24:d4:b2:N4:t1:paligned:tree307:i1,0.6784542798995972,0,-10.03238821029663,zero,4,23,isAncestor,s1,
0,ff,test:isAncestor:D24:d4:b2:N4:t1:paligned:tree307:i1,0.00023119495017454028,0,1.0205116271972656,zero,4,23,isAncestor,s1,
0,sa,test:isAncestor:D24:d4:b2:N4:t1:paligned:tree307:i1,0.0005221252213232219,1,1.1839227676391602,zero,4,23,isAncestor,s1,
0,ff,test:isAncestor:D24:d4:b2:N4:t1:paligned:tree307:i1,0.00029847814585082233,1,0.8661737442016602,zero,4,23,isAncestor,s1,
0,sa,test:isAncestor:D24:d4:b2:N4:t1:paligned:tree307:i1,0.0008085748413577676,2,1.745528221130371,zero,4,23,isAncestor,s1,
0,ff,test:isAncestor:D24:d4:b2:N4:t1:paligned:tree307:i1,0.00041139964014291763,2,0.9645919799804688,zero,4,23,isAncestor,s1,
0,sa,test:isAncestor:D24:d4:b2:N4:t1:paligned:tree307:i1,0.0010212487541139126,3,2.2562255859375,zero,4,23,isAncestor,s1,
0,ff,test:isAncestor:D24:d4:b2:N4:t1:paligned:tree307:i1,0.0003131641715299338,3,0.7951641082763672,zero,4,23,isAncestor,s1,
-1,sa,test:isAncestor:D32:d3:b2:N4:t2:paligned:tree211:i2,0.6239197254180908,0,-11.395426750183105,zero,4,23,isAncestor,s1,
0,ff,test:isAncestor:D32:d3:b2:N4:t2:paligned:tree211:i2,4.585320857586339e-05,0,-1.1997451782226562,zero,4,23,isAncestor,s1,
0,sa,test:isAncestor:D32:d3:b2:N4:t2:paligned:tree211:i2,2.7562675313674845e-05,1,1.0909395217895508,zero,4,23,isAncestor,s1,
0,ff,test:isAncestor:D32:d3:b2:N4:t2:paligned:tree211:i2,1.6473586583742872e-05,1,0.9478139877319336,zero,4,23,isAncestor,s1,
