accuracy_delta,component,example_id,js_damage,layer,margin_delta,mode,model_seed,predictive_order
0,ff,test:l2:t0:prandomized:c20:i4,6.221419490692881e-10,3,0.6442642211914062,zero,11,2
0,sa,test:l2:t0:prandomized:c20:i4,4.709476142394919e-10,4,0.6614456176757812,zero,11,2
0,ff,test:l2:t0:prandomized:c20:i4,9.700460434913794e-10,4,0.7724380493164062,zero,11,2
0,sa,test:l2:t0:prandomized:c20:i4,2.8389227080261037e-10,5,-0.5470294952392578,zero,11,2
0,ff,test:l2:t0:prandomized:c20:i4,4.423229005290352e-10,5,0.16699600219726562,zero,11,2
0,sa,test:l2:t1:paligned:c40:i8,0.04596979171037674,0,-16.0244197845459,zero,11,2
0,ff,test:l2:t1:paligned:c40:i8,1.8604237084218767e-06,0,-5.697797775268555,zero,11,2
0,sa,test:l2:t1:paligned:c40:i8,2.314994162588846e-05,1,-8.33979606628418,zero,11,2
0,ff,test:l2:t1:paligned:c40:i8,3.924841562863435e-10,1,-0.12102317810058594,zero,11,2
0,sa,test:l2:t1:paligned:c40:i8,2.8379520244925516e-06,2,-6.28449821472168,zero,11,2
0,ff,test:l2:t1:paligned:c40:i8,1.7336905244746958e-09,2,0.9815196990966797,zero,11,2
0,sa,test:l2:t1:paligned:c40:i8,6.1608620427477945e-09,3,2.8324222564697266,zero,11,2
0,ff,test:l2:t1:paligned:c40:i8,3.4371443469183305e-09,3,1.558584213256836,zero,11,2
0,sa,test:l2:t1:paligned:c40:i8,5.271810543661104e-09,4,2.071390151977539,zero,11,2
0,ff,test:l2:t1:paligned:c40:i8,4.198587255643815e-09,4,1.6725826263427734,zero,11,2
0,sa,test:l2:t1:paligned:c40:i8,5.532664992813352e-09,5,2.4939022064208984,zero,11,2
0,ff,test:l2:t1:paligned:c40:i8,2.982685431973664e-09,5,1.3090877532958984,zero,11,2
-1,sa,test:l2:t1:prandomized:c0:i13,0.32488924264907837,0,-13.422037124633789,zero,11,2
0,ff,test:l2:t1:prandomized:c0:i13,0.009439395740628242,0,-9.082727432250977,zero,11,2
0,sa,test:l2:t1:prandomized:c0:i13,0.000461653689853847,1,-6.086610794067383,zero,11,2
0,ff,test:l2:t1:prandomized:c0:i13,3.690588812332862e-08,1,-0.28648948669433594,zero,11,2
0,sa,test:l2:t1:prandomized:c0:i13,7.405491942336084e-06,2,-1.9202594757080078,zero,11,2
0,ff,test:l2:t1:prandomized:c0:i13,4.385095735415234e-07,2,1.5742206573486328,zero,11,2
0,sa,test:l2:t1:prandomized:c0:i13,6.977975317568053e-07,3,2.445371627807617,zero,11,2
0,ff,test:l2:t1:prandomized:c0:i13,7.124637022570823e-07,3,2.5056533813476562,zero,11,2
0,sa,test:l2:t1:prandomized:c0:i13,7.34677314540022e-07,4,2.6007766723632812,zero,11,2
0,ff,test:l2:t1:prandomized:c0:i13,8.005305858205247e-07,4,2.9164962768554688,zero,11,2
0,sa,test:l2:t1:prandomized:c0:i13,1.0684377684810897e-06,5,7.974603652954102,zero,11,2
0,ff,test:l2:t1:prandomized:c0:i13,6.119831823525601e-07,5,2.1226673126220703,zero,11,2
-1,sa,test:l2:t2:paligned:c20:i17,0.6931466460227966,0,-36.06017303466797,zero,11,2
0,ff,test:l2:t2:paligned:c20:i17,1.3313166391526465e-06,0,9.540672302246094,zero,11,2
0,sa,test:l2:t2:paligned:c20:i17,2.5123470550170168e-05,1,-2.8852577209472656,zero,11,2
0,ff,test:l2:t2:paligned:c20:i17,0.00020973784558009356,1,-5.08228874206543,zero,11,2
0,sa,test:l2:t2:paligned:c20:i17,0.0008872832404449582,2,-6.467090606689453,zero,11,2
0,ff,test:l2:t2:paligned:c20:i17,1.2088383627428811e-09,2,0.04431915283203125,zero,11,2
0,sa,test:l2:t2:paligned:c20:i17,8.195191867343965e-07,3,2.2994918823242188,zero,11,2
0,ff,test:l2:t2:paligned:c20:i17,7.693206782732886e-08,3,0.4470100402832031,zero,11,2
0,sa,test:l2:t2:paligned:c20:i17,1.182552068712539e-06,4,4.029544830322266,zero,11,2
0,ff,test:l2:t2:paligned:c20:i17,7.991245638550026e-07,4,2.2374725341796875,zero,11,2
0,sa,test:l2:t2:paligned:c20:i17,1.1378689350749482e-06,5,3.691150665283203,zero,11,2
0,ff,test:l2:t2:paligned:c20:i17,1.834685292578797e-07,5,0.7440452575683594,zero,11,2
0,sa,test:l2:t2:prandomized:c45:i22,0.002187000121921301,0,-10.65323257446289,zero,11,2
0,ff,test:l2:t2:prandomized:c45:i22,0.0007210596231743693,0,-9.783536911010742,zero,11,2
0,sa,test:l2:t2:prandomized:c45:i22,0.00016173883341252804,1,-8.2899169921875,zero,11,2
0,ff,test:l2:t2:prandomized:c45:i22,1.807202920645068e-08,1,-0.8858718872070312,zero,11,2
0,sa,test:l2:t2:prandomized:c45:i22,1.497064999966824e-06,2,-3.7402610778808594,zero,11,2
0,ff,test:l2:t2:prandomized:c45:i22,5.556383797511444e-09,2,0.7292900085449219,zero,11,2
0,sa,test:l2:t2:prandomized:c45:i22,3.364539935546418e-08,3,3.3073348999023438,zero,11,2
0,ff,test:l2:t2:prandomized:c45:i22,1.4962619587777226e-08,3,1.4207572937011719,zero,11,2
0,sa,test:l2:t2:prandomized:c45:i22,1.7825819043082447e-08,4,1.6167030334472656,zero,11,2
0,ff,test:l2:t2:prandomized:c45:i22,1.3526022968335383e-08,4,1.3062705993652344,zero,11,2
