accuracy_delta,component,donor,donor_type,js_damage,layer,margin_damage,model_depth,model_seed,predicate,recipient,stage,status
0,ff,test:isAncestor:D8:d8:b2:N4:t0:paligned:tree101:i0,same_predicate_cross_tree_same_role,6.241174560273066e-06,2,-0.13652610778808594,4,23,,test:isAncestor:D8:d8:b2:N4:t0:paligned:tree307:i0,s1,
0,sa,test:isAncestor:D8:d8:b2:N4:t0:paligned:tree101:i0,same_predicate_cross_tree_same_role,7.35556568542961e-07,3,0.03471946716308594,4,23,,test:isAncestor:D8:d8:b2:N4:t0:paligned:tree307:i0,s1,
0,ff,test:isAncestor:D8:d8:b2:N4:t0:paligned:tree101:i0,same_predicate_cross_tree_same_role,7.344010555243585e-08,3,-0.012030601501464844,4,23,,test:isAncestor:D8:d8:b2:N4:t0:paligned:tree307:i0,s1,
0,sa,test:isAncestor:D12:d8:b2:N4:t0:paligned:tree101:i0,same_predicate_cross_tree_same_role,6.375512020895258e-05,0,0.8684053421020508,4,23,,test:isAncestor:D12:d8:b2:N4:t0:paligned:tree211:i0,s1,
0,ff,test:isAncestor:D12:d8:b2:N4:t0:paligned:tree101:i0,same_predicate_cross_tree_same_role,6.602364237551228e-07,0,-0.19728755950927734,4,23,,test:isAncestor:D12:d8:b2:N4:t0:paligned:tree211:i0,s1,
0,sa,test:isAncestor:D12:d8:b2:N4:t0:paligned:tree101:i0,same_predicate_cross_tree_same_role,6.195876267156564e-06,1,-0.2796344757080078,4,23,,test:isAncestor:D12:d8:b2:N4:t0:paligned:tree211:i0,s1,
0,ff,test:isAncestor:D12:d8:b2:N4:t0:paligned:tree101:i0,same_predicate_cross_tree_same_role,5.148581294633914e-08,1,0.0502777099609375,4,23,,test:isAncestor:D12:d8:b2:N4:t0:paligned:tree211:i0,s1,
0,sa,test:isAncestor:D12:d8:b2:N4:t0:paligned:tree101:i0,same_predicate_cross_tree_same_role,9.640057214710396e-07,2,-0.20781803131103516,4,23,,test:isAncestor:D12:d8:b2:N4:t0:paligned:tree211:i0,s1,
0,ff,test:isAncestor:D12:d8:b2:N4:t0:paligned:tree101:i0,same_predicate_cross_tree_same_role,3.3488731787656434e-08,2,0.024567604064941406,4,23,,test:isAncestor:D12:d8:b2:N4:t0:paligned:tree211:i0,s1,
0,sa,test:isAncestor:D12:d8:b2:N4:t0:paligned:tree101:i0,same_predicate_cross_tree_same_role,4.94116889626639e-08,3,-0.022882461547851562,4,23,,test:isAncestor:D12:d8:b2:N4:t0:paligned:tree211:i0,s1,
0,ff,test:isAncestor:D12:d8:b2:N4:t0:paligned:tree101:i0,same_predicate_cross_tree_same_role,4.729656666313531e-09,3,-0.0076847076416015625,4,23,,test:isAncestor:D12:d8:b2:N4:t0:paligned:tree211:i0,s1,
-1,sa,test:isAncestor:D16:d6:b2:N4:t0:paligned:tree211:i0,same_predicate_cross_tree_same_role,0.6903591156005859,0,14.31332015991211,4,23,,test:isAncestor:D16:d6:b2:N4:t1:paligned:tree101:i1,s1,
0,ff,test:isAncestor:D16:d6:b2:N4:t0:paligned:tree211:i0,same_predicate_cross_tree_same_role,0.00026589352637529373,0,-0.028039932250976562,4,23,,test:isAncestor:D16:d6:b2:N4:t1:paligned:tree101:i1,s1,
