example_id,layer,model_depth,model_seed,off_path_mass,path_attention_mass,preferred_hop,preferred_mass,required_path,total_depth
test:isAncestor:D8:d3:b2:N4:t2:paligned:tree101:i10002,2,8,11,0.10760913416743279,0.8923908658325672,4,0.1841108649969101,3,8
test:isAncestor:D8:d3:b2:N4:t2:paligned:tree101:i10002,3,8,11,0.04789843814796768,0.9521015618520323,4,0.2991565465927124,3,8
test:isAncestor:D8:d3:b2:N4:t2:paligned:tree101:i10002,4,8,11,0.3753441162407398,0.6246558837592602,4,0.16481991112232208,3,8
test:isAncestor:D8:d3:b2:N4:t2:paligned:tree101:i10002,5,8,11,0.42015500366687775,0.5798449963331223,6,0.09160470962524414,3,8
test:isAncestor:D8:d3:b2:N4:t2:paligned:tree101:i10002,6,8,11,0.7327258624136448,0.2672741375863552,4,0.033734314143657684,3,8
test:isAncestor:D8:d3:b2:N4:t2:paligned:tree101:i10002,7,8,11,0.723434092476964,0.276565907523036,2,0.034696031361818314,3,8
test:isAncestor:D8:d3:b2:N64:t3:paligned:tree307:i20003,0,8,11,0.6923216562463494,0.30767834375365055,5,0.250439316034317,3,8
test:isAncestor:D8:d3:b2:N64:t3:paligned:tree307:i20003,1,8,11,0.9521789782650742,0.04782102173492575,0,0.04759926348924637,3,8
test:isAncestor:D8:d3:b2:N64:t3:paligned:tree307:i20003,2,8,11,0.6500954106450081,0.3499045893549919,4,0.14402316510677338,3,8
test:isAncestor:D8:d3:b2:N64:t3:paligned:tree307:i20003,3,8,11,0.3044146775500849,0.6955853224499151,5,0.3222506046295166,3,8
