accuracy_delta,example_id,head,js_damage,layer,margin_delta,mode,model_seed,predictive_order
0,test:l1:t3:paligned:c0:i26,0,3.929361014343158e-08,4,0.21358871459960938,,11,1
0,test:l1:t3:paligned:c0:i26,1,1.3959584066469688e-07,4,-0.35011863708496094,,11,1
0,test:l1:t3:paligned:c0:i26,2,4.991667879039596e-08,4,-0.21637916564941406,,11,1
0,test:l1:t3:paligned:c0:i26,3,3.456976855886751e-07,4,0.7198371887207031,,11,1
0,test:l1:t3:paligned:c0:i26,0,1.424696506546752e-06,5,2.0019607543945312,,11,1
0,test:l1:t3:paligned:c0:i26,1,1.0495364222151693e-07,5,0.36278533935546875,,11,1
0,test:l1:t3:paligned:c0:i26,2,3.149257281620521e-07,5,0.6803054809570312,,11,1
0,test:l1:t3:paligned:c0:i26,3,7.380073157037259e-07,5,1.1788902282714844,,11,1
0,test:l1:t3:prandomized:c25:i31,0,0.0020393088925629854,0,-16.094038009643555,,11,1
0,test:l1:t3:prandomized:c25:i31,1,8.387406741361403e-11,0,1.5392646789550781,,11,1
0,test:l1:t3:prandomized:c25:i31,2,2.7633570425678045e-05,0,-11.599603652954102,,11,1
0,test:l1:t3:prandomized:c25:i31,3,1.9388364524974833e-10,0,4.330970764160156,,11,1
0,test:l1:t3:prandomized:c25:i31,0,9.330221057562982e-14,1,0.0058917999267578125,,11,1
0,test:l1:t3:prandomized:c25:i31,1,0.0012994161807000637,1,-15.641965866088867,,11,1
0,test:l1:t3:prandomized:c25:i31,2,1.233834154845681e-06,1,-8.682098388671875,,11,1
0,test:l1:t3:prandomized:c25:i31,3,2.617216512956766e-11,1,0.6681747436523438,,11,1
0,test:l1:t3:prandomized:c25:i31,0,4.734598130218259e-12,2,-0.235260009765625,,11,1
0,test:l1:t3:prandomized:c25:i31,1,1.5082209092742715e-10,2,-1.0735321044921875,,11,1
0,test:l1:t3:prandomized:c25:i31,2,2.5443896989330028e-11,2,0.6602954864501953,,11,1
0,test:l1:t3:prandomized:c25:i31,3,9.657028648968335e-12,2,0.27207374572753906,,11,1
0,test:l1:t3:prandomized:c25:i31,0,8.793789307848243e-11,3,1.5866756439208984,,11,1
0,test:l1:t3:prandomized:c25:i31,1,1.773431124174607e-10,3,-1.1477069854736328,,11,1
0,test:l1:t3:prandomized:c25:i31,2,3.852883290189624e-12,3,0.23895263671875,,11,1
0,test:l1:t3:prandomized:c25:i31,3,2.806555682299816e-11,3,-0.5303554534912109,,11,1
0,test:l1:t3:prandomized:c25:i31,0,1.2548555944347228e-12,4,0.13135719299316406,,11,1
0,test:l1:t3:prandomized:c25:i31,1,2.688135825046345e-11,4,0.7037105560302734,,11,1
0,test:l1:t3:prandomized:c25:i31,2,1.3766474071807977e-11,4,-0.38718223571777344,,11,1
0,test:l1:t3:prandomized:c25:i31,3,1.1263684429607679e-11,4,-0.3528594970703125,,11,1
0,test:l1:t3:prandomized:c25:i31,0,6.679910097284747e-12,5,0.3105297088623047,,11,1
0,test:l1:t3:prandomized:c25:i31,1,8.552131225414428e-12,5,-0.3077659606933594,,11,1
0,test:l1:t3:prandomized:c25:i31,2,9.728853139767679e-12,5,0.39594459533691406,,11,1
0,test:l1:t3:prandomized:c25:i31,3,1.899797680282589e-11,5,0.5761604309082031,,11,1
0,test:l2:t0:paligned:c0:i0,0,0.00013660473632626235,0,-5.609457015991211,,11,2
0,test:l2:t0:paligned:c0:i0,1,3.0867834510672765e-08,0,-0.3747138977050781,,11,2
-1,test:l2:t0:paligned:c0:i0,2,0.6931471228599548,0,-33.11054801940918,,11,2
0,test:l2:t0:paligned:c0:i0,3,0.0050727976486086845,0,-9.224954605102539,,11,2
0,test:l2:t0:paligned:c0:i0,0,3.51515200236463e-06,1,-2.389629364013672,,11,2
0,test:l2:t0:paligned:c0:i0,1,1.8020318748313002e-06,1,-1.9305686950683594,,11,2
0,test:l2:t0:paligned:c0:i0,2,4.0093033060184524e-12,1,-0.0001468658447265625,,11,2
0,test:l2:t0:paligned:c0:i0,3,2.3604452508152463e-06,1,-2.1088390350341797,,11,2
0,test:l2:t0:paligned:c0:i0,0,2.9040139182257008e-09,2,-0.12225341796875,,11,2
0,test:l2:t0:paligned:c0:i0,1,1.1496697993607086e-07,2,1.0258598327636719,,11,2
0,test:l2:t0:paligned:c0:i0,2,1.1614461215003757e-07,2,-0.6721572875976562,,11,2
0,test:l2:t0:paligned:c0:i0,3,5.540321694752492e-07,2,-1.2665748596191406,,11,2
0,test:l2:t0:paligned:c0:i0,0,1.0358709445768e-08,3,0.25232696533203125,,11,2
0,test:l2:t0:paligned:c0:i0,1,5.840568206849639e-08,3,0.6690464019775391,,11,2
0,test:l2:t0:paligned:c0:i0,2,7.013114355913785e-08,3,0.7476158142089844,,11,2
0,test:l2:t0:paligned:c0:i0,3,7.609418162246584e-08,3,0.7862834930419922,,11,2
0,test:l2:t0:paligned:c0:i0,0,1.0777500847325427e-07,4,0.9825725555419922,,11,2
0,test:l2:t0:paligned:c0:i0,1,1.2264598225897316e-08,4,0.27761077880859375,,11,2
0,test:l2:t0:paligned:c0:i0,2,3.059085074141876e-08,4,0.45951080322265625,,11,2
0,test:l2:t0:paligned:c0:i0,3,9.838875314471807e-08,4,0.9256687164306641,,11,2
0,test:l2:t0:paligned:c0:i0,0,3.399014474325668e-07,5,2.54376220703125,,11,2
0,test:l2:t0:paligned:c0:i0,1,2.902249889302766e-07,5,2.1364364624023438,,11,2
0,test:l2:t0:paligned:c0:i0,2,1.2636331803150824e-07,5,1.0937995910644531,,11,2
0,test:l2:t0:paligned:c0:i0,3,1.7009622865771235e-07,5,1.352752685546875,,11,2
0,test:l2:t0:prandomized:c20:i4,0,5.354218846065351e-09,0,-2.186124801635742,,11,2
0,test:l2:t0:prandomized:c20:i4,1,5.2517399318219304e-09,0,-2.3374805450439453,,11,2
0,test:l2:t0:prandomized:c20:i4,2,3.310371994302841e-06,0,-8.835025787353516,,11,2
0,test:l2:t0:prandomized:c20:i4,3,0.16688254475593567,0,-20.016786575317383,,11,2
0,test:l2:t0:prandomized:c20:i4,0,1.506381863691786e-08,1,-3.577911376953125,,11,2
0,test:l2:t0:prandomized:c20:i4,1,1.039210246744915e-06,1,-7.622213363647461,,11,2
0,test:l2:t0:prandomized:c20:i4,2,1.3853914682115942e-09,1,-1.61004638671875,,11,2
0,test:l2:t0:prandomized:c20:i4,3,8.061630807354447e-10,1,0.5448646545410156,,11,2
0,test:l2:t0:prandomized:c20:i4,0,5.693553406516116e-10,2,-1.0017929077148438,,11,2
0,test:l2:t0:prandomized:c20:i4,1,3.1451024007367323e-09,2,-2.2342491149902344,,11,2
0,test:l2:t0:prandomized:c20:i4,2,4.116133567322322e-08,2,-4.468549728393555,,11,2
0,test:l2:t0:prandomized:c20:i4,3,3.9585077615811315e-07,2,-6.705959320068359,,11,2
0,test:l2:t0:prandomized:c20:i4,0,2.051761205379421e-09,3,-1.9660701751708984,,11,2
0,test:l2:t0:prandomized:c20:i4,1,3.325374003937398e-11,3,-0.20611953735351562,,11,2
0,test:l2:t0:prandomized:c20:i4,2,9.105666221032038e-11,3,0.31220054626464844,,11,2
0,test:l2:t0:prandomized:c20:i4,3,1.6362761146027083e-10,3,0.5078620910644531,,11,2
0,test:l2:t0:prandomized:c20:i4,0,2.351112637910546e-10,4,0.23486328125,,11,2
0,test:l2:t0:prandomized:c20:i4,1,4.388571450686385e-11,4,0.0121307373046875,,11,2
0,test:l2:t0:prandomized:c20:i4,2,2.8281266217788925e-12,4,-0.0408172607421875,,11,2
0,test:l2:t0:prandomized:c20:i4,3,3.811806426057274e-11,4,0.26052093505859375,,11,2
0,test:l2:t0:prandomized:c20:i4,0,2.462035852968114e-10,5,-0.8513984680175781,,11,2
0,test:l2:t0:prandomized:c20:i4,1,2.0512141984951882e-10,5,0.4773521423339844,,11,2
0,test:l2:t0:prandomized:c20:i4,2,3.9884671954038e-11,5,0.19013595581054688,,11,2
0,test:l2:t0:prandomized:c20:i4,3,6.782532868676583e-11,5,-0.42705535888671875,,11,2
0,test:l2:t1:paligned:c40:i8,0,9.979940429616363e-09,0,-0.8262348175048828,,11,2
0,test:l2:t1:paligned:c40:i8,1,7.699509296799079e-08,0,-2.7782554626464844,,11,2
-1,test:l2:t1:paligned:c40:i8,2,0.6930943727493286,0,-29.698463439941406,,11,2
0,test:l2:t1:paligned:c40:i8,3,0.1553647220134735,0,-17.51839256286621,,11,2
0,test:l2:t1:paligned:c40:i8,0,1.621884280211816e-07,1,-3.438894271850586,,11,2
0,test:l2:t1:paligned:c40:i8,1,3.2959777129804024e-09,1,1.81292724609375,,11,2
0,test:l2:t1:paligned:c40:i8,2,5.273413705708663e-08,1,-2.4652462005615234,,11,2
0,test:l2:t1:paligned:c40:i8,3,4.8840970379160353e-08,1,-2.433900833129883,,11,2
0,test:l2:t1:paligned:c40:i8,0,1.738218458058327e-10,2,-0.12499237060546875,,11,2
0,test:l2:t1:paligned:c40:i8,1,5.067842812067624e-10,2,-0.014759063720703125,,11,2
0,test:l2:t1:paligned:c40:i8,2,8.687391783723797e-08,2,-3.028806686401367,,11,2
0,test:l2:t1:paligned:c40:i8,3,1.127137281287105e-07,2,-3.185811996459961,,11,2
0,test:l2:t1:paligned:c40:i8,0,2.3175874552805453e-09,3,1.1749496459960938,,11,2
0,test:l2:t1:paligned:c40:i8,1,2.528616205310641e-10,3,0.18295860290527344,,11,2
0,test:l2:t1:paligned:c40:i8,2,1.205038513418799e-09,3,0.7663650512695312,,11,2
0,test:l2:t1:paligned:c40:i8,3,5.514813050666589e-10,3,0.4018077850341797,,11,2
0,test:l2:t1:paligned:c40:i8,0,3.643418899912376e-10,4,0.19898223876953125,,11,2
0,test:l2:t1:paligned:c40:i8,1,1.8319927796994762e-09,4,0.9683818817138672,,11,2
0,test:l2:t1:paligned:c40:i8,2,4.3461634291475093e-10,4,0.3328380584716797,,11,2
0,test:l2:t1:paligned:c40:i8,3,7.619436193095908e-10,4,0.35293006896972656,,11,2
0,test:l2:t1:paligned:c40:i8,0,9.308644965955182e-10,5,0.6408252716064453,,11,2
0,test:l2:t1:paligned:c40:i8,1,6.146474440527072e-10,5,0.48207664489746094,,11,2
0,test:l2:t1:paligned:c40:i8,2,7.295437587373499e-10,5,0.5639762878417969,,11,2
0,test:l2:t1:paligned:c40:i8,3,9.339020667908926e-10,5,0.6296710968017578,,11,2
0,test:l2:t1:prandomized:c0:i13,0,0.016359075903892517,0,-9.661308288574219,,11,2
0,test:l2:t1:prandomized:c0:i13,1,4.504444106601113e-08,0,-0.3150596618652344,,11,2
