accuracy_delta,baseline_correct,changed_correct,condition,example_id,js_damage,margin_delta,model_depth,model_seed,required_path,total_depth
0,1,1,root,test:isAncestor:D12:d8:b2:N4:t0:paligned:tree211:i0,6.388290785253048e-09,0.007266044616699219,12,23,8,12
0,1,1,off_path_distractors,test:isAncestor:D12:d8:b2:N4:t0:paligned:tree211:i0,1.8649689081939869e-07,-0.029748916625976562,12,23,8,12
0,1,1,sibling_branch,test:isAncestor:D12:d8:b2:N4:t0:paligned:tree211:i0,6.009372555126902e-09,-0.0062465667724609375,12,23,8,12
0,1,1,parent,test:isAncestor:D16:d6:b2:N4:t1:paligned:tree101:i1,1.5959201846271753e-05,-0.08828544616699219,12,23,6,16
0,1,1,intermediate_candidate,test:isAncestor:D16:d6:b2:N4:t1:paligned:tree101:i1,1.024876837618649e-05,-0.0717477798461914,12,23,6,16
0,1,1,root,test:isAncestor:D16:d6:b2:N4:t1:paligned:tree101:i1,2.1702362573705614e-07,-0.010160446166992188,12,23,6,16
0,1,1,off_path_distractors,test:isAncestor:D16:d6:b2:N4:t1:paligned:tree101:i1,0.0013714290689677,1.2382192611694336,12,23,6,16
0,1,1,sibling_branch,test:isAncestor:D16:d6:b2:N4:t1:paligned:tree101:i1,0.000195267639355734,0.07451057434082031,12,23,6,16
0,1,1,parent,test:isAncestor:D24:d4:b2:N4:t1:paligned:tree307:i1,4.6421890147030354e-05,-0.10906982421875,12,23,4,24
0,1,1,intermediate_candidate,test:isAncestor:D24:d4:b2:N4:t1:paligned:tree307:i1,6.950169336050749e-06,0.03594207763671875,12,23,4,24
0,1,1,root,test:isAncestor:D24:d4:b2:N4:t1:paligned:tree307:i1,1.4393852325156331e-05,0.06337165832519531,12,23,4,24
0,1,1,off_path_distractors,test:isAncestor:D24:d4:b2:N4:t1:paligned:tree307:i1,0.003778624814003706,1.344273567199707,12,23,4,24
