dependency_span,family_id,first_top1_layer,margin_trajectory,model_depth,model_seed,model_type,model_width,nuisance_count,parameter_count,predictive_order,raw_length,settling_delay,span_mode,stable_top1_layer,top1_reversals,training_budget,training_steps
1,"p1:(1,):11",2,-46.7437;-1.02846;9.73935,2,11,transformer,64,0,78336,1,1,0,contiguous,2,1,1,400
1,"p1:(3,):12",2,-37.1035;-19.6864;11.0859,2,11,transformer,64,0,78336,1,1,0,contiguous,2,1,1,400
1,"p1:(3,):13",2,-37.1035;-19.6864;11.0859,2,11,transformer,64,0,78336,1,1,0,contiguous,2,1,1,400
1,"p1:(3,):14",2,-37.1035;-19.6864;11.0859,2,11,transformer,64,0,78336,1,1,0,contiguous,2,1,1,400
1,"p1:(2,):15",2,-50.6095;-11.9;7.96509,2,11,transformer,64,0,78336,1,1,0,contiguous,2,1,1,400
2,"p2:(1, 1):0",,-50.6095;-6.55743;-0.471878,2,11,transformer,64,0,78336,2,2,,contiguous,,0,1,400
2,"p2:(2, 3):1",,-46.7437;-4.13666;-0.261925,2,11,transformer,64,0,78336,2,2,,contiguous,,0,1,400
2,"p2:(2, 2):2",1,-32.3207;2.82992;-0.181423,2,11,transformer,64,0,78336,2,2,,contiguous,,2,1,400
2,"p2:(1, 2):3",2,-37.1035;-2.77089;0.199627,2,11,transformer,64,0,78336,2,2,0,contiguous,2,1,1,400
2,"p2:(2, 0):4",2,-50.6095;-2.12277;2.35056,2,11,transformer,64,0,78336,2,2,0,contiguous,2,1,1,400
2,"p2:(0, 0):5",1,-32.3207;8.58078;2.41181,2,11,transformer,64,0,78336,2,2,0,contiguous,1,1,1,400
2,"p2:(2, 3):6",,-46.7437;-4.13666;-0.261925,2,11,transformer,64,0,78336,2,2,,contiguous,,0,1,400
2,"p2:(3, 1):7",1,-32.3207;1.751;4.075,2,11,transformer,64,0,78336,2,2,0,contiguous,1,1,1,400
2,"p2:(3, 2):8",,-46.7437;-5.15337;-0.750216,2,11,transformer,64,0,78336,2,2,,contiguous,,0,1,400
2,"p2:(0, 0):9",1,-32.3207;8.58078;2.41181,2,11,transformer,64,0,78336,2,2,0,contiguous,1,1,1,400
2,"p2:(1, 2):10",2,-37.1035;-2.77089;0.199627,2,11,transformer,64,0,78336,2,2,0,contiguous,2,1,1,400
2,"p2:(1, 3):11",1,-32.3207;2.83649;-0.158239,2,11,transformer,64,0,78336,2,2,,contiguous,,2,1,400
2,"p2:(2, 0):12",2,-50.6095;-2.12277;2.35056,2,11,transformer,64,0,78336,2,2,0,contiguous,2,1,1,400
2,"p2:(3, 0):13",1,-37.1035;2.66481;2.31917,2,11,transformer,64,0,78336,2,2,0,contiguous,1,1,1,400
2,"p2:(3, 1):14",1,-32.3207;1.751;4.075,2,11,transformer,64,0,78336,2,2,0,contiguous,1,1,1,400
2,"p2:(1, 0):15",2,-46.7437;-0.0767517;0.890919,2,11,transformer,64,0,78336,2,2,0,contiguous,2,1,1,400
3,"p3:(0, 0, 1):0",,-46.7437;-4.70235;-0.368835,2,11,transformer,64,0,78336,3,3,,contiguous,,0,1,400
3,"p3:(0, 2, 2):1",1,-32.3207;2.86734;-0.153227,2,11,transformer,64,0,78336,3,3,,contiguous,,2,1,400
3,"p3:(1, 2, 0):2",,-37.1035;-3.58043;-0.180561,2,11,transformer,64,0,78336,3,3,,contiguous,,0,1,400
3,"p3:(1, 3, 1):3",,-46.7437;-4.67021;-0.379663,2,11,transformer,64,0,78336,3,3,,contiguous,,0,1,400
3,"p3:(1, 0, 0):4",,-46.7437;-4.80325;-0.432686,2,11,transformer,64,0,78336,3,3,,contiguous,,0,1,400
3,"p3:(1, 0, 0):5",,-46.7437;-4.80325;-0.432686,2,11,transformer,64,0,78336,3,3,,contiguous,,0,1,400
3,"p3:(1, 1, 2):6",1,-32.3207;2.67382;-0.253815,2,11,transformer,64,0,78336,3,3,,contiguous,,2,1,400
3,"p3:(0, 0, 3):7",,-37.1035;-3.74055;-0.240002,2,11,transformer,64,0,78336,3,3,,contiguous,,0,1,400
3,"p3:(1, 2, 0):8",,-37.1035;-3.58043;-0.180561,2,11,transformer,64,0,78336,3,3,,contiguous,,0,1,400
3,"p3:(0, 1, 0):9",,-46.7437;-4.91669;-0.645714,2,11,transformer,64,0,78336,3,3,,contiguous,,0,1,400
3,"p3:(0, 0, 0):10",1,-32.3207;3.73923;0.248583,2,11,transformer,64,0,78336,3,3,0,contiguous,1,1,1,400
3,"p3:(1, 3, 3):11",,-37.1035;-3.64237;-0.201067,2,11,transformer,64,0,78336,3,3,,contiguous,,0,1,400
3,"p3:(1, 1, 2):12",1,-32.3207;2.67382;-0.253815,2,11,transformer,64,0,78336,3,3,,contiguous,,2,1,400
3,"p3:(3, 0, 1):13",1,-32.3207;3.16668;-0.0143261,2,11,transformer,64,0,78336,3,3,,contiguous,,2,1,400
3,"p3:(2, 3, 1):14",,-50.6095;-8.35084;-0.660778,2,11,transformer,64,0,78336,3,3,,contiguous,,0,1,400
3,"p3:(1, 2, 3):15",,-50.6095;-7.65137;-0.347622,2,11,transformer,64,0,78336,3,3,,contiguous,,0,1,400
4,"p4:(3, 3, 1, 1):0",1,-32.3207;3.06027;-0.0673733,2,11,transformer,64,0,78336,4,4,,contiguous,,2,1,400
4,"p4:(0, 1, 2, 1):1",1,-32.3207;2.74177;-0.211576,2,11,transformer,64,0,78336,4,4,,contiguous,,2,1,400
4,"p4:(2, 0, 2, 0):2",1,-32.3207;2.4301;-0.367235,2,11,transformer,64,0,78336,4,4,,contiguous,,2,1,400
4,"p4:(3, 1, 0, 2):3",,-50.6095;-6.40022;-0.378452,2,11,transformer,64,0,78336,4,4,,contiguous,,0,1,400
4,"p4:(1, 3, 3, 2):4",,-46.7437;-3.91373;-0.282024,2,11,transformer,64,0,78336,4,4,,contiguous,,0,1,400
4,"p4:(2, 1, 0, 0):5",2,-37.1035;-2.2636;0.434883,2,11,transformer,64,0,78336,4,4,0,contiguous,2,1,1,400
4,"p4:(0, 1, 1, 1):6",2,-37.1035;-2.76305;0.199156,2,11,transformer,64,0,78336,4,4,0,contiguous,2,1,1,400
4,"p4:(3, 2, 0, 3):7",1,-32.3207;3.0486;-0.107412,2,11,transformer,64,0,78336,4,4,,contiguous,,2,1,400
4,"p4:(1, 0, 1, 2):8",1,-32.3207;2.5756;-0.306843,2,11,transformer,64,0,78336,4,4,,contiguous,,2,1,400
4,"p4:(1, 2, 3, 1):9",2,-37.1035;-3.02743;0.0655918,2,11,transformer,64,0,78336,4,4,0,contiguous,2,1,1,400
4,"p4:(1, 2, 2, 3):10",1,-32.3207;3.10872;-0.0659943,2,11,transformer,64,0,78336,4,4,,contiguous,,2,1,400
4,"p4:(2, 3, 2, 3):11",,-50.6095;-7.47797;-0.277477,2,11,transformer,64,0,78336,4,4,,contiguous,,0,1,400
4,"p4:(1, 1, 2, 1):12",,-46.7437;-4.02223;-0.269382,2,11,transformer,64,0,78336,4,4,,contiguous,,0,1,400
4,"p4:(3, 1, 3, 2):13",,-46.7437;-4.08475;-0.715273,2,11,transformer,64,0,78336,4,4,,contiguous,,0,1,400
4,"p4:(0, 3, 0, 1):14",1,-32.3207;3.02426;-0.065012,2,11,transformer,64,0,78336,4,4,,contiguous,,2,1,400
4,"p4:(3, 3, 0, 0):15",,-50.6095;-7.48765;-0.607103,2,11,transformer,64,0,78336,4,4,,contiguous,,0,1,400
6,"p6:(1, 3, 0, 1, 0, 1):0",,-50.6095;-7.75205;-0.443232,2,11,transformer,64,0,78336,6,6,,contiguous,,0,1,400
6,"p6:(1, 2, 1, 2, 1, 2):1",,-46.7437;-4.63643;-0.541206,2,11,transformer,64,0,78336,6,6,,contiguous,,0,1,400
6,"p6:(2, 2, 1, 1, 2, 1):2",,-46.7437;-4.24512;-0.203119,2,11,transformer,64,0,78336,6,6,,contiguous,,0,1,400
6,"p6:(0, 1, 0, 2, 3, 3):3",,-46.7437;-4.06629;-0.558296,2,11,transformer,64,0,78336,6,6,,contiguous,,0,1,400
6,"p6:(2, 0, 3, 0, 0, 1):4",,-50.6095;-7.18693;-0.403427,2,11,transformer,64,0,78336,6,6,,contiguous,,0,1,400
6,"p6:(0, 3, 2, 0, 2, 1):5",1,-32.3207;2.56137;-0.325125,2,11,transformer,64,0,78336,6,6,,contiguous,,2,1,400
6,"p6:(1, 2, 3, 0, 2, 3):6",2,-37.1035;-2.70398;0.0852184,2,11,transformer,64,0,78336,6,6,0,contiguous,2,1,1,400
6,"p6:(2, 3, 3, 2, 3, 0):7",,-46.7437;-3.80363;-0.146709,2,11,transformer,64,0,78336,6,6,,contiguous,,0,1,400
6,"p6:(2, 2, 3, 1, 1, 1):8",,-50.6095;-7.9008;-0.472187,2,11,transformer,64,0,78336,6,6,,contiguous,,0,1,400
6,"p6:(1, 3, 2, 2, 1, 0):9",,-46.7437;-3.82365;-0.165295,2,11,transformer,64,0,78336,6,6,,contiguous,,0,1,400
6,"p6:(0, 3, 3, 0, 0, 0):10",,-50.6095;-7.44705;-0.487406,2,11,transformer,64,0,78336,6,6,,contiguous,,0,1,400
