condition,example_id,family,heads,icl_gain,layers,margin,model_seed,probability,rank,stage,target,top1,width
irrelevant,58,7,1,,6,-8.437128067016602,11,0.0001995215134229511,15,D4,6,0,8
reversed,58,7,1,,6,7.3788065910339355,11,0.9909703731536865,1,D4,6,1,8
none,59,7,1,,6,-15.355817794799805,11,1.8162485559969355e-07,124,D4,6,0,8
correct,59,7,1,22.37655735015869,6,7.020739555358887,11,0.9910764694213867,1,D4,6,1,8
shuffled,59,7,1,,6,-8.174898147583008,11,0.0002804326650220901,6,D4,6,0,8
wrong_chain,59,7,1,,6,-10.364337921142578,11,3.0165227144607343e-05,60,D4,6,0,8
irrelevant,59,7,1,,6,-8.437128067016602,11,0.0001995215134229511,15,D4,6,0,8
reversed,59,7,1,,6,7.3788065910339355,11,0.9909703731536865,1,D4,6,1,8
none,60,7,1,,6,-15.355817794799805,11,1.8162485559969355e-07,124,D4,6,0,8
correct,60,7,1,22.37655735015869,6,7.020739555358887,11,0.9910764694213867,1,D4,6,1,8
shuffled,60,7,1,,6,-13.771787643432617,11,1.0331386874895543e-06,101,D4,6,0,8
wrong_chain,60,7,1,,6,-10.364337921142578,11,3.0165227144607343e-05,60,D4,6,0,8
irrelevant,60,7,1,,6,-8.437128067016602,11,0.0001995215134229511,15,D4,6,0,8
reversed,60,7,1,,6,7.3788065910339355,11,0.9909703731536865,1,D4,6,1,8
none,61,7,1,,6,-15.355817794799805,11,1.8162485559969355e-07,124,D4,6,0,8
correct,61,7,1,22.37655735015869,6,7.020739555358887,11,0.9910764694213867,1,D4,6,1,8
shuffled,61,7,1,,6,-8.174898147583008,11,0.0002804326650220901,6,D4,6,0,8
wrong_chain,61,7,1,,6,-10.364337921142578,11,3.0165227144607343e-05,60,D4,6,0,8
irrelevant,61,7,1,,6,-8.437128067016602,11,0.0001995215134229511,15,D4,6,0,8
reversed,61,7,1,,6,7.3788065910339355,11,0.9909703731536865,1,D4,6,1,8
none,62,7,1,,6,-15.355817794799805,11,1.8162485559969355e-07,124,D4,6,0,8
correct,62,7,1,22.37655735015869,6,7.020739555358887,11,0.9910764694213867,1,D4,6,1,8
shuffled,62,7,1,,6,-13.771787643432617,11,1.0331386874895543e-06,101,D4,6,0,8
wrong_chain,62,7,1,,6,-10.364337921142578,11,3.0165227144607343e-05,60,D4,6,0,8
irrelevant,62,7,1,,6,-8.437128067016602,11,0.0001995215134229511,15,D4,6,0,8
reversed,62,7,1,,6,7.3788065910339355,11,0.9909703731536865,1,D4,6,1,8
