depth,ff_update_norm,layer,model_seed,n,nuisance_distance,nuisance_type,per_head_output_norm_mean,predictive_span,sa_nuisance_attention_mass,sa_signal_attention_mass,sa_update_norm,trained_window,window
6,1.8492749333381653,2,11,64,16,N2,1.7558023892343044,8,0.04701931678573601,0.6422589640133083,4.181300703436136,full,16
6,1.4008849328383803,3,11,64,16,N1,1.4492033552378416,8,0.14100343827158213,0.26695815625134856,3.822954174131155,full,16
6,1.4022604394704103,3,11,64,16,N2,1.4588962644338608,8,0.1414695488056168,0.2648903811350465,3.823757652193308,full,16
6,1.0426620207726955,4,11,64,16,N1,1.0108225187286735,8,0.08971134654711932,0.33667904417961836,2.1392044816166162,full,16
6,1.0444880314171314,4,11,64,16,N2,1.0389040559530258,8,0.08365839219186455,0.33984159771353006,2.2061653789132833,full,16
6,1.3754529058933258,5,11,64,16,N1,0.5736831370741129,8,0.1134516583988443,0.15752604568842798,1.4064835738390684,full,16
6,1.3668260723352432,5,11,64,16,N2,0.5979238692671061,8,0.10956708109006286,0.1629100259160623,1.4480655770748854,full,16
6,1.921982392668724,0,11,64,16,N3,2.1909757871180773,8,0.18869816820370033,0.454018333228305,5.1963472701609135,full,16
6,1.8755082562565804,0,11,64,32,N1,2.2932641729712486,8,0.0,0.5418040100485086,5.514313146471977,full,16
6,1.9929990284144878,1,11,64,16,N3,2.4140625055879354,8,0.21730499912519008,0.40449734264984727,6.013113129884005,full,16
6,1.9175789952278137,1,11,64,32,N1,2.451157856732607,8,0.0,0.42823717650026083,5.945942852646112,full,16
6,1.813389454036951,2,11,64,16,N3,1.7348493337631226,8,0.038148578169057146,0.6416652263142169,4.135779831558466,full,16
6,1.8517557606101036,2,11,64,32,N1,1.7596457414329052,8,0.0,0.6461575152352452,4.206298567354679,full,16
6,1.409891001880169,3,11,64,16,N3,1.4510262962430716,8,0.14017312932992354,0.27260646515060216,3.8380947448313236,full,16
6,1.3940040962770581,3,11,64,32,N1,1.4349721893668175,8,0.0,0.25770409731194377,3.747295517474413,full,16
6,1.047906138934195,4,11,64,16,N3,1.0072988662868738,8,0.08853659254964441,0.33367573167197406,2.1313821021467447,full,16
6,1.0516042141243815,4,11,64,32,N1,1.0356437005102634,8,0.0,0.3426676520612091,2.2207476925104856,full,16
6,1.350091521628201,5,11,64,16,N3,0.5714395963586867,8,0.11228542751632631,0.15958641655743122,1.3998922212049365,full,16
6,1.3477788241580129,5,11,64,32,N1,0.5973386825062335,8,0.0,0.15797681733965874,1.3935008477419615,full,16
6,1.8755082562565804,0,11,64,32,N2,2.2932641729712486,8,0.0,0.5418040100485086,5.514313146471977,full,16
6,1.8755082562565804,0,11,64,32,N3,2.2932641729712486,8,0.0,0.5418040100485086,5.514313146471977,full,16
6,1.9156286101788282,1,11,64,32,N2,2.45853547565639,8,0.0,0.42861102730967104,5.9607905857265,full,16
6,1.9148062858730555,1,11,64,32,N3,2.4505679961293936,8,0.0,0.42803525924682617,5.93974594399333,full,16
6,1.8442257568240166,2,11,64,32,N2,1.7552143204957247,8,0.0,0.6473519983701408,4.190389588475227,full,16
6,1.847246715798974,2,11,64,32,N3,1.7708175592124462,8,0.0,0.6458085686899722,4.22716274484992,full,16
6,1.3965980019420385,3,11,64,32,N2,1.4590500183403492,8,0.0,0.25888373306952417,3.810566958039999,full,16
6,1.3952174531295896,3,11,64,32,N3,1.4312846064567566,8,0.0,0.2547877101460472,3.7485097721219063,full,16
6,1.0519757363945246,4,11,64,32,N2,1.0414045387879014,8,0.0,0.3439696154091507,2.2351783867925406,full,16
6,1.0522957360371947,4,11,64,32,N3,1.0328112952411175,8,0.0,0.3425791433546692,2.2157246936112642,full,16
6,1.35258621070534,5,11,64,32,N2,0.5988600589334965,8,0.0,0.15947057446464896,1.402136029675603,full,16
6,1.3497686255723238,5,11,64,32,N3,0.5942222829908133,8,0.0,0.15821909974329174,1.3908715499565005,full,16
6,1.901641620323062,0,11,64,2,N1,2.2321821562945843,8,0.13081578871060628,0.45232647110242397,5.44176259636879,full,full
6,1.8809831868857145,0,11,64,2,N2,2.244802789762616,8,0.05463257562951185,0.49099657544866204,5.476962484419346,full,full
6,1.9410006124526262,1,11,64,2,N1,2.5093409698456526,8,0.0536430167267099,0.37406973403994925,5.919970765709877,full,full
6,1.936012765392661,1,11,64,2,N2,2.521278103813529,8,0.03564393708074931,0.37454443355090916,5.945128418505192,full,full
6,1.848292974755168,2,11,64,2,N1,1.7194767501205206,8,0.05160276000970043,0.6077590091153979,4.056097887456417,full,full
6,1.862309291958809,2,11,64,2,N2,1.746744418516755,8,0.038557262188987806,0.612496052403003,4.107998598366976,full,full
6,1.3990638321265578,3,11,64,2,N1,1.5151962712407112,8,0.049607827444560826,0.16514590458245948,4.00092950463295,full,full
6,1.4205409651622176,3,11,64,2,N2,1.5160128995776176,8,0.056480667321011424,0.16378535353578627,4.012584112584591,full,full
6,1.039946316741407,4,11,64,2,N1,1.012439662590623,8,0.05745664896676317,0.2753584573511034,2.1543578524142504,full,full
6,1.0438827937468886,4,11,64,2,N2,1.0202458370476961,8,0.04561460483819246,0.2785463803447783,2.178148854523897,full,full
6,1.3703822828829288,5,11,64,2,N1,0.6182289691641927,8,0.054569830012042075,0.07857593847438693,1.5942912977188826,full,full
6,1.3723655445501208,5,11,64,2,N2,0.6258949777111411,8,0.05353429465321824,0.07922813959885389,1.6077749338001013,full,full
6,1.90705662406981,0,11,64,2,N3,2.2496732491999865,8,0.13250773366598878,0.4535397083964199,5.4608166962862015,full,full
6,1.9566491730511189,0,11,64,4,N1,2.24504548124969,8,0.19338098051957786,0.41918632318265736,5.44689754396677,full,full
6,1.9443846922367811,1,11,64,2,N3,2.5126867070794106,8,0.05682606773916632,0.3742926715640351,5.931761980056763,full,full
6,1.901067428290844,1,11,64,4,N1,2.5055273044854403,8,0.10160261072451249,0.3682913609663956,5.800539590418339,full,full
6,1.8527202159166336,2,11,64,2,N3,1.7457745149731636,8,0.03013481698872056,0.6147260796278715,4.105557061731815,full,full
6,1.8459054827690125,2,11,64,4,N1,1.7514183763414621,8,0.04298469497007318,0.6122225816361606,4.109125066548586,full,full
6,1.4215882821008563,3,11,64,2,N3,1.5241465754806995,8,0.037829351786058396,0.16580452665220946,4.053590569645166,full,full
6,1.4298004070296884,3,11,64,4,N1,1.5030596051365137,8,0.04529645343427546,0.16608048090711236,3.9784522354602814,full,full
6,1.041382654570043,4,11,64,2,N3,1.0153667703270912,8,0.046253095380961895,0.2785887154750526,2.162080718204379,full,full
6,1.0379962362349033,4,11,64,4,N1,1.0114200385287404,8,0.050595765467733145,0.2768115767976269,2.1555989142507315,full,full
6,1.370378065854311,5,11,64,2,N3,0.6194000728428364,8,0.053778998204506934,0.0793506374466233,1.597281090915203,full,full
6,1.3758134879171848,5,11,64,4,N1,0.6163480132818222,8,0.060305254184640944,0.07867866917513311,1.5915582459419966,full,full
6,1.940933981910348,0,11,64,4,N2,2.2721810955554247,8,0.11746950219094288,0.4545249955262989,5.49373496696353,full,full
6,1.935199860483408,0,11,64,4,N3,2.2616833858191967,8,0.17050470590766054,0.4290298472624272,5.456743583083153,full,full
6,1.9071154948323965,1,11,64,4,N2,2.5560118332505226,8,0.13325719314161688,0.37444139673607424,5.952738415449858,full,full
6,1.906700313091278,1,11,64,4,N3,2.5176133811473846,8,0.09949335939018056,0.3696418352192268,5.787067160010338,full,full
6,1.8667322415858507,2,11,64,4,N2,1.7626038137823343,8,0.03260502871853532,0.6188640776090324,4.141678404062986,full,full
6,1.8479139413684607,2,11,64,4,N3,1.7382564879953861,8,0.04249689505377319,0.6046389506664127,4.073505390435457,full,full
6,1.425929213874042,3,11,64,4,N2,1.5062073338776827,8,0.04979170922888443,0.16482432652264833,3.9848053827881813,full,full
6,1.414840734563768,3,11,64,4,N3,1.5031858459115028,8,0.046167461026925594,0.16425574792083353,3.9688530899584293,full,full
6,1.0433558551594615,4,11,64,4,N2,1.021213587373495,8,0.04199286040966399,0.2832934489706531,2.1800453811883926,full,full
6,1.038980370387435,4,11,64,4,N3,1.0071424609050155,8,0.05832501203985885,0.2707256347639486,2.1443530842661858,full,full
6,1.3774546245113015,5,11,64,4,N2,0.6253149155527353,8,0.05692464963067323,0.07976497214986011,1.6054132040590048,full,full
6,1.3700065594166517,5,11,64,4,N3,0.6166772516444325,8,0.059886402857955545,0.07889583893120289,1.5946029797196388,full,full
6,1.9159840121865273,0,11,64,16,N1,2.1413512360304594,8,0.16580306734249461,0.43395052675623447,5.110898897051811,full,full
6,1.8867058213800192,0,11,64,16,N2,2.2313452661037445,8,0.06609431160904933,0.4871722091920674,5.413709294050932,full,full
6,1.9859263766556978,1,11,64,16,N1,2.481501456350088,8,0.11181964940624312,0.3710723961266922,5.9360639825463295,full,full
6,1.9315803963690996,1,11,64,16,N2,2.518004633486271,8,0.06763110143947415,0.3734407123120036,5.883674778044224,full,full
6,1.826221477240324,2,11,64,16,N1,1.744054939597845,8,0.042224672142765485,0.6026300713419914,4.071846108883619,full,full
6,1.860035115852952,2,11,64,16,N2,1.7611269745975733,8,0.04495865735952975,0.6076147886924446,4.133938483893871,full,full
6,1.4162748157978058,3,11,64,16,N1,1.5078241806477308,8,0.11071808837004937,0.16856051899958402,4.030628427863121,full,full
