delta_variance_ff,delta_variance_norm,delta_variance_sa,depth,layer,model_seed,nuisance_distance,nuisance_type,post_ff_signal,post_ff_variance,post_norm_variance,post_sa_signal,post_sa_variance,pre_sa_signal,pre_sa_variance,predictive_span,regime,trained_window,window
2.0214496209754103,0.21341228540683232,0.8846834525816618,6,5,23,32,N2,-3.1650564074516296,22.82521269730841,20.13249190915817,-2.979927033185959,20.803763076333,-3.0129292607307434,19.919079623751337,16,signal_only_reachable,full,4
-1.5612323811761257,1.678717939415776,-5.948583710709897,6,0,23,32,N3,-16.20876717567444,27.410487800946782,36.59902183224858,-20.618862628936768,28.97172018212291,-22.352447748184204,34.920303892832806,16,signal_only_reachable,full,4
-1.9899117988957187,1.5132609946936668,-22.029524365642374,6,1,23,32,N3,-5.999701738357544,3.3910516364086902,28.92374879564045,-8.131507158279419,5.380963435304409,-16.20876717567444,27.410487800946782,16,signal_only_reachable,full,4
1.1806409452606204,0.5958229096694225,0.4805072049325645,6,2,23,32,N3,-3.175158739089966,5.052199786601875,3.9868745460781128,-4.040154218673706,3.8715588413412547,-5.999701738357544,3.3910516364086902,16,signal_only_reachable,full,4
10.851989726470116,0.7211264094529355,-2.428869096659278,6,3,23,32,N3,-2.279969662427902,13.475320416412712,5.773326196054811,-1.7106259763240814,2.623330689942597,-3.175158739089966,5.052199786601875,16,signal_only_reachable,full,4
1.1498911030927843,-3.6199389558678554,5.29386810424584,6,4,23,32,N3,-3.0129292607307434,19.919079623751337,9.855381460544857,-3.0133824944496155,18.769188520658552,-2.279969662427902,13.475320416412712,16,signal_only_reachable,full,4
2.0214496209754103,0.21341228540683232,0.8846834525816618,6,5,23,32,N3,-3.1650564074516296,22.82521269730841,20.13249190915817,-2.979927033185959,20.803763076333,-3.0129292607307434,19.919079623751337,16,signal_only_reachable,full,4
-1.6924394024699723,1.678717939415776,-5.7426045871572455,6,0,23,32,N1,-15.968990325927734,27.485259903205588,36.59902183224858,-20.25815773010254,29.17769930567556,-22.352447748184204,34.920303892832806,16,signal_and_nuisance_reachable,full,8
-2.7598943177804465,1.5589192259910192,-22.530401634843887,6,1,23,32,N1,-5.005161881446838,2.194963950581254,29.044179129196607,-7.028786242008209,4.954858268361701,-15.968990325927734,27.485259903205588,16,signal_and_nuisance_reachable,full,8
10.614235722579068,0.1577184002804124,47.414283138341524,6,2,23,32,N1,-7.186966061592102,60.223482811501846,2.3526823508616665,-6.521435558795929,49.60924708892278,-5.005161881446838,2.194963950581254,16,signal_and_nuisance_reachable,full,8
18.73957446091933,4.303259703481068,-3.780344894755096,6,3,23,32,N1,-7.901968866586685,75.18271237766608,64.52674251498291,-6.8610353618860245,56.44313791674675,-7.186966061592102,60.223482811501846,16,signal_and_nuisance_reachable,full,8
-1.762001320052093,-2.3431293349902944,3.627712328785961,6,4,23,32,N1,-7.810958385467529,77.04842338639995,72.83958304267578,-7.716398477554321,78.81042470645204,-7.901968866586685,75.18271237766608,16,signal_and_nuisance_reachable,full,8
-0.5999207164274765,0.9102780734965137,-5.345033876736181,6,5,23,32,N1,-7.496303856372833,71.10346879323629,77.95870145989646,-7.493379592895508,71.70338950966377,-7.810958385467529,77.04842338639995,16,signal_and_nuisance_reachable,full,8
-1.6924394024699723,1.678717939415776,-5.7426045871572455,6,0,23,32,N2,-15.968990325927734,27.485259903205588,36.59902183224858,-20.25815773010254,29.17769930567556,-22.352447748184204,34.920303892832806,16,signal_and_nuisance_reachable,full,8
-2.7598943177804465,1.5589192259910192,-22.530401634843887,6,1,23,32,N2,-5.005161881446838,2.194963950581254,29.044179129196607,-7.028786242008209,4.954858268361701,-15.968990325927734,27.485259903205588,16,signal_and_nuisance_reachable,full,8
10.614235722579068,0.1577184002804124,47.414283138341524,6,2,23,32,N2,-7.186966061592102,60.223482811501846,2.3526823508616665,-6.521435558795929,49.60924708892278,-5.005161881446838,2.194963950581254,16,signal_and_nuisance_reachable,full,8
18.739206315413398,4.303259703481068,-3.781670742697422,6,3,23,32,N2,-7.9018853306770325,75.18101838421782,64.52674251498291,-6.86096166074276,56.441812068804424,-7.186966061592102,60.223482811501846,16,signal_and_nuisance_reachable,full,8
-1.7618185232671095,-2.3430619052660404,3.62740939671869,6,4,23,32,N2,-7.810695633292198,77.0466092576694,72.83795647895178,-7.716137811541557,78.80842778093651,-7.9018853306770325,75.18101838421782,16,signal_and_nuisance_reachable,full,8
