axis,cell_id,dependency_span,example_index,family_id,final_margin,final_rank,first_top1_layer,first_top1_location,first_top1_stage,generator_family,head_count,model_depth,model_seed,model_width,nuisance_count,parameter_count,predictive_order,raw_length,requested_dependency_span,stable_top1_layer,stable_top1_location,stable_top1_stage,top1_correct,training_budget,training_steps
predictive_order,f306bd7c1d91,4,56,"p2:(3, 2):8",-0.008164405822753906,2,1,post_ff,2,necessary_pattern,4,2,11,64,0,85504,2,12,4,,,,0,1,400
predictive_order,f306bd7c1d91,4,57,"p2:(3, 3):9",-0.04662322998046875,3,,,,necessary_pattern,4,2,11,64,0,85504,2,12,4,,,,0,1,400
predictive_order,f306bd7c1d91,4,58,"p2:(3, 0):10",0.0068912506103515625,1,2,post_ff,4,necessary_pattern,4,2,11,64,0,85504,2,12,4,2,post_ff,4,1,1,400
predictive_order,f306bd7c1d91,4,59,"p2:(2, 3):11",-0.004909515380859375,2,1,post_ff,2,necessary_pattern,4,2,11,64,0,85504,2,12,4,,,,0,1,400
predictive_order,f306bd7c1d91,4,60,"p2:(2, 2):12",-0.37839698791503906,4,,,,necessary_pattern,4,2,11,64,0,85504,2,12,4,,,,0,1,400
predictive_order,f306bd7c1d91,4,61,"p2:(3, 0):13",0.0068912506103515625,1,2,post_ff,4,necessary_pattern,4,2,11,64,0,85504,2,12,4,2,post_ff,4,1,1,400
predictive_order,f306bd7c1d91,4,62,"p2:(0, 3):14",0.005814552307128906,1,2,post_ff,4,necessary_pattern,4,2,11,64,0,85504,2,12,4,2,post_ff,4,1,1,400
predictive_order,f306bd7c1d91,4,63,"p2:(2, 2):15",-0.37839698791503906,4,,,,necessary_pattern,4,2,11,64,0,85504,2,12,4,,,,0,1,400
predictive_order,2368e64e6ae0,4,64,"p3:(3, 2, 2):0",0.005228996276855469,1,2,post_ff,4,necessary_pattern,4,2,11,64,0,85504,3,12,4,2,post_ff,4,1,1,400
predictive_order,2368e64e6ae0,4,65,"p3:(0, 2, 3):1",-0.006617546081542969,2,1,post_ff,2,necessary_pattern,4,2,11,64,0,85504,3,12,4,,,,0,1,400
predictive_order,2368e64e6ae0,4,66,"p3:(3, 0, 0):2",0.007039070129394531,1,2,post_ff,4,necessary_pattern,4,2,11,64,0,85504,3,12,4,2,post_ff,4,1,1,400
predictive_order,2368e64e6ae0,4,67,"p3:(1, 2, 2):3",0.09525680541992188,1,1,post_ff,2,necessary_pattern,4,2,11,64,0,85504,3,12,4,1,post_ff,2,1,1,400
predictive_order,2368e64e6ae0,4,68,"p3:(3, 3, 1):4",0.007792472839355469,1,2,post_ff,4,necessary_pattern,4,2,11,64,0,85504,3,12,4,2,post_ff,4,1,1,400
