architecture_id,head_count,model_depth,model_seed,model_width,parameter_count,training_budget,training_steps
L12-W32-H1-T2,1,12,11,32,111808,2,800
L12-W32-H1-T4,1,12,11,32,111808,4,1600
L12-W32-H2-T1,2,12,11,32,111808,1,400
L12-W32-H2-T2,2,12,11,32,111808,2,800
L12-W32-H2-T4,2,12,11,32,111808,4,1600
L12-W32-H4-T1,4,12,11,32,111808,1,400
L12-W32-H4-T2,4,12,11,32,111808,2,800
L12-W32-H4-T4,4,12,11,32,111808,4,1600
L12-W32-H8-T1,8,12,11,32,111808,1,400
L12-W32-H8-T2,8,12,11,32,111808,2,800
L12-W32-H8-T4,8,12,11,32,111808,4,1600
L12-W64-H1-T1,1,12,11,64,420224,1,400
L12-W64-H1-T2,1,12,11,64,420224,2,800
L12-W64-H1-T4,1,12,11,64,420224,4,1600
L12-W64-H2-T1,2,12,11,64,420224,1,400
L12-W64-H2-T2,2,12,11,64,420224,2,800
L12-W64-H2-T4,2,12,11,64,420224,4,1600
L12-W64-H4-T1,4,12,11,64,420224,1,400
L12-W64-H4-T2,4,12,11,64,420224,2,800
L12-W64-H4-T4,4,12,11,64,420224,4,1600
L12-W64-H8-T1,8,12,11,64,420224,1,400
L12-W64-H8-T2,8,12,11,64,420224,2,800
L12-W64-H8-T4,8,12,11,64,420224,4,1600
L12-W128-H1-T1,1,12,11,128,1626880,1,400
L12-W128-H1-T2,1,12,11,128,1626880,2,800
L12-W128-H1-T4,1,12,11,128,1626880,4,1600
L12-W128-H2-T1,2,12,11,128,1626880,1,400
L12-W128-H2-T2,2,12,11,128,1626880,2,800
L12-W128-H2-T4,2,12,11,128,1626880,4,1600
L12-W128-H4-T1,4,12,11,128,1626880,1,400
L12-W128-H4-T2,4,12,11,128,1626880,2,800
L12-W128-H4-T4,4,12,11,128,1626880,4,1600
L12-W128-H8-T1,8,12,11,128,1626880,1,400
L12-W128-H8-T2,8,12,11,128,1626880,2,800
L12-W128-H8-T4,8,12,11,128,1626880,4,1600
L12-W256-H1-T1,1,12,11,256,6399488,1,400
L12-W256-H1-T2,1,12,11,256,6399488,2,800
L12-W256-H1-T4,1,12,11,256,6399488,4,1600
L12-W256-H2-T1,2,12,11,256,6399488,1,400
L12-W256-H2-T2,2,12,11,256,6399488,2,800
L12-W256-H2-T4,2,12,11,256,6399488,4,1600
L12-W256-H4-T1,4,12,11,256,6399488,1,400
L12-W256-H4-T2,4,12,11,256,6399488,2,800
L12-W256-H4-T4,4,12,11,256,6399488,4,1600
L12-W256-H8-T1,8,12,11,256,6399488,1,400
L12-W256-H8-T2,8,12,11,256,6399488,2,800
L12-W256-H8-T4,8,12,11,256,6399488,4,1600
L16-W32-H1-T1,1,16,11,32,145984,1,400
L16-W32-H1-T2,1,16,11,32,145984,2,800
L16-W32-H1-T4,1,16,11,32,145984,4,1600
L16-W32-H2-T1,2,16,11,32,145984,1,400
L16-W32-H2-T2,2,16,11,32,145984,2,800
L16-W32-H2-T4,2,16,11,32,145984,4,1600
L16-W32-H4-T1,4,16,11,32,145984,1,400
L16-W32-H4-T2,4,16,11,32,145984,2,800
L16-W32-H4-T4,4,16,11,32,145984,4,1600
L16-W32-H8-T1,8,16,11,32,145984,1,400
L16-W32-H8-T2,8,16,11,32,145984,2,800
L16-W32-H8-T4,8,16,11,32,145984,4,1600
L16-W64-H1-T1,1,16,11,64,554112,1,400
L16-W64-H1-T2,1,16,11,64,554112,2,800
L16-W64-H1-T4,1,16,11,64,554112,4,1600
L16-W64-H2-T1,2,16,11,64,554112,1,400
L16-W64-H2-T2,2,16,11,64,554112,2,800
L16-W64-H2-T4,2,16,11,64,554112,4,1600
