candidate,cell_id,condition,episodes,example_id,family,heads,layers,mappings,margin,minimality_axis,mlp_ratio,pairs,probability,rank,regime,seed,target,top1,vocabulary,width
reference,C2_sa_ff_L2_W32_H2_S11,shuffled_pairings,256,15,sa_ff,2,2,fresh-random,-3.1138134002685547,reference,2,3,0.04199514165520668,2,C2,11,3,0,4,32
reference,C2_sa_ff_L2_W32_H2_S11,shuffled_order,256,15,sa_ff,2,2,fresh-random,-4.507266044616699,reference,2,3,0.010907265357673168,2,C2,11,3,0,4,32
reference,C2_sa_ff_L2_W32_H2_S11,wrong_query,256,15,sa_ff,2,2,fresh-random,-0.27671241760253906,reference,2,3,0.4255479574203491,2,C2,11,3,0,4,32
reference,C2_sa_ff_L2_W32_H2_S11,correct,256,16,sa_ff,2,2,fresh-random,13.029801368713379,reference,2,3,0.9999977350234985,1,C2,11,3,1,4,32
reference,C2_sa_ff_L2_W32_H2_S11,none,256,16,sa_ff,2,2,fresh-random,7.010490894317627,reference,2,3,0.9990676045417786,1,C2,11,3,1,4,32
reference,C2_sa_ff_L2_W32_H2_S11,shuffled_pairings,256,16,sa_ff,2,2,fresh-random,-6.912184715270996,reference,2,3,0.0009945769561454654,2,C2,11,3,0,4,32
reference,C2_sa_ff_L2_W32_H2_S11,shuffled_order,256,16,sa_ff,2,2,fresh-random,13.029801368713379,reference,2,3,0.9999977350234985,1,C2,11,3,1,4,32
reference,C2_sa_ff_L2_W32_H2_S11,wrong_query,256,16,sa_ff,2,2,fresh-random,-12.09157943725586,reference,2,3,5.606399554380914e-06,3,C2,11,3,0,4,32
reference,C2_sa_ff_L2_W32_H2_S11,correct,256,17,sa_ff,2,2,fresh-random,9.105854034423828,reference,2,3,0.9998857975006104,1,C2,11,5,1,4,32
reference,C2_sa_ff_L2_W32_H2_S11,none,256,17,sa_ff,2,2,fresh-random,-21.16404151916504,reference,2,3,6.435372790214444e-10,5,C2,11,5,0,4,32
reference,C2_sa_ff_L2_W32_H2_S11,shuffled_pairings,256,17,sa_ff,2,2,fresh-random,-14.128705978393555,reference,2,3,7.101155006239424e-07,5,C2,11,5,0,4,32
reference,C2_sa_ff_L2_W32_H2_S11,shuffled_order,256,17,sa_ff,2,2,fresh-random,-10.841110229492188,reference,2,3,1.9577451894292608e-05,2,C2,11,5,0,4,32
reference,C2_sa_ff_L2_W32_H2_S11,wrong_query,256,17,sa_ff,2,2,fresh-random,-13.425809860229492,reference,2,3,1.476466195526882e-06,4,C2,11,5,0,4,32
reference,C2_sa_ff_L2_W32_H2_S11,correct,256,18,sa_ff,2,2,fresh-random,7.717541694641113,reference,2,3,0.9995551705360413,1,C2,11,5,1,4,32
reference,C2_sa_ff_L2_W32_H2_S11,none,256,18,sa_ff,2,2,fresh-random,-15.075301170349121,reference,2,3,2.8344894076326455e-07,6,C2,11,5,0,4,32
reference,C2_sa_ff_L2_W32_H2_S11,shuffled_pairings,256,18,sa_ff,2,2,fresh-random,-5.849067687988281,reference,2,3,0.0028742316644638777,2,C2,11,5,0,4,32
reference,C2_sa_ff_L2_W32_H2_S11,shuffled_order,256,18,sa_ff,2,2,fresh-random,15.34956169128418,reference,2,3,0.9999997615814209,1,C2,11,5,1,4,32
reference,C2_sa_ff_L2_W32_H2_S11,wrong_query,256,18,sa_ff,2,2,fresh-random,-11.10866641998291,reference,2,3,1.498163601354463e-05,2,C2,11,5,0,4,32
reference,C2_sa_ff_L2_W32_H2_S11,correct,256,19,sa_ff,2,2,fresh-random,12.427057266235352,reference,2,3,0.9999912977218628,1,C2,11,6,1,4,32
reference,C2_sa_ff_L2_W32_H2_S11,none,256,19,sa_ff,2,2,fresh-random,-20.622413635253906,reference,2,3,9.659623101399006e-10,7,C2,11,6,0,4,32
reference,C2_sa_ff_L2_W32_H2_S11,shuffled_pairings,256,19,sa_ff,2,2,fresh-random,6.296905517578125,reference,2,3,0.9980072379112244,1,C2,11,6,1,4,32
reference,C2_sa_ff_L2_W32_H2_S11,shuffled_order,256,19,sa_ff,2,2,fresh-random,12.427057266235352,reference,2,3,0.9999912977218628,1,C2,11,6,1,4,32
reference,C2_sa_ff_L2_W32_H2_S11,wrong_query,256,19,sa_ff,2,2,fresh-random,-19.280136108398438,reference,2,3,4.233215999960294e-09,7,C2,11,6,0,4,32
reference,C2_sa_ff_L2_W32_H2_S11,correct,256,20,sa_ff,2,2,fresh-random,12.549429893493652,reference,2,3,0.9999958276748657,1,C2,11,5,1,4,32
reference,C2_sa_ff_L2_W32_H2_S11,none,256,20,sa_ff,2,2,fresh-random,-16.01319122314453,reference,2,3,9.698845104821885e-08,4,C2,11,5,0,4,32
reference,C2_sa_ff_L2_W32_H2_S11,shuffled_pairings,256,20,sa_ff,2,2,fresh-random,-14.10085678100586,reference,2,3,7.517530207223899e-07,3,C2,11,5,0,4,32
reference,C2_sa_ff_L2_W32_H2_S11,shuffled_order,256,20,sa_ff,2,2,fresh-random,8.815498352050781,reference,2,3,0.9998329877853394,1,C2,11,5,1,4,32
reference,C2_sa_ff_L2_W32_H2_S11,wrong_query,256,20,sa_ff,2,2,fresh-random,-18.173032760620117,reference,2,3,1.2810057015144594e-08,4,C2,11,5,0,4,32
reference,C2_sa_ff_L2_W32_H2_S11,correct,256,21,sa_ff,2,2,fresh-random,-9.200666427612305,reference,2,3,0.00010091795411426574,3,C2,11,4,0,4,32
reference,C2_sa_ff_L2_W32_H2_S11,none,256,21,sa_ff,2,2,fresh-random,-14.671869277954102,reference,2,3,4.2430988855812757e-07,5,C2,11,4,0,4,32
reference,C2_sa_ff_L2_W32_H2_S11,shuffled_pairings,256,21,sa_ff,2,2,fresh-random,2.5163540840148926,reference,2,3,0.9243000745773315,1,C2,11,4,1,4,32
reference,C2_sa_ff_L2_W32_H2_S11,shuffled_order,256,21,sa_ff,2,2,fresh-random,9.63864517211914,reference,2,3,0.9999288320541382,1,C2,11,4,1,4,32
reference,C2_sa_ff_L2_W32_H2_S11,wrong_query,256,21,sa_ff,2,2,fresh-random,-11.006671905517578,reference,2,3,1.659036752243992e-05,2,C2,11,4,0,4,32
reference,C2_sa_ff_L2_W32_H2_S11,correct,256,22,sa_ff,2,2,fresh-random,11.004561424255371,reference,2,3,0.9999834299087524,1,C2,11,6,1,4,32
reference,C2_sa_ff_L2_W32_H2_S11,none,256,22,sa_ff,2,2,fresh-random,0.022057533264160156,reference,2,3,0.4873051941394806,1,C2,11,6,1,4,32
reference,C2_sa_ff_L2_W32_H2_S11,shuffled_pairings,256,22,sa_ff,2,2,fresh-random,-16.706249237060547,reference,2,3,5.5535032572606724e-08,3,C2,11,6,0,4,32
