R_between_within,between_family_JS_bits,boundary,covariance_trace,effective_rank,generator_family,model_seed,n,nuisance_count,nuisance_type,within_family_JS_bits
5.865045772677282,1.9119592960549643,layer_3_ff,308.449392157864,3.634876812731387,nested_override,23,512,4,N4,1.9515394300110915
0.0,1.0842021724855044e-19,embedding,2.5444872988151915e-06,2.881290053601727,nested_short,23,128,0,N0,2.0088120728477266e-11
0.0,0.0,embedding,2.5444872988151915e-06,2.881290053601727,nested_short,23,128,2,N2,2.018585147124663e-11
0.0,5.421010862427522e-20,embedding,2.5444872988151915e-06,2.881290053601727,nested_short,23,128,4,N2,1.9990389823077576e-11
0.0,1.0842021724855044e-19,embedding,2.5444872988151915e-06,2.881290053601727,nested_short,23,128,2,N3,2.0088120728477266e-11
0.0,1.0842021724855044e-19,embedding,2.5444872988151915e-06,2.881290053601727,nested_short,23,128,4,N3,2.0088120728477266e-11
0.0,1.0842021724855044e-19,embedding,2.5444872988151915e-06,2.881290053601727,nested_short,23,128,2,N4,2.0088120728477266e-11
0.0,5.421010862427522e-20,embedding,2.5444872988151915e-06,2.881290053601727,nested_short,23,128,4,N4,1.9990389823077576e-11
0.2613600877068358,3.8964311140859444e-05,layer_0_sa,5.094528965298522,1.3964504926256682,nested_short,23,128,0,N0,0.0001353250898167655
0.2748862684295367,4.120610233063725e-05,layer_0_sa,5.351489730885222,1.478875403020574,nested_short,23,128,2,N2,0.0001375079595411586
0.23953521881405154,3.761733269818171e-05,layer_0_sa,4.98105559757548,1.4655620294251148,nested_short,23,128,4,N2,0.00013191160470898012
0.34396876425081524,4.5228741143296496e-05,layer_0_sa,5.258579925655405,1.4714105810963314,nested_short,23,128,2,N3,0.00015113933254392708
0.27838038453814784,3.707102544494353e-05,layer_0_sa,5.095493030649869,1.4502403440658982,nested_short,23,128,4,N3,0.00012847446951899568
0.3618129351208122,4.35674323519316e-05,layer_0_sa,5.12283233021134,1.4901572202066833,nested_short,23,128,2,N4,0.0001284995379386136
0.23117445388041163,3.755052653813505e-05,layer_0_sa,4.695949028320386,1.6415810222121565,nested_short,23,128,4,N4,0.00012865691301376658
0.18573589291954629,0.004909503352030858,layer_0_ff,9.101760481710018,1.2440297805362357,nested_short,23,128,0,N0,0.02411428820127917
0.20523552170456014,0.003704187225161082,layer_0_ff,9.005971694936184,1.308434264697634,nested_short,23,128,2,N2,0.017384203602658937
0.17774264237652637,0.002599845347268523,layer_0_ff,8.193307378987004,1.3056666587079542,nested_short,23,128,4,N2,0.011562501174280843
0.25369205595767613,0.003339398011814279,layer_0_ff,8.76906523559351,1.302916470450285,nested_short,23,128,2,N3,0.01474936877520562
0.20514982926840178,0.002622447647144366,layer_0_ff,8.565682762031791,1.294767947966677,nested_short,23,128,4,N3,0.011885422511185975
0.26391414414938524,0.0026378435576894926,layer_0_ff,8.459425808969176,1.3220751399636586,nested_short,23,128,2,N4,0.011134514889480862
0.1666758617677613,0.001013280671052684,layer_0_ff,7.385408494356284,1.4019539379455315,nested_short,23,128,4,N4,0.005415195645684032
2.1571269997461266,0.7772364362452131,layer_1_sa,62.42791645232647,3.7667848934850543,nested_short,23,128,0,N0,1.254437708279069
2.007469475912176,0.7614893812941383,layer_1_sa,61.171063574259556,3.9063949508142963,nested_short,23,128,2,N2,1.2615835018752515
2.3581171627252258,0.7836200939977522,layer_1_sa,60.97535027473461,3.832118995496826,nested_short,23,128,4,N2,1.28281440256742
2.1641382214715623,0.7425266580844769,layer_1_sa,62.96057813114801,3.7706827772402387,nested_short,23,128,2,N3,1.2519480608123352
2.315177816296367,0.8178207790578977,layer_1_sa,60.76273316277897,3.9283112059252208,nested_short,23,128,4,N3,1.3167399955667092
2.236473853880271,0.6962515725622889,layer_1_sa,60.40827842999746,3.9051683148284724,nested_short,23,128,2,N4,1.201822198726381
2.2781121877506845,0.8064603849240211,layer_1_sa,58.543652965248214,3.9744939167980733,nested_short,23,128,4,N4,1.3235391499416083
2.195660476065279,0.7563561594092583,layer_1_ff,65.68434611591395,3.7426218666453024,nested_short,23,128,0,N0,1.2175185986918442
2.0305201940805344,0.7032275891552371,layer_1_ff,64.19633472972028,3.884494032712994,nested_short,23,128,2,N2,1.1987702901621917
2.390805737647442,0.7417792386727491,layer_1_ff,63.52813071655321,3.852387979465826,nested_short,23,128,4,N2,1.2062430606623322
2.192243384641763,0.7198966741143895,layer_1_ff,66.0592748356575,3.7489462556743054,nested_short,23,128,2,N3,1.2056749310344377
2.3469786909391828,0.77396928553745,layer_1_ff,63.51918563664126,3.9223461502568244,nested_short,23,128,4,N3,1.248316067167742
2.2790193709733337,0.659863769027824,layer_1_ff,63.5920604390157,3.8752344261875695,nested_short,23,128,2,N4,1.1467008244953956
2.299670381451689,0.7527429723073018,layer_1_ff,61.07809295514705,4.0122299605948415,nested_short,23,128,4,N4,1.2282817004242315
4.896327546916859,1.5305688535343216,layer_2_sa,289.8000533670163,3.2285124728690353,nested_short,23,128,0,N0,1.6786219465872962
4.813987078380455,1.5108620238903006,layer_2_sa,292.1183056939586,3.2355696314414124,nested_short,23,128,2,N2,1.6995350661193047
5.008723810636114,1.5245998840121624,layer_2_sa,289.69040964759193,3.233537787792547,nested_short,23,128,4,N2,1.7082160280191092
4.585396880238335,1.5105689295579432,layer_2_sa,289.37004522190375,3.270913873663247,nested_short,23,128,2,N3,1.682847006295394
4.587809181338788,1.5119654563290459,layer_2_sa,284.4791860476778,3.2724486828784656,nested_short,23,128,4,N3,1.7023950707183302
4.776109315599679,1.5152138840562097,layer_2_sa,289.09356249970284,3.2515769398671233,nested_short,23,128,2,N4,1.6919625554357611
4.720570296282589,1.5322384194937846,layer_2_sa,282.68400765977754,3.2343657675142543,nested_short,23,128,4,N4,1.705472765108868
5.127064242418295,1.6188291643879311,layer_2_ff,306.5818278255455,3.1931789647210045,nested_short,23,128,0,N0,1.7805943732600453
5.044422059843889,1.5798045462090287,layer_2_ff,309.46610820198543,3.200090082576191,nested_short,23,128,2,N2,1.8088593653752265
5.222956800697125,1.6013782922816697,layer_2_ff,307.05792607531055,3.196523077666328,nested_short,23,128,4,N2,1.8189459260341116
4.816853424479895,1.611611867938094,layer_2_ff,305.4577632191882,3.2348681946227464,nested_short,23,128,2,N3,1.8072350416196716
4.789944044437709,1.606596929643116,layer_2_ff,301.3876536764613,3.2241987813680755,nested_short,23,128,4,N3,1.8098418389179904
4.981742971177912,1.6059318311001354,layer_2_ff,305.5140840273165,3.2110700334661257,nested_short,23,128,2,N4,1.819634913222113
4.915778216512236,1.6226907129101489,layer_2_ff,300.2703507295784,3.184589707266341,nested_short,23,128,4,N4,1.8007138167035084
4.328412327582986,1.9114719292834748,layer_3_sa,263.3125322182753,3.9120615760321744,nested_short,23,128,0,N0,1.9329635446170381
4.218462766072036,1.8614407519224476,layer_3_sa,265.8785814059355,3.8931554297807263,nested_short,23,128,2,N2,1.921380445215854
4.346190808907474,1.874177666938434,layer_3_sa,260.85795281325386,3.8504707362795774,nested_short,23,128,4,N2,1.922427439658748
4.085268772718953,1.8948215654891027,layer_3_sa,260.2922345340449,3.929109071008096,nested_short,23,128,2,N3,1.9300341818084243
4.068061083913,1.8950933050621679,layer_3_sa,255.00887217965757,3.8882154433127525,nested_short,23,128,4,N3,1.9278522313660127
4.26328461632715,1.8970870271117881,layer_3_sa,259.0194194611977,3.867105902237019,nested_short,23,128,2,N4,1.9276981719801038
4.327721857288451,1.8464873428691313,layer_3_sa,255.84040508709106,3.786369479728095,nested_short,23,128,4,N4,1.9127271009137434
4.726745341506378,1.9521441845544834,layer_3_ff,298.0685783530642,3.7879657172656294,nested_short,23,128,0,N0,1.9626185873179942
4.570246913034345,1.902658458722466,layer_3_ff,300.6395309638755,3.7753713031530616,nested_short,23,128,2,N2,1.9494325733867686
4.669082290901702,1.915250660442768,layer_3_ff,296.02584475825074,3.726336757978576,nested_short,23,128,4,N2,1.9482070874606676
4.420740383128378,1.9380215128969849,layer_3_ff,294.9132107835523,3.8131557033246146,nested_short,23,128,2,N3,1.9565924193192181
4.388648999867516,1.9431079755647929,layer_3_ff,288.2344489388948,3.775487392846987,nested_short,23,128,4,N3,1.959686723419121
4.596558920847233,1.944396222397719,layer_3_ff,293.7958290067961,3.7508510782086586,nested_short,23,128,2,N4,1.9595386392029268
4.586553833496149,1.8876156575055516,layer_3_ff,290.56972963750036,3.6734926064226365,nested_short,23,128,4,N4,1.9412967005229103
0.0,9.215718466126788e-19,embedding,2.5444872988151915e-06,2.881290053601727,nested_override_control,23,48,0,N6,1.9762351314862175e-11
14306816.567673674,9.668999206342583e-05,layer_0_sa,3.2143458333715365,2.3322850207548744,nested_override_control,23,48,0,N6,9.669001584797915e-05
18798749.716160674,0.0008383403708719234,layer_0_ff,3.7998452484063163,2.251750412243225,nested_override_control,23,48,0,N6,0.0008383401685647298
45230103134.454056,1.1596509440950704,layer_1_sa,45.230102739642724,4.458410147745841,nested_override_control,23,48,0,N6,1.1596509466079516
387321462.93549955,1.0160297884043554,layer_1_ff,48.13095442701632,4.313891485526023,nested_override_control,23,48,0,N6,1.0160298080530676
1098561838.0406678,1.5403639335333714,layer_2_sa,244.15036290825145,3.1136206082819338,nested_override_control,23,48,0,N6,1.5403639364721817
258099729172.54416,1.710115150664,layer_2_ff,258.09972898887844,3.0317036010311718,nested_override_control,23,48,0,N6,1.7101151472234957
760431321.8222626,1.8877917787734657,layer_3_sa,307.5596273353668,3.0527347401172715,nested_override_control,23,48,0,N6,1.8877917752761268
2272663701.128188,1.9691658194866728,layer_3_ff,358.21632539580685,2.975741354024483,nested_override_control,23,48,0,N6,1.9691658202049391
0.0,8.881784197001252e-16,embedding,2.3301960627803927e-06,3.0590503980933286,balanced_pair,37,128,0,N0,7.445377236958706e-08
0.0,8.881784197001252e-16,embedding,2.3301960627803927e-06,3.0590503980933286,balanced_pair,37,128,2,N2,7.445377236958706e-08
0.0,1.4432899320127035e-15,embedding,2.3301960627803927e-06,3.0590503980933286,balanced_pair,37,128,4,N2,7.455602646366799e-08
0.0,1.4432899320127035e-15,embedding,2.3301960627803927e-06,3.0590503980933286,balanced_pair,37,128,2,N3,7.455602646366799e-08
0.0,8.881784197001252e-16,embedding,2.3301960627803927e-06,3.0590503980933286,balanced_pair,37,128,4,N3,7.445377236958706e-08
0.0,8.881784197001252e-16,embedding,2.3301960627803927e-06,3.0590503980933286,balanced_pair,37,128,2,N4,7.445377236958706e-08
0.0,1.4432899320127035e-15,embedding,2.3301960627803927e-06,3.0590503980933286,balanced_pair,37,128,4,N4,7.455602646366799e-08
1.828578985197635,0.29435530442712143,layer_0_sa,4.466349146314327,3.7403835974045805,balanced_pair,37,128,0,N0,0.4839033187936679
0.8350838056225591,0.23467416553706677,layer_0_sa,4.418179300606334,4.514165259952012,balanced_pair,37,128,2,N2,0.5693034699303687
0.6574228212860577,0.2169074531272086,layer_0_sa,4.21519355592889,4.4503140537462285,balanced_pair,37,128,4,N2,0.5610217097694141
0.8238680437901722,0.2146431544229117,layer_0_sa,4.608207282506751,4.31312022833419,balanced_pair,37,128,2,N3,0.5812477330530372
0.5644780345510483,0.21892426068323156,layer_0_sa,4.029961215754812,4.510035854603206,balanced_pair,37,128,4,N3,0.5900242965662337
0.7505877966317945,0.18739140277421207,layer_0_sa,3.804540671153192,4.3147079209554455,balanced_pair,37,128,2,N4,0.5080287772159993
0.5198054448671766,0.160070886456267,layer_0_sa,3.8919452880378413,4.139560820191897,balanced_pair,37,128,4,N4,0.5033364235154851
1.5280497589436357,0.2795860834669963,layer_0_ff,4.846810867146872,4.223033654513791,balanced_pair,37,128,0,N0,0.38835970493036176
0.6644653235686088,0.1736698357579023,layer_0_ff,4.909888408693851,4.590526355409876,balanced_pair,37,128,2,N2,0.3396441594096167
0.5384569825722059,0.14839642489445515,layer_0_ff,4.924334155378597,4.232286326556288,balanced_pair,37,128,4,N2,0.318464445297733
0.6050049800259852,0.17833343535147628,layer_0_ff,5.48134570764912,3.960365693064436,balanced_pair,37,128,2,N3,0.35534625631160566
0.3940806960234723,0.13660688089513262,layer_0_ff,4.958592158690705,3.8170322159164645,balanced_pair,37,128,4,N3,0.33150949653640316
0.5625916652787657,0.13557813063888724,layer_0_ff,4.668358631722432,3.6910872831316888,balanced_pair,37,128,2,N4,0.3231447760388202
0.37752337716539724,0.10992144192093423,layer_0_ff,5.162648020539843,2.91921192951859,balanced_pair,37,128,4,N4,0.3163120929734844
17.198323911204003,1.7653965927181592,layer_1_sa,224.58852098116697,3.3241718683839885,balanced_pair,37,128,0,N0,1.911866585120673
12.5510772533356,1.803909884636543,layer_1_sa,216.81148580126526,3.4073076840909335,balanced_pair,37,128,2,N2,1.9046039306705365
12.804300423492698,1.7542840631988017,layer_1_sa,212.17755919183332,3.433663415816266,balanced_pair,37,128,4,N2,1.9177109278169415
14.448769204812914,1.796009813136395,layer_1_sa,220.17013558371895,3.418718233612937,balanced_pair,37,128,2,N3,1.9111893940270925
