direction,horizon,margin_absolute_error,model_seed,observed_margin_delta,pair_id,predicted_margin_delta
signal,1,0.3393343687057495,23,1.2741813659667969,s23_signal_3,0.9348469972610474
signal,2,13.047777645289898,23,13.01872730255127,s23_signal_3,-0.029050342738628387
signal,4,32.16446769237518,23,-33.1379508972168,s23_signal_3,-0.9734832048416138
nuisance,1,1.2087631225585938,23,0.8385601043701172,s23_nuisance_4,2.047323226928711
nuisance,2,13.093847274780273,23,2.237635612487793,s23_nuisance_4,15.331482887268066
nuisance,4,6.071723461151123,23,-2.0250797271728516,s23_nuisance_4,4.0466437339782715
signal,1,0.07703423500061035,23,0.3979349136352539,s23_signal_5,0.32090067863464355
signal,2,0.8880362510681152,23,-4.0295634269714355,s23_signal_5,-4.917599678039551
signal,4,20.93033879995346,23,-20.46160125732422,s23_signal_5,0.46873754262924194
nuisance,1,1.7679643630981445,23,0.34675121307373047,s23_nuisance_6,2.114715576171875
nuisance,2,3.375883176922798,23,3.153501510620117,s23_nuisance_6,-0.22238166630268097
nuisance,4,1.0973286628723145,23,-3.675088882446289,s23_nuisance_6,-2.5777602195739746
signal,1,1.3399940729141235,23,-0.42656612396240234,s23_signal_7,-1.7665601968765259
signal,2,1.8763480186462402,23,-4.3951239585876465,s23_signal_7,-2.5187759399414062
signal,4,25.446980476379395,23,-20.359325408935547,s23_signal_7,5.087655067443848
signal,1,2.7202906608581543,23,-0.3227853775024414,s23_signal_8,-3.0430760383605957
signal,2,11.08388614654541,23,-6.715217590332031,s23_signal_8,4.368668556213379
signal,4,37.71145820617676,23,-31.447471618652344,s23_signal_8,6.263986587524414
signal,1,1.969264268875122,23,1.7058391571044922,s23_signal_9,-0.2634251117706299
signal,2,1.642660140991211,23,-15.376708984375,s23_signal_9,-13.734048843383789
signal,4,12.733917236328125,23,-24.153770446777344,s23_signal_9,-36.88768768310547
nuisance,1,1.2961326837539673,23,2.098008155822754,s23_nuisance_10,0.8018754720687866
nuisance,2,2.5253262519836426,23,-0.6108322143554688,s23_nuisance_10,-3.1361584663391113
nuisance,4,2.804680824279785,23,0.7436313629150391,s23_nuisance_10,3.548312187194824
signal,1,1.0104529857635498,23,-1.2991876602172852,s23_signal_11,-2.309640645980835
signal,2,16.72277522087097,23,-17.47354507446289,s23_signal_11,-0.750769853591919
signal,4,4.240121841430664,23,-22.930892944335938,s23_signal_11,-18.690771102905273
nuisance,1,1.8969244956970215,23,0.7703094482421875,s23_nuisance_12,2.667233943939209
nuisance,2,11.682227611541748,23,6.324603080749512,s23_nuisance_12,-5.357624530792236
nuisance,4,13.087944030761719,23,-5.031007766723633,s23_nuisance_12,-18.11895179748535
nuisance,1,0.9100658893585205,23,-0.6319589614868164,s23_nuisance_13,0.2781069278717041
nuisance,2,0.9672821760177612,23,-2.8190736770629883,s23_nuisance_13,-1.851791501045227
nuisance,4,4.203238844871521,23,-3.646209716796875,s23_nuisance_13,0.557029128074646
signal,1,0.5867264270782471,23,-0.7570524215698242,s23_signal_14,-1.3437788486480713
signal,2,4.487039089202881,23,-7.768832683563232,s23_signal_14,-3.2817935943603516
signal,4,19.192392349243164,23,-18.441986083984375,s23_signal_14,0.7504062652587891
signal,1,2.7202906608581543,23,-0.3227853775024414,s23_signal_15,-3.0430760383605957
signal,2,11.08388614654541,23,-6.715217590332031,s23_signal_15,4.368668556213379
signal,4,37.71145820617676,23,-31.447471618652344,s23_signal_15,6.263986587524414
signal,1,2.500551462173462,23,-0.18715190887451172,s23_signal_16,-2.6877033710479736
signal,2,11.84132194519043,23,-14.847229957580566,s23_signal_16,-3.0059080123901367
signal,4,16.644734859466553,23,-23.37840461730957,s23_signal_16,-6.733669757843018
nuisance,1,0.33143484592437744,23,1.5463781356811523,s23_nuisance_17,1.214943289756775
nuisance,2,6.121941566467285,23,-0.3504199981689453,s23_nuisance_17,-6.4723615646362305
