budget_tokens,condition,dataset,mean_answer_logprob,mean_answer_token_accuracy,mean_budget_violation,mean_complete_evidence,mean_end_to_end_time_ns,mean_evidence_recall,mean_materialization_time_ns,mean_materialized_kv_bytes,mean_peak_device_bytes,mean_selection_time_ns,n_examples
128,entropy_adaptive_sharpen,qasper,-4.030712902545929,0.33647198509424925,0.0,0.125,2705262573.625,0.5327771765271766,972771263.125,14680064.0,3122151082.6666665,118573.41666666667,24
192,entropy_adaptive_sharpen,qasper,-4.177712423106034,0.3385938744371136,0.0,0.20833333333333334,3019928112.5,0.6729256854256853,1217885267.7083333,22020096.0,3122157909.3333335,101642.58333333333,24
64,oracle_evidence,qasper,-4.303448175390561,0.300812354311347,0.0,0.08333333333333333,2928244643.4166665,0.44977152477152477,527338888.625,7340032.0,3124760576.0,33001.708333333336,24
128,oracle_evidence,qasper,-3.7792189568281174,0.36477059808870155,0.0,0.4166666666666667,2587466529.3333335,0.7467652717652719,970294972.0,14680064.0,3122151082.6666665,44212.083333333336,24
192,oracle_evidence,qasper,-4.045248704651992,0.35919572692364454,0.0,0.625,2873935275.9583335,0.8701479076479076,1216770251.5416667,22020096.0,3122157909.3333335,43104.291666666664,24
64,persistence,qasper,-4.195321649312973,0.29261956363916397,0.0,0.08333333333333333,2240324407.75,0.2948112073112073,556122886.875,7340032.0,3124153344.0,20313.416666666668,24
128,persistence,qasper,-4.072542287409306,0.3244426120072603,0.0,0.125,2476302324.75,0.5110840548340548,971782550.6666666,14680064.0,3122151082.6666665,24351.541666666668,24
192,persistence,qasper,-4.178962195912997,0.3271272759884596,0.0,0.2916666666666667,2730947068.8333335,0.6795063732563733,1218027438.4583333,22020096.0,3122157909.3333335,22017.333333333332,24
64,power_sharpen,qasper,-4.489602307478587,0.27963179784516495,0.0,0.08333333333333333,3212674107.1666665,0.3368746993746994,533355184.4583333,7340032.0,3127643477.3333335,54075.625,24
128,power_sharpen,qasper,-4.030712902545929,0.33647198509424925,0.0,0.125,2705262573.625,0.5327771765271766,972771263.125,14680064.0,3122151082.6666665,62425.666666666664,24
192,power_sharpen,qasper,-4.177712423106034,0.3385938744371136,0.0,0.20833333333333334,3019928112.5,0.6729256854256853,1217885267.7083333,22020096.0,3122157909.3333335,56530.291666666664,24
