condition,example_id,family,heads,icl_gain,layers,margin,model_seed,probability,rank,stage,target,top1,width
shuffled,34,4,2,,2,0.16595172882080078,11,0.501257061958313,1,D0,6,1,32
wrong_chain,34,4,2,,2,-10.24881362915039,11,2.816353298840113e-05,4,D0,6,0,32
irrelevant,34,4,2,,2,3.917886734008789,11,0.9658695459365845,1,D0,6,1,32
reversed,34,4,2,,2,0.16595172882080078,11,0.501257061958313,1,D0,6,1,32
none,35,4,2,,2,-26.218950271606445,11,2.8699210976451672e-12,126,D0,6,0,32
correct,35,4,2,17.977452278137207,2,-8.241497993469238,11,0.00022174097830429673,3,D0,6,0,32
shuffled,35,4,2,,2,-1.8775739669799805,11,0.11496862769126892,3,D0,6,0,32
wrong_chain,35,4,2,,2,-4.66593074798584,11,0.007643137127161026,3,D0,6,0,32
irrelevant,35,4,2,,2,-2.257990837097168,11,0.06611647456884384,3,D0,6,0,32
reversed,35,4,2,,2,-1.8775739669799805,11,0.11496862769126892,3,D0,6,0,32
none,36,4,2,,2,-26.218950271606445,11,2.8699210976451672e-12,126,D0,6,0,32
correct,36,4,2,18.443105697631836,2,-7.775844573974609,11,0.00026063108816742897,3,D0,6,0,32
shuffled,36,4,2,,2,-4.500732421875,11,0.00887299794703722,3,D0,6,0,32
wrong_chain,36,4,2,,2,-1.5248832702636719,11,0.14196258783340454,3,D0,6,0,32
irrelevant,36,4,2,,2,-1.220372200012207,11,0.2017192542552948,2,D0,6,0,32
reversed,36,4,2,,2,-4.500732421875,11,0.00887299794703722,3,D0,6,0,32
none,37,4,2,,2,-26.218950271606445,11,2.8699210976451672e-12,126,D0,6,0,32
correct,37,4,2,21.568330764770508,2,-4.6506195068359375,11,0.007479013409465551,3,D0,6,0,32
shuffled,37,4,2,,2,-2.496105194091797,11,0.0642421618103981,3,D0,6,0,32
wrong_chain,37,4,2,,2,-1.1318655014038086,11,0.18331032991409302,3,D0,6,0,32
irrelevant,37,4,2,,2,-1.5009040832519531,11,0.1587417721748352,2,D0,6,0,32
reversed,37,4,2,,2,-2.496105194091797,11,0.0642421618103981,3,D0,6,0,32
none,38,4,2,,2,-26.218950271606445,11,2.8699210976451672e-12,126,D0,6,0,32
correct,38,4,2,25.113051414489746,2,-1.1058988571166992,11,0.23219843208789825,2,D0,6,0,32
shuffled,38,4,2,,2,-0.09656238555908203,11,0.3496926426887512,2,D0,6,0,32
wrong_chain,38,4,2,,2,-10.481460571289062,11,2.5354422177770175e-05,4,D0,6,0,32
irrelevant,38,4,2,,2,-1.3011846542358398,11,0.20185938477516174,2,D0,6,0,32
