heads,layers,loss,model_seed,stage,step,width
1,3,0.0020225346088409424,11,D4,251,16
1,3,0.0016645139548927546,11,D4,301,16
2,3,12.110048294067383,11,D4,1,16
2,3,0.4247105121612549,11,D4,51,16
2,3,0.014414804056286812,11,D4,101,16
2,3,0.005372162442654371,11,D4,151,16
2,3,0.002954648807644844,11,D4,201,16
2,3,0.0022574022877961397,11,D4,251,16
2,3,0.001940312678925693,11,D4,301,16
1,3,21.449302673339844,11,D4,1,32
1,3,0.012407174333930016,11,D4,51,32
1,3,0.001812435220927,11,D4,101,32
2,3,21.61435317993164,11,D4,1,32
2,3,0.015222541987895966,11,D4,51,32
2,3,0.001256592688150704,11,D4,101,32
1,3,41.92142105102539,11,D4,1,64
1,3,0.5731363296508789,11,D4,51,64
1,3,0.0006674831383861601,11,D4,101,64
2,3,42.063743591308594,11,D4,1,64
2,3,0.009403971023857594,11,D4,51,64
2,3,0.00016686631715856493,11,D4,101,64
1,4,7.858023166656494,11,D4,1,8
1,4,2.4473540782928467,11,D4,51,8
1,4,0.742813229560852,11,D4,101,8
1,4,0.29863259196281433,11,D4,151,8
1,4,0.05397987365722656,11,D4,201,8
1,4,0.02077619358897209,11,D4,251,8
1,4,0.01658620685338974,11,D4,301,8
1,4,0.011832572519779205,11,D4,351,8
1,4,0.00980321690440178,11,D4,400,8
2,4,7.8685431480407715,11,D4,1,8
2,4,2.5924770832061768,11,D4,51,8
2,4,0.6713117361068726,11,D4,101,8
2,4,0.06983911246061325,11,D4,151,8
2,4,0.03458292782306671,11,D4,201,8
2,4,0.020594827830791473,11,D4,251,8
2,4,0.017312362790107727,11,D4,301,8
2,4,0.01224334817379713,11,D4,351,8
2,4,0.010073583573102951,11,D4,400,8
1,4,11.806816101074219,11,D4,1,16
1,4,0.16346661746501923,11,D4,51,16
1,4,0.006831386126577854,11,D4,101,16
1,4,0.003060614690184593,11,D4,151,16
1,4,0.0020721580367535353,11,D4,201,16
1,4,0.0014544213190674782,11,D4,251,16
2,4,11.905586242675781,11,D4,1,16
2,4,0.30859339237213135,11,D4,51,16
2,4,0.008837059140205383,11,D4,101,16
2,4,0.003650976112112403,11,D4,151,16
2,4,0.002065455075353384,11,D4,201,16
2,4,0.0016452840063720942,11,D4,251,16
1,4,21.808862686157227,11,D4,1,32
1,4,0.011823654174804688,11,D4,51,32
1,4,0.00040545506635680795,11,D4,101,32
2,4,21.89260482788086,11,D4,1,32
2,4,0.008788160979747772,11,D4,51,32
2,4,0.0007652826607227325,11,D4,101,32
1,4,41.87156295776367,11,D4,1,64
1,4,0.004271806217730045,11,D4,51,64
1,4,0.00017795538587961346,11,D4,101,64
2,4,42.300621032714844,11,D4,1,64
2,4,0.0012679585488513112,11,D4,51,64
2,4,0.00013260988635011017,11,D4,101,64
1,6,7.651568412780762,11,D4,1,8
1,6,2.212190628051758,11,D4,51,8
1,6,0.507046639919281,11,D4,101,8
1,6,0.05687761679291725,11,D4,151,8
1,6,0.03012637048959732,11,D4,201,8
1,6,0.017996419221162796,11,D4,251,8
1,6,0.015204012393951416,11,D4,301,8
1,6,0.010927775874733925,11,D4,351,8
1,6,0.009036322124302387,11,D4,400,8
2,6,7.669393062591553,11,D4,1,8
2,6,2.455454111099243,11,D4,51,8
2,6,0.6138824224472046,11,D4,101,8
2,6,0.05912867933511734,11,D4,151,8
2,6,0.031226402148604393,11,D4,201,8
2,6,0.01944667473435402,11,D4,251,8
2,6,0.016090404242277145,11,D4,301,8
2,6,0.011521073058247566,11,D4,351,8
2,6,0.009402703493833542,11,D4,400,8
1,6,12.556846618652344,11,D4,1,16
1,6,0.10613024234771729,11,D4,51,16
1,6,0.004389250185340643,11,D4,101,16
1,6,0.00257672555744648,11,D4,151,16
1,6,0.0016531329602003098,11,D4,201,16
2,6,12.726959228515625,11,D4,1,16
2,6,0.24208517372608185,11,D4,51,16
2,6,0.005609364714473486,11,D4,101,16
2,6,0.0028427736833691597,11,D4,151,16
2,6,0.0016438537277281284,11,D4,201,16
1,6,21.33029556274414,11,D4,1,32
1,6,0.0029309317469596863,11,D4,51,32
1,6,0.0004227475728839636,11,D4,101,32
2,6,21.36290168762207,11,D4,1,32
2,6,0.003719830419868231,11,D4,51,32
2,6,0.00027957878774031997,11,D4,101,32
1,6,40.25493621826172,11,D4,1,64
1,6,0.0010147658176720142,11,D4,51,64
1,6,6.022383240633644e-05,11,D4,101,64
2,6,40.906951904296875,11,D4,1,64
2,6,0.0007212639320641756,11,D4,51,64
2,6,7.790744712110609e-05,11,D4,101,64
