accuracy,boundary,gate_passed,margin_signal,margin_snr,margin_variance,model_seed,predictive_order,stage
0.0,1,True,-10.363209040024701,-2.372292796602852,19.083232283555216,11,3,s3
0.2823529411764706,2,True,-2.571413505778593,-0.7488842096279887,11.790018698102083,11,3,s3
0.6235294117647059,3,True,-3.9543198978199676,-0.22690849960435938,303.6980979323948,11,3,s3
0.611764705882353,4,True,-1.7737878967733944,-0.12919473729741257,188.50103018910025,11,3,s3
0.6235294117647059,5,True,2.620412422628964,0.2571618595787624,103.83079615443523,11,3,s3
0.6235294117647059,6,True,3.4971992268281826,0.4290025989386048,66.45396539276817,11,3,s3
0.6235294117647059,7,True,5.229070259543026,0.6908027345759635,57.29818405858742,11,3,s3
0.711764705882353,8,True,5.239232209149529,0.9397371689802931,31.082968281633004,11,3,s3
0.6764705882352942,9,True,5.337288205763873,0.9679135059754482,30.406624395670534,11,3,s3
0.9647058823529412,10,True,4.926895343556124,1.1710137555678064,17.702014036449476,11,3,s3
1.0,11,True,10.834406863941865,3.330967890978194,10.579603415973725,11,3,s3
1.0,12,True,10.001881891138414,2.9184066987807067,11.745508303250341,11,3,s3
0.0,0,True,-43.2834744035152,-5.3398089862957505,65.70414762272321,23,1,s3
0.6081871345029239,1,True,0.7708642301503678,0.12519113054764477,37.914790874991034,23,1,s3
0.8538011695906432,2,True,3.797644933064779,0.8798226980612748,18.631095433684287,23,1,s3
1.0,3,True,15.228560832508823,5.101447922311371,8.911089577854442,23,1,s3
1.0,4,True,15.57163701419942,5.971171885927382,6.800633905821263,23,1,s3
1.0,5,True,17.083270859300043,5.779563311767406,8.736792111920234,23,1,s3
1.0,6,True,17.748737747906244,6.111068269885055,8.435302729448091,23,1,s3
1.0,7,True,19.012247576351054,5.783504892488463,10.806491271618178,23,1,s3
1.0,8,True,19.26016070271096,5.565744516060197,11.974938134743649,23,1,s3
1.0,9,True,20.0159340016326,5.273849148782447,14.404437844629571,23,1,s3
1.0,10,True,20.10879651565998,5.526153514139249,13.241167153225657,23,1,s3
1.0,11,True,19.696349450719286,5.7032775277876295,11.926759740669707,23,1,s3
1.0,12,True,19.320113968430903,5.806048697481088,11.072814372377852,23,1,s3
0.0,0,True,-31.40225503040336,-3.0911185394268013,103.20253209270616,23,2,s3
0.0,1,True,-21.39895202681335,-2.21667509628129,93.19249218377048,23,2,s3
0.0,2,True,-20.067033243458173,-1.7907518241630445,125.57278773903579,23,2,s3
1.0,3,True,10.1921566076446,2.791750118776292,13.328432886538298,23,2,s3
1.0,4,True,11.68143169782315,3.0735065338996286,14.44521021112796,23,2,s3
0.9883040935672515,5,True,13.007694378233792,2.5995090349866854,25.039058003239425,23,2,s3
1.0,6,True,14.287952367325275,3.1769650470989856,20.226238021701594,23,2,s3
1.0,7,True,14.845000484533477,3.702007491848585,16.079992628594642,23,2,s3
1.0,8,True,15.231247896339461,4.4179766965464635,11.885682673257143,23,2,s3
1.0,9,True,14.944055300707008,5.291981844264356,7.974440837940392,23,2,s3
