between_centroid_variance,boundary,effective_rank,hierarchy_rsa,interpretation_status,model_seed,nearest_class_recovery,predictive_order,residual_covariance_trace,stage,within_between_ratio,within_dispersion
207.14939556183998,2,8.541578030852042,0.8960168895339619,eligible,23,0.99609375,1,260.56223520789126,s1,3.792942634886812,54.614428812760636
179.18700935787444,2,6.572584452125674,0.8942296654788923,eligible,23,0.8671875,2,287.23447099829247,s1,1.614474865140119,110.98779746328117
142.80494035385328,2,5.589771234485514,0.9305246624136025,eligible,23,0.98828125,3,289.95118196918804,s1,1.1662175029494144,122.4513780500046
389.0607345743919,3,9.698249353336966,0.9350770534866624,eligible,23,1.0,1,460.9781143075348,s1,5.329533746086381,73.00089521091678
327.0393755239081,3,7.9389932953359015,0.9212323516488277,eligible,23,0.99609375,2,467.6737719473554,s1,2.1807155588454865,149.96883668553363
191.9316891658101,3,6.315038331113381,0.9331529682141453,eligible,23,0.9921875,3,356.9436764556587,s1,1.2282577461599635,156.2633655302273
442.70339212604244,4,9.38830137881475,0.9351635092170774,eligible,23,1.0,1,519.9642790183964,s1,5.648892507083992,78.3699444651109
366.3232663523893,4,7.869141722220529,0.9214580946502907,eligible,23,0.99609375,2,522.2510449695565,s1,2.2209203986291293,164.94209632920405
209.72253099064523,4,5.992240887566571,0.9313346808909869,eligible,23,0.9921875,3,384.87247516527185,s1,1.28448399615722,163.2737594280859
732.2220744128542,5,9.773991623291497,0.9303412630393328,eligible,23,1.0,1,845.305104725304,s1,6.8303061080699115,107.20194128334029
572.9850198696365,5,8.45721060535928,0.8983751008259523,eligible,23,1.0,2,771.7160088353991,s1,2.6478477909346827,216.39650957462925
378.12096716259765,5,7.13456691266238,0.9478663863530449,eligible,23,1.0,3,563.374736905857,s1,1.5875146184656468,238.18424268255322
796.905865110906,6,9.66371706472605,0.9288555020964245,eligible,23,1.0,1,914.3633552483593,s1,7.070527325675505,112.70812321824468
610.8043962528232,6,8.209642967775961,0.8978990141955102,eligible,23,1.0,2,816.4400213821573,s1,2.7440842140059463,222.58952298468296
413.8871045000371,6,6.853882488136653,0.9527314760689505,eligible,23,1.0,3,605.2919017604081,s1,1.6932042628097759,244.44015029603278
1018.1918645521233,7,10.031708469944926,0.9299697802466408,eligible,23,1.0,1,1148.6393641462735,s1,7.224274958623519,140.94035322734757
721.5996863952198,7,8.206101228989606,0.9239252469145632,eligible,23,1.0,2,939.545480532311,s1,3.0377630742970947,237.5431094249549
499.6276907303376,7,7.11665530586339,0.9612525202302672,eligible,23,1.0,3,677.2714436675174,s1,1.859980156951062,268.619903736362
1064.0610372374522,8,9.900580493697117,0.927926215097882,eligible,23,1.0,1,1195.480835901525,s1,7.380799850158824,144.16608751973502
