condition,depth,example_id,final_correct,generated_steps,seed,termination_correct,trajectory_exact,transition_accuracy
O0,1,27,1,1,23,1,1,1
O0,1,28,1,1,23,1,1,1
O0,1,29,1,1,23,1,1,1
O0,1,30,1,1,23,1,1,1
O0,1,31,1,1,23,1,1,1
O0,1,32,1,1,23,1,1,1
O0,1,33,1,1,23,1,1,1
O0,1,34,1,1,23,1,1,1
O0,1,35,1,1,23,1,1,1
O0,1,36,1,1,23,1,1,1
O0,1,37,1,1,23,1,1,1
O0,1,38,1,1,23,1,1,1
O0,1,39,1,1,23,1,1,1
O0,1,40,1,1,23,1,1,1
O0,1,41,1,1,23,1,1,1
O0,1,42,1,1,23,1,1,1
O0,1,43,1,1,23,1,1,1
O0,1,44,1,1,23,1,1,1
O0,1,45,1,1,23,1,1,1
O0,1,46,1,1,23,1,1,1
O0,1,47,1,1,23,1,1,1
O0,1,48,1,1,23,1,1,1
O0,1,49,1,1,23,1,1,1
O0,1,50,1,1,23,1,1,1
O0,1,51,1,1,23,1,1,1
O0,1,52,1,1,23,1,1,1
O0,1,53,1,1,23,1,1,1
O0,1,54,1,1,23,1,1,1
O0,1,55,1,1,23,1,1,1
O0,1,56,1,1,23,1,1,1
O0,1,57,1,1,23,1,1,1
O0,1,58,1,1,23,1,1,1
O0,1,59,1,1,23,1,1,1
O0,1,60,1,1,23,1,1,1
O0,1,61,1,1,23,1,1,1
O0,1,62,1,1,23,1,1,1
O0,1,63,1,1,23,1,1,1
O0,2,0,1,1,23,1,1,1
O0,2,1,1,1,23,1,1,1
O0,2,2,1,1,23,1,1,1
O0,2,3,1,1,23,1,1,1
O0,2,4,1,1,23,1,1,1
O0,2,5,1,1,23,1,1,1
O0,2,6,1,1,23,1,1,1
O0,2,7,1,1,23,1,1,1
O0,2,8,1,1,23,1,1,1
O0,2,9,1,1,23,1,1,1
O0,2,10,1,1,23,1,1,1
O0,2,11,1,1,23,1,1,1
O0,2,12,1,1,23,1,1,1
O0,2,13,1,1,23,1,1,1
O0,2,14,1,1,23,1,1,1
O0,2,15,1,1,23,1,1,1
O0,2,16,1,1,23,1,1,1
O0,2,17,1,1,23,1,1,1
O0,2,18,1,1,23,1,1,1
O0,2,19,1,1,23,1,1,1
O0,2,20,1,1,23,1,1,1
O0,2,21,1,1,23,1,1,1
O0,2,22,1,1,23,1,1,1
O0,2,23,1,1,23,1,1,1
O0,2,24,1,1,23,1,1,1
O0,2,25,1,1,23,1,1,1
O0,2,26,1,1,23,1,1,1
O0,2,27,1,1,23,1,1,1
O0,2,28,1,1,23,1,1,1
O0,2,29,1,1,23,1,1,1
O0,2,30,1,1,23,1,1,1
O0,2,31,1,1,23,1,1,1
O0,2,32,1,1,23,1,1,1
O0,2,33,1,1,23,1,1,1
O0,2,34,1,1,23,1,1,1
O0,2,35,1,1,23,1,1,1
O0,2,36,1,1,23,1,1,1
O0,2,37,1,1,23,1,1,1
O0,2,38,1,1,23,1,1,1
O0,2,39,1,1,23,1,1,1
O0,2,40,1,1,23,1,1,1
O0,2,41,1,1,23,1,1,1
O0,2,42,1,1,23,1,1,1
O0,2,43,1,1,23,1,1,1
O0,2,44,1,1,23,1,1,1
O0,2,45,1,1,23,1,1,1
O0,2,46,1,1,23,1,1,1
O0,2,47,1,1,23,1,1,1
O0,2,48,1,1,23,1,1,1
O0,2,49,1,1,23,1,1,1
O0,2,50,1,1,23,1,1,1
O0,2,51,1,1,23,1,1,1
O0,2,52,1,1,23,1,1,1
O0,2,53,1,1,23,1,1,1
O0,2,54,1,1,23,1,1,1
O0,2,55,1,1,23,1,1,1
O0,2,56,1,1,23,1,1,1
O0,2,57,1,1,23,1,1,1
O0,2,58,1,1,23,1,1,1
O0,2,59,1,1,23,1,1,1
O0,2,60,1,1,23,1,1,1
O0,2,61,1,1,23,1,1,1
O0,2,62,1,1,23,1,1,1
O0,2,63,1,1,23,1,1,1
O0,3,0,1,1,23,1,1,1
O0,3,1,1,1,23,1,1,1
O0,3,2,1,1,23,1,1,1
O0,3,3,1,1,23,1,1,1
O0,3,4,1,1,23,1,1,1
O0,3,5,1,1,23,1,1,1
O0,3,6,1,1,23,1,1,1
O0,3,7,1,1,23,1,1,1
O0,3,8,1,1,23,1,1,1
O0,3,9,1,1,23,1,1,1
O0,3,10,1,1,23,1,1,1
O0,3,11,1,1,23,1,1,1
O0,3,12,1,1,23,1,1,1
O0,3,13,1,1,23,1,1,1
O0,3,14,1,1,23,1,1,1
O0,3,15,1,1,23,1,1,1
O0,3,16,1,1,23,1,1,1
O0,3,17,1,1,23,1,1,1
O0,3,18,1,1,23,1,1,1
O0,3,19,1,1,23,1,1,1
O0,3,20,1,1,23,1,1,1
O0,3,21,1,1,23,1,1,1
O0,3,22,1,1,23,1,1,1
O0,3,23,1,1,23,1,1,1
O0,3,24,1,1,23,1,1,1
O0,3,25,1,1,23,1,1,1
O0,3,26,1,1,23,1,1,1
O0,3,27,1,1,23,1,1,1
O0,3,28,1,1,23,1,1,1
O0,3,29,1,1,23,1,1,1
O0,3,30,1,1,23,1,1,1
O0,3,31,1,1,23,1,1,1
O0,3,32,1,1,23,1,1,1
O0,3,33,1,1,23,1,1,1
O0,3,34,1,1,23,1,1,1
O0,3,35,1,1,23,1,1,1
O0,3,36,1,1,23,1,1,1
O0,3,37,1,1,23,1,1,1
O0,3,38,1,1,23,1,1,1
O0,3,39,1,1,23,1,1,1
O0,3,40,1,1,23,1,1,1
O0,3,41,1,1,23,1,1,1
O0,3,42,1,1,23,1,1,1
O0,3,43,1,1,23,1,1,1
O0,3,44,1,1,23,1,1,1
O0,3,45,1,1,23,1,1,1
O0,3,46,1,1,23,1,1,1
