R,between_js_bits,covariance_effective_rank,covariance_trace,generator_family,layer,mean_entropy_bits,mean_target_margin,mean_target_probability,model_seed,n_realizations,nuisance_count,predictive_family_id,top1_accuracy,within_js_bits
10665.064492337178,0.749198192887647,1.4545331181709769,13.181477616253925,skip_gram,3,0.003848795002947251,8.926494598388672,0.9997301697731018,11,12,8,skip_gram:r0,1.0,7.024788208509607e-05
749959961154.0297,0.7499599611540296,0.0,0.0,skip_gram,0,0.031153570860624313,-6.565680503845215,0.0014039574889466166,11,12,0,skip_gram:r1,0.0,0.0
764945396351.5671,0.7649453963515671,0.0,0.0,skip_gram,1,0.18118056654930115,3.7047367095947266,0.9746108055114746,11,12,0,skip_gram:r1,1.0,0.0
750984809044.6188,0.7509848090446187,0.0,0.0,skip_gram,2,0.01037062518298626,7.583959579467773,0.9992316961288452,11,12,0,skip_gram:r1,1.0,0.0
749634035960.357,0.749634035960357,0.0,0.0,skip_gram,3,0.00019360680016689003,12.366342544555664,0.9999901056289673,11,12,0,skip_gram:r1,1.0,0.0
1310.3547680148129,0.7493009205951857,3.016047226774517,1.9481499507764184,skip_gram,0,0.07442651502788067,-5.890855431556702,0.0034967264994823686,11,12,4,skip_gram:r1,0.0,0.0005718305751123998
429.2171969337398,0.7607562356897652,3.5005432175475026,2.167591238825787,skip_gram,1,0.21321825807293257,4.017004470030467,0.9726875076691309,11,12,4,skip_gram:r1,1.0,0.001772427202648189
232.25930887602976,0.7275224951096616,3.206656880430691,2.745908127935855,skip_gram,2,0.13358935325716934,5.091964284578959,0.983313649892807,11,12,4,skip_gram:r1,1.0,0.0031323717384261333
2994415.0325389435,0.7497480763432494,2.273794630039258,4.808383874427707,skip_gram,3,8.087811117244807e-05,13.215197165807089,0.9999962349732717,11,12,4,skip_gram:r1,1.0,2.503821508361662e-07
970.200347900521,0.7490479320601673,5.083444688844233,1.701191158893995,skip_gram,0,0.10265212009350459,-5.308748483657837,0.006176217497947316,11,12,8,skip_gram:r1,0.0,0.0007720548994659508
79.33099289734851,0.753899900481952,4.629074596062174,2.4498934220455078,skip_gram,1,0.3540746718645096,3.7599575320879617,0.9474819600582123,11,12,8,skip_gram:r1,1.0,0.00950322027933612
