cumulative_fluctuation_variance,cumulative_signal,layer_i,layer_j,model_seed,nuisance_count,predictive_family_id,update_covariance
0.0,40.00246620178223,2,2,11,0,contiguous_ngram:r2,0.0
0.0,40.00246620178223,2,3,11,0,contiguous_ngram:r2,0.0
0.0,40.00246620178223,2,4,11,0,contiguous_ngram:r2,0.0
0.0,40.00246620178223,2,5,11,0,contiguous_ngram:r2,0.0
0.0,40.00246620178223,2,6,11,0,contiguous_ngram:r2,0.0
0.0,40.00246620178223,2,7,11,0,contiguous_ngram:r2,0.0
0.0,40.00246620178223,3,0,11,0,contiguous_ngram:r2,0.0
0.0,40.00246620178223,3,1,11,0,contiguous_ngram:r2,0.0
0.0,40.00246620178223,3,2,11,0,contiguous_ngram:r2,0.0
0.0,40.00246620178223,3,3,11,0,contiguous_ngram:r2,0.0
0.0,40.00246620178223,3,4,11,0,contiguous_ngram:r2,0.0
0.0,40.00246620178223,3,5,11,0,contiguous_ngram:r2,0.0
0.0,40.00246620178223,3,6,11,0,contiguous_ngram:r2,0.0
0.0,40.00246620178223,3,7,11,0,contiguous_ngram:r2,0.0
0.0,40.00246620178223,4,0,11,0,contiguous_ngram:r2,0.0
0.0,40.00246620178223,4,1,11,0,contiguous_ngram:r2,0.0
0.0,40.00246620178223,4,2,11,0,contiguous_ngram:r2,0.0
0.0,40.00246620178223,4,3,11,0,contiguous_ngram:r2,0.0
0.0,40.00246620178223,4,4,11,0,contiguous_ngram:r2,0.0
0.0,40.00246620178223,4,5,11,0,contiguous_ngram:r2,0.0
0.0,40.00246620178223,4,6,11,0,contiguous_ngram:r2,0.0
0.0,40.00246620178223,4,7,11,0,contiguous_ngram:r2,0.0
0.0,40.00246620178223,5,0,11,0,contiguous_ngram:r2,0.0
0.0,40.00246620178223,5,1,11,0,contiguous_ngram:r2,0.0
0.0,40.00246620178223,5,2,11,0,contiguous_ngram:r2,0.0
0.0,40.00246620178223,5,3,11,0,contiguous_ngram:r2,0.0
0.0,40.00246620178223,5,4,11,0,contiguous_ngram:r2,0.0
0.0,40.00246620178223,5,5,11,0,contiguous_ngram:r2,0.0
0.0,40.00246620178223,5,6,11,0,contiguous_ngram:r2,0.0
0.0,40.00246620178223,5,7,11,0,contiguous_ngram:r2,0.0
0.0,40.00246620178223,6,0,11,0,contiguous_ngram:r2,0.0
0.0,40.00246620178223,6,1,11,0,contiguous_ngram:r2,0.0
0.0,40.00246620178223,6,2,11,0,contiguous_ngram:r2,0.0
0.0,40.00246620178223,6,3,11,0,contiguous_ngram:r2,0.0
0.0,40.00246620178223,6,4,11,0,contiguous_ngram:r2,0.0
0.0,40.00246620178223,6,5,11,0,contiguous_ngram:r2,0.0
0.0,40.00246620178223,6,6,11,0,contiguous_ngram:r2,0.0
0.0,40.00246620178223,6,7,11,0,contiguous_ngram:r2,0.0
0.0,40.00246620178223,7,0,11,0,contiguous_ngram:r2,0.0
0.0,40.00246620178223,7,1,11,0,contiguous_ngram:r2,0.0
0.0,40.00246620178223,7,2,11,0,contiguous_ngram:r2,0.0
0.0,40.00246620178223,7,3,11,0,contiguous_ngram:r2,0.0
0.0,40.00246620178223,7,4,11,0,contiguous_ngram:r2,0.0
0.0,40.00246620178223,7,5,11,0,contiguous_ngram:r2,0.0
0.0,40.00246620178223,7,6,11,0,contiguous_ngram:r2,0.0
0.0,40.00246620178223,7,7,11,0,contiguous_ngram:r2,0.0
0.0,43.266119956970215,0,0,11,0,skip_gram:r0,0.0
0.0,43.266119956970215,0,1,11,0,skip_gram:r0,0.0
0.0,43.266119956970215,0,2,11,0,skip_gram:r0,0.0
0.0,43.266119956970215,0,3,11,0,skip_gram:r0,0.0
0.0,43.266119956970215,0,4,11,0,skip_gram:r0,0.0
0.0,43.266119956970215,0,5,11,0,skip_gram:r0,0.0
0.0,43.266119956970215,0,6,11,0,skip_gram:r0,0.0
0.0,43.266119956970215,0,7,11,0,skip_gram:r0,0.0
0.0,43.266119956970215,1,0,11,0,skip_gram:r0,0.0
0.0,43.266119956970215,1,1,11,0,skip_gram:r0,0.0
0.0,43.266119956970215,1,2,11,0,skip_gram:r0,0.0
0.0,43.266119956970215,1,3,11,0,skip_gram:r0,0.0
0.0,43.266119956970215,1,4,11,0,skip_gram:r0,0.0
0.0,43.266119956970215,1,5,11,0,skip_gram:r0,0.0
0.0,43.266119956970215,1,6,11,0,skip_gram:r0,0.0
0.0,43.266119956970215,1,7,11,0,skip_gram:r0,0.0
0.0,43.266119956970215,2,0,11,0,skip_gram:r0,0.0
0.0,43.266119956970215,2,1,11,0,skip_gram:r0,0.0
0.0,43.266119956970215,2,2,11,0,skip_gram:r0,0.0
0.0,43.266119956970215,2,3,11,0,skip_gram:r0,0.0
0.0,43.266119956970215,2,4,11,0,skip_gram:r0,0.0
0.0,43.266119956970215,2,5,11,0,skip_gram:r0,0.0
0.0,43.266119956970215,2,6,11,0,skip_gram:r0,0.0
0.0,43.266119956970215,2,7,11,0,skip_gram:r0,0.0
0.0,43.266119956970215,3,0,11,0,skip_gram:r0,0.0
0.0,43.266119956970215,3,1,11,0,skip_gram:r0,0.0
0.0,43.266119956970215,3,2,11,0,skip_gram:r0,0.0
0.0,43.266119956970215,3,3,11,0,skip_gram:r0,0.0
0.0,43.266119956970215,3,4,11,0,skip_gram:r0,0.0
0.0,43.266119956970215,3,5,11,0,skip_gram:r0,0.0
0.0,43.266119956970215,3,6,11,0,skip_gram:r0,0.0
0.0,43.266119956970215,3,7,11,0,skip_gram:r0,0.0
0.0,43.266119956970215,4,0,11,0,skip_gram:r0,0.0
0.0,43.266119956970215,4,1,11,0,skip_gram:r0,0.0
0.0,43.266119956970215,4,2,11,0,skip_gram:r0,0.0
0.0,43.266119956970215,4,3,11,0,skip_gram:r0,0.0
0.0,43.266119956970215,4,4,11,0,skip_gram:r0,0.0
0.0,43.266119956970215,4,5,11,0,skip_gram:r0,0.0
0.0,43.266119956970215,4,6,11,0,skip_gram:r0,0.0
0.0,43.266119956970215,4,7,11,0,skip_gram:r0,0.0
0.0,43.266119956970215,5,0,11,0,skip_gram:r0,0.0
0.0,43.266119956970215,5,1,11,0,skip_gram:r0,0.0
0.0,43.266119956970215,5,2,11,0,skip_gram:r0,0.0
0.0,43.266119956970215,5,3,11,0,skip_gram:r0,0.0
0.0,43.266119956970215,5,4,11,0,skip_gram:r0,0.0
