fraction_positive_margin_update,from_depth,margin_update_snr,mean_margin_update,model_seed,nuisance_count,predictive_family_id,to_depth,var_margin_update
1.0,6,5.135702155790897,10.249507983525595,11,8,skip_gram:r0,7,3.9829639339569285
0.08333333333333333,7,-1.1406519854849766,-0.9215176900227865,11,8,skip_gram:r0,8,0.6526810761593933
1.0,0,403456306.45751953,4.034563064575195,11,0,skip_gram:r1,1,0.0
1.0,1,1353991031.6467285,13.539910316467285,11,0,skip_gram:r1,2,0.0
1.0,2,940116024.017334,9.40116024017334,11,0,skip_gram:r1,3,0.0
1.0,3,86925697.32666016,0.8692569732666016,11,0,skip_gram:r1,4,0.0
1.0,4,365760803.22265625,3.6576080322265625,11,0,skip_gram:r1,5,0.0
1.0,5,22161483.764648438,0.22161483764648438,11,0,skip_gram:r1,6,0.0
1.0,6,429650306.70166016,4.296503067016602,11,0,skip_gram:r1,7,0.0
1.0,7,48587989.807128906,0.48587989807128906,11,0,skip_gram:r1,8,0.0
1.0,0,3.518218712057631,5.1205064455668134,11,4,skip_gram:r1,1,2.1182643642264476
1.0,1,15.364745280690459,13.12879196802775,11,4,skip_gram:r1,2,0.7301276469343617
1.0,2,23.68539807829396,9.544007698694864,11,4,skip_gram:r1,3,0.1623678963148629
0.9166666666666666,3,1.048006987650074,0.36385218302408856,11,4,skip_gram:r1,4,0.12053733579727344
0.8333333333333334,4,1.2123165630242994,0.9421435991923014,11,4,skip_gram:r1,5,0.60395157108539
0.5833333333333334,5,0.4042277786968579,0.13281623522440592,11,4,skip_gram:r1,6,0.10795679795616266
1.0,6,6.817030888882675,6.880121946334839,11,4,skip_gram:r1,7,1.0185954680109923
1.0,7,2.9004199309618106,1.24311097462972,11,4,skip_gram:r1,8,0.1836952892475286
1.0,0,4.799122189286161,5.698987404505412,11,8,skip_gram:r1,1,1.4101709761169428
1.0,1,16.41557641907751,13.132417996724447,11,8,skip_gram:r1,2,0.6399957793626417
1.0,2,17.725115486388813,8.850696563720703,11,8,skip_gram:r1,3,0.24933126419918236
0.75,3,0.5671851163792716,0.21800947189331055,11,8,skip_gram:r1,4,0.1477410058066446
0.25,4,-0.6700267592028525,-0.4354892571767171,11,8,skip_gram:r1,5,0.4224453981136749
0.5833333333333334,5,0.31364426511395826,0.07532183329264323,11,8,skip_gram:r1,6,0.05767226734684356
1.0,6,7.393912459017325,7.652823845545451,11,8,skip_gram:r1,7,1.0712598207389599
1.0,7,4.129157359910964,1.3556609153747559,11,8,skip_gram:r1,8,0.10779019464652348
1.0,0,606043434.1430664,6.060434341430664,11,0,skip_gram:r2,1,0.0
1.0,1,2367156124.11499,23.671561241149902,11,0,skip_gram:r2,2,0.0
1.0,2,149451923.37036133,1.4945192337036133,11,0,skip_gram:r2,3,0.0
1.0,3,693112564.0869141,6.931125640869141,11,0,skip_gram:r2,4,0.0
0.0,4,-120293617.24853516,-1.2029361724853516,11,0,skip_gram:r2,5,0.0
1.0,5,329406547.5463867,3.294065475463867,11,0,skip_gram:r2,6,0.0
0.0,6,-256352233.88671875,-2.5635223388671875,11,0,skip_gram:r2,7,0.0
0.0,7,-166488170.6237793,-1.664881706237793,11,0,skip_gram:r2,8,0.0
1.0,0,4.288982153727534,6.477363109588623,11,4,skip_gram:r2,1,2.280804194388359
1.0,1,16.389110399599463,25.446289380391438,11,4,skip_gram:r2,2,2.4106721826517035
1.0,2,2.030195634448151,1.0865971247355144,11,4,skip_gram:r2,3,0.28645823231360706
1.0,3,9.346099858429811,5.282760461171468,11,4,skip_gram:r2,4,0.3194927357813922
0.4166666666666667,4,-0.2990371805824723,-0.1214897632598877,11,4,skip_gram:r2,5,0.16505510887809163
