direction,generator_family,input_delta_norm,jvp_cosine,layer,model_seed,observed_delta_norm,prediction_space_relative_error,predictive_family_id,relative_norm_error
signal,skip_gram,12.825498580932617,0.9597528576850891,2,23,15.665369987487793,0.281046599149704,skip_gram:r0,0.29723304510116577
signal,skip_gram,15.665369987487793,0.9551308751106262,3,23,15.82629680633545,0.1945284903049469,skip_gram:r0,0.30668026208877563
nuisance,skip_gram,0.0,0.23408450186252594,0,23,2.21635103225708,0.9917451739311218,skip_gram:r1,1.199109673500061
nuisance,skip_gram,2.21635103225708,0.9899502396583557,1,23,4.324135780334473,0.12679478526115417,skip_gram:r1,0.14151881635189056
nuisance,skip_gram,4.324135780334473,0.9964562058448792,2,23,5.835798740386963,0.10132887214422226,skip_gram:r1,0.11781978607177734
nuisance,skip_gram,5.835798740386963,0.9951051473617554,3,23,6.47884464263916,0.0856577605009079,skip_gram:r1,0.10677599906921387
signal,skip_gram,9.905553817749023,0.8715108036994934,0,23,8.614211082458496,0.42489421367645264,skip_gram:r1,0.5172576308250427
signal,skip_gram,8.614211082458496,0.7971943616867065,1,23,12.825498580932617,0.4301428198814392,skip_gram:r1,1.1402593851089478
signal,skip_gram,12.825498580932617,0.930290937423706,2,23,15.665369987487793,0.3575422763824463,skip_gram:r1,0.3671965003013611
signal,skip_gram,15.665369987487793,0.9184668660163879,3,23,15.82629680633545,0.33593180775642395,skip_gram:r1,0.42542797327041626
nuisance,skip_gram,0.0,0.47138461470603943,0,23,1.6031646728515625,0.9348416328430176,skip_gram:r2,1.0240126848220825
nuisance,skip_gram,1.6031646728515625,0.9368047714233398,1,23,1.6044058799743652,0.3758365213871002,skip_gram:r2,0.4372098445892334
nuisance,skip_gram,1.6044058799743652,0.9981399774551392,2,23,1.8192496299743652,0.06692586839199066,skip_gram:r2,0.06378917396068573
nuisance,skip_gram,1.8192496299743652,0.9995233416557312,3,23,1.9672094583511353,0.026732925325632095,skip_gram:r2,0.03271380811929703
signal,skip_gram,8.686946868896484,0.858925461769104,0,23,9.501789093017578,0.38353079557418823,skip_gram:r2,0.5429587364196777
signal,skip_gram,9.501789093017578,0.9243819713592529,1,23,11.986928939819336,0.25306054949760437,skip_gram:r2,0.4090164601802826
signal,skip_gram,11.986928939819336,0.9886390566825867,2,23,14.327661514282227,0.10862435400485992,skip_gram:r2,0.1504262387752533
signal,skip_gram,14.327661514282227,0.9934829473495483,3,23,15.562121391296387,0.09099507331848145,skip_gram:r2,0.11434713751077652
nuisance,binary_functor,0.0,0.7110208868980408,0,37,2.1520743370056152,0.7210224866867065,binary_functor:r0,0.7042001485824585
nuisance,binary_functor,2.1520743370056152,0.8716486096382141,1,37,2.918320655822754,0.4535244107246399,binary_functor:r0,0.534242570400238
nuisance,binary_functor,2.918320655822754,0.996490478515625,2,37,3.741074800491333,0.08077266812324524,binary_functor:r0,0.08528871089220047
nuisance,binary_functor,3.741074800491333,0.9984199404716492,3,37,6.217386722564697,0.08093610405921936,binary_functor:r0,0.09583151340484619
signal,binary_functor,9.738350868225098,0.8796342015266418,0,37,10.890358924865723,0.4617939293384552,binary_functor:r0,0.5020719170570374
signal,binary_functor,10.890358924865723,0.9552879333496094,1,37,11.99264907836914,0.2292899638414383,binary_functor:r0,0.31261324882507324
signal,binary_functor,11.99264907836914,0.8880215287208557,2,37,16.767375946044922,0.41172102093696594,binary_functor:r0,0.46737679839134216
signal,binary_functor,16.767375946044922,0.9554934501647949,3,37,15.611133575439453,0.26523256301879883,binary_functor:r0,0.2957926392555237
nuisance,binary_functor,0.0,0.8172131776809692,0,37,1.755566120147705,0.6694145202636719,binary_functor:r1,0.5856043100357056
nuisance,binary_functor,1.755566120147705,0.7752130031585693,1,37,2.3962793350219727,0.4956516921520233,binary_functor:r1,0.6716875433921814
nuisance,binary_functor,2.3962793350219727,0.9008240699768066,2,37,2.4405357837677,0.3706350326538086,binary_functor:r1,0.5023934841156006
nuisance,binary_functor,2.4405357837677,0.9369316101074219,3,37,2.7367401123046875,0.35923296213150024,binary_functor:r1,0.4602866470813751
signal,binary_functor,9.738350868225098,0.7885723114013672,0,37,10.890358924865723,0.7065461277961731,binary_functor:r1,0.6190041899681091
signal,binary_functor,10.890358924865723,0.9261298775672913,1,37,11.99264907836914,0.2855253517627716,binary_functor:r1,0.3996509313583374
signal,binary_functor,11.99264907836914,0.9808075428009033,2,37,16.767375946044922,0.2359078824520111,binary_functor:r1,0.2186412662267685
signal,binary_functor,16.767375946044922,0.9738032817840576,3,37,15.611133575439453,0.2783551812171936,binary_functor:r1,0.2513355612754822
nuisance,binary_functor,0.0,0.4713234305381775,0,37,1.1795257329940796,1.2223979234695435,binary_functor:r2,1.1726070642471313
nuisance,binary_functor,1.1795257329940796,0.826988160610199,1,37,1.5418018102645874,0.5320407152175903,binary_functor:r2,0.6925853490829468
nuisance,binary_functor,1.5418018102645874,0.973450243473053,2,37,2.102567672729492,0.28317204117774963,binary_functor:r2,0.37752243876457214
nuisance,binary_functor,2.102567672729492,0.9973839521408081,3,37,2.213850736618042,0.06395787745714188,binary_functor:r2,0.08491658419370651
signal,binary_functor,7.914722442626953,0.924090564250946,0,37,7.905503273010254,0.45172443985939026,binary_functor:r2,0.39563003182411194
signal,binary_functor,7.905503273010254,0.928807258605957,1,37,9.995467185974121,0.31881433725357056,binary_functor:r2,0.37195491790771484
signal,binary_functor,9.995467185974121,0.9170481562614441,2,37,10.976717948913574,0.2824183702468872,binary_functor:r2,0.40704649686813354
signal,binary_functor,10.976717948913574,0.9542179107666016,3,37,15.01158332824707,0.2788681089878082,binary_functor:r2,0.3193274438381195
nuisance,contiguous_ngram,0.0,0.6403419971466064,0,37,1.924696683883667,0.7465416789054871,contiguous_ngram:r0,0.7956663370132446
nuisance,contiguous_ngram,1.924696683883667,0.9404987096786499,1,37,2.150238513946533,0.3594694137573242,contiguous_ngram:r0,0.42486122250556946
nuisance,contiguous_ngram,2.150238513946533,0.987616777420044,2,37,2.2314631938934326,0.13255910575389862,contiguous_ngram:r0,0.15702247619628906
nuisance,contiguous_ngram,2.2314631938934326,0.961561918258667,3,37,2.3048055171966553,0.2356998324394226,contiguous_ngram:r0,0.2947523593902588
signal,contiguous_ngram,9.738350868225098,0.8691377639770508,0,37,11.233626365661621,0.4556177258491516,contiguous_ngram:r0,0.5033023357391357
signal,contiguous_ngram,11.233626365661621,0.9327325820922852,1,37,12.81834888458252,0.30246201157569885,contiguous_ngram:r0,0.37963050603866577
signal,contiguous_ngram,12.81834888458252,0.8732614517211914,2,37,17.06069564819336,0.4249820113182068,contiguous_ngram:r0,0.4876778721809387
signal,contiguous_ngram,17.06069564819336,0.9848275780677795,3,37,16.019025802612305,0.15677765011787415,contiguous_ngram:r0,0.17527148127555847
nuisance,contiguous_ngram,0.0,-0.37924641370773315,0,37,1.483713150024414,1.2981892824172974,contiguous_ngram:r1,1.4688736200332642
nuisance,contiguous_ngram,1.483713150024414,0.9100548028945923,1,37,1.8586220741271973,0.40400561690330505,contiguous_ngram:r1,0.416894793510437
nuisance,contiguous_ngram,1.8586220741271973,0.9890202283859253,2,37,6.037121295928955,0.14467372000217438,contiguous_ngram:r1,0.15037629008293152
nuisance,contiguous_ngram,6.037121295928955,0.9975116848945618,3,37,8.037505149841309,0.06543019413948059,contiguous_ngram:r1,0.08109728246927261
signal,contiguous_ngram,9.738350868225098,0.8150853514671326,0,37,11.233626365661621,0.6120004057884216,contiguous_ngram:r1,0.579585611820221
signal,contiguous_ngram,11.233626365661621,0.9128725528717041,1,37,12.81834888458252,0.377655029296875,contiguous_ngram:r1,0.4530676603317261
signal,contiguous_ngram,12.81834888458252,0.9514966011047363,2,37,17.06069564819336,0.4168642461299896,contiguous_ngram:r1,0.35614392161369324
signal,contiguous_ngram,17.06069564819336,0.9722909331321716,3,37,16.019025802612305,0.30289939045906067,contiguous_ngram:r1,0.24900001287460327
nuisance,contiguous_ngram,0.0,0.06615463644266129,0,37,1.1042195558547974,1.7668633460998535,contiguous_ngram:r2,1.767452359199524
nuisance,contiguous_ngram,1.1042195558547974,0.677221417427063,1,37,1.3523690700531006,0.6581197381019592,contiguous_ngram:r2,0.8298898935317993
nuisance,contiguous_ngram,1.3523690700531006,0.9956966638565063,2,37,1.4929786920547485,0.07618501037359238,contiguous_ngram:r2,0.0970102995634079
nuisance,contiguous_ngram,1.4929786920547485,0.9983593225479126,3,37,1.4067845344543457,0.05597842112183571,contiguous_ngram:r2,0.05947680398821831
signal,contiguous_ngram,7.914722442626953,0.905149519443512,0,37,7.892855167388916,0.41679540276527405,contiguous_ngram:r2,0.4283325970172882
signal,contiguous_ngram,7.892855167388916,0.9657496213912964,1,37,9.438746452331543,0.21757611632347107,contiguous_ngram:r2,0.2603054940700531
signal,contiguous_ngram,9.438746452331543,0.9446499943733215,2,37,10.101170539855957,0.2605612277984619,contiguous_ngram:r2,0.3395845293998718
signal,contiguous_ngram,10.101170539855957,0.943497896194458,3,37,11.82183837890625,0.2830212712287903,contiguous_ngram:r2,0.3313927948474884
nuisance,skip_gram,0.0,0.13542106747627258,0,37,2.0561723709106445,2.241705894470215,skip_gram:r0,1.7870591878890991
nuisance,skip_gram,2.0561723709106445,0.7724391222000122,1,37,2.6585185527801514,0.6342904567718506,skip_gram:r0,0.664973795413971
nuisance,skip_gram,2.6585185527801514,0.9937002062797546,2,37,2.771692991256714,0.08201555907726288,skip_gram:r0,0.11249255388975143
nuisance,skip_gram,2.771692991256714,0.9986169338226318,3,37,2.7802717685699463,0.04397260397672653,skip_gram:r0,0.052837781608104706
signal,skip_gram,9.738350868225098,0.9232803583145142,0,37,12.428747177124023,0.3638470768928528,skip_gram:r0,0.39346951246261597
signal,skip_gram,12.428747177124023,0.959254801273346,1,37,15.273141860961914,0.23864774405956268,skip_gram:r0,0.28727996349334717
signal,skip_gram,15.273141860961914,0.9059572815895081,2,37,20.65574836730957,0.3747899532318115,skip_gram:r0,0.43752387166023254
signal,skip_gram,20.65574836730957,0.9847602248191833,3,37,24.14188003540039,0.16941820085048676,skip_gram:r0,0.1828826367855072
nuisance,skip_gram,0.0,0.6981950998306274,0,37,1.425722599029541,1.0981239080429077,skip_gram:r1,0.8804507255554199
nuisance,skip_gram,1.425722599029541,0.9756571650505066,1,37,3.538268804550171,0.23328064382076263,skip_gram:r1,0.23546268045902252
