final_correct,first_top1_layer,generator_family,model_seed,nuisance_count,predictive_family_id,settling_delay,stable_top1_layer,surface_identity_id,top1_reversal_count
1,4,skip_gram,11,4,skip_gram:r2,0,4,test:11,1
1,2,skip_gram,11,8,skip_gram:r2,0,2,test:11,1
1,4,skip_gram,11,0,skip_gram:r2,0,4,test:2,1
1,4,skip_gram,11,4,skip_gram:r2,0,4,test:2,1
1,4,skip_gram,11,8,skip_gram:r2,0,4,test:2,1
1,4,skip_gram,11,0,skip_gram:r2,0,4,test:3,1
1,4,skip_gram,11,4,skip_gram:r2,0,4,test:3,1
1,2,skip_gram,11,8,skip_gram:r2,0,2,test:3,1
1,4,skip_gram,11,0,skip_gram:r2,0,4,test:4,1
1,4,skip_gram,11,4,skip_gram:r2,0,4,test:4,1
1,4,skip_gram,11,8,skip_gram:r2,0,4,test:4,1
1,4,skip_gram,11,0,skip_gram:r2,0,4,test:5,1
1,4,skip_gram,11,4,skip_gram:r2,0,4,test:5,1
1,3,skip_gram,11,8,skip_gram:r2,0,3,test:5,1
1,4,skip_gram,11,0,skip_gram:r2,0,4,test:6,1
1,4,skip_gram,11,4,skip_gram:r2,0,4,test:6,1
1,4,skip_gram,11,8,skip_gram:r2,0,4,test:6,1
1,4,skip_gram,11,0,skip_gram:r2,0,4,test:7,1
1,4,skip_gram,11,4,skip_gram:r2,0,4,test:7,1
1,3,skip_gram,11,8,skip_gram:r2,0,3,test:7,1
1,4,skip_gram,11,0,skip_gram:r2,0,4,test:8,1
1,4,skip_gram,11,4,skip_gram:r2,0,4,test:8,1
1,4,skip_gram,11,8,skip_gram:r2,0,4,test:8,1
1,4,skip_gram,11,0,skip_gram:r2,0,4,test:9,1
1,4,skip_gram,11,4,skip_gram:r2,0,4,test:9,1
1,4,skip_gram,11,8,skip_gram:r2,0,4,test:9,1
1,2,binary_functor,23,0,binary_functor:r0,4,6,test:0,5
1,2,binary_functor,23,4,binary_functor:r0,4,6,test:0,5
1,4,binary_functor,23,8,binary_functor:r0,2,6,test:0,3
1,2,binary_functor,23,0,binary_functor:r0,4,6,test:1,5
1,2,binary_functor,23,4,binary_functor:r0,2,4,test:1,3
1,4,binary_functor,23,8,binary_functor:r0,3,7,test:1,3
