R,between_family_JS,boundary,chi_representation,class_centroid_separation,correct_target_signal,depth_index,fluctuation_variance,fraction_stably_top1,fraction_top1,generator_family,margin_snr,mean_output_entropy,mean_target_logprob,mean_target_margin,mean_target_probability,mean_target_rank,model_seed,n_realizations,nuisance_count,predictive_family_id,q_representation,representation_covariance_trace,robust_margin_snr,var_target_margin,var_target_probability,within_family_JS
11.166257188526838,0.5201366790920455,layer2_post_block,0.05486403282960965,123.9775696123282,0.7234665552775065,6,1.3906240182984193,0.8333333333333334,0.8333333333333334,binary_functor,0.6134986262213697,1.398912861943245,-0.6493992966910204,0.7234665552775065,0.5801900910834471,1.1666666666666667,11,12,8,binary_functor:r1,6.80190944934599,4.6041832426034,0.7773880458129568,1.3906240182984193,0.04508712819059608,0.04658111221246795
3160.80862151883,0.749770605822998,layer3_post_sa,0.054290659624778345,127.87688820832945,7.736504316329956,7,1.6077570382152648,1.0,1.0,binary_functor,6.1014711357858715,0.014066480410595735,-0.001177644027241816,7.736504316329956,0.9988236973683039,1.0,11,12,8,binary_functor:r1,6.9425206115942455,4.720363448556763,4.8646854328759686,1.6077570382152648,1.4114247906723185e-06,0.00023720847909568113
8490.479216383706,0.7496735626208104,layer3_post_block,0.06654098350745188,169.6271871359773,9.09771211942037,8,1.6426314675229745,1.0,1.0,binary_functor,7.098426989869953,0.005127619852525338,-0.00036499478604431107,9.09771211942037,0.9996351500352224,1.0,11,12,8,binary_functor:r1,11.287159861630519,6.240018213347887,7.447369228670567,1.6426314675229745,1.7051006026642399e-07,8.829578914393879e-05
74999977.09067467,0.7499997709067466,pre_sa,0.0,55.03524797047682,-34.77964782714844,0,0.0,0.0,0.0,binary_functor,-347796.4782714844,6.107893568696454e-07,-34.77964782714844,-34.77964782714844,7.859426546972745e-16,48.0,11,12,0,binary_functor:r2,0.0,0.0,-3477964782.7148438,0.0,0.0,0.0
74999983.46255495,0.7499998346255495,layer0_post_sa,0.0,71.84293877184456,-28.32984733581543,1,0.0,0.0,0.0,binary_functor,-283298.4733581543,3.187732545484323e-06,-28.32984733581543,-28.32984733581543,4.971684956084355e-13,23.0,11,12,0,binary_functor:r2,0.0,0.0,-2832984733.581543,0.0,0.0,0.0
75093468.26285537,0.7509346826285537,layer0_post_block,0.0,74.03362215980935,-4.041685104370117,2,0.0,0.0,0.0,binary_functor,-40416.85104370117,0.14532305300235748,-4.06071138381958,-4.041685104370117,0.017236752435564995,2.0,11,12,0,binary_functor:r2,0.0,0.0,-404168510.4370117,0.0,0.0,0.0
71970914.93690817,0.7197091493690817,layer1_post_sa,0.0,96.07149584648445,-2.3566341400146484,3,0.0,0.0,0.0,binary_functor,-23566.341400146484,0.6211076378822327,-2.478921413421631,-2.3566341400146484,0.08383359760046005,2.0,11,12,0,binary_functor:r2,0.0,0.0,-235663414.00146484,0.0,0.0,0.0
66231917.65952183,0.6623191765952183,layer1_post_block,0.0,118.77287365456644,1.7099323272705078,4,0.0,1.0,1.0,binary_functor,17099.323272705078,0.7993575930595398,-0.196137472987175,1.7099323272705078,0.8218992352485657,1.0,11,12,0,binary_functor:r2,0.0,0.0,170993232.72705078,0.0,0.0,0.0
65304134.8259465,0.653041348259465,layer2_post_sa,0.0,143.7087460138189,0.9638729095458984,5,0.0,1.0,1.0,binary_functor,9638.729095458984,0.9381741285324097,-0.33476701378822327,0.9638729095458984,0.7155047655105591,1.0,11,12,0,binary_functor:r2,0.0,0.0,96387290.95458984,0.0,0.0,0.0
65806025.649001844,0.6580602564900184,layer2_post_block,0.0,187.47695533864376,0.633636474609375,6,0.0,1.0,1.0,binary_functor,6336.36474609375,0.9516333341598511,-0.42734619975090027,0.633636474609375,0.6522377133369446,1.0,11,12,0,binary_functor:r2,0.0,0.0,63363647.4609375,0.0,0.0,0.0
75457394.27944857,0.7545739427944858,layer3_post_sa,0.0,192.2917962102406,7.560004234313965,7,0.0,1.0,1.0,binary_functor,75600.04234313965,0.008804267272353172,-0.0006710157613269985,7.560004234313965,0.9993292093276978,1.0,11,12,0,binary_functor:r2,0.0,0.0,756000423.4313965,0.0,0.0,0.0
77635225.26816475,0.7763522526816475,layer3_post_block,0.0,322.55687266821667,10.352447509765625,8,0.0,1.0,1.0,binary_functor,103524.47509765625,0.0013442040653899312,-7.677372923353687e-05,10.352447509765625,0.9999232292175293,1.0,11,12,0,binary_functor:r2,0.0,0.0,1035244750.9765625,0.0,0.0,0.0
74999977.09067467,0.7499997709067466,pre_sa,0.0,55.03524797047682,-34.77964782714844,0,0.0,0.0,0.0,binary_functor,-347796.4782714844,6.107893568696454e-07,-34.77964782714844,-34.77964782714844,7.859426546972745e-16,48.0,11,12,4,binary_functor:r2,0.0,0.0,-3477964782.7148438,0.0,0.0,0.0
3371053.2525960607,0.7499990850929681,layer0_post_sa,0.05375139013066238,67.87210484899015,-28.60423692067464,1,3.96087986027443,0.0,0.0,binary_functor,-14.372573262470164,1.2177321157954188e-05,-28.6042373975118,-28.60423692067464,4.0462860113280735e-12,27.333333333333332,11,12,4,binary_functor:r2,3.648219986727291,5.710553195088071,-27.366713979675982,3.96087986027443,1.219450800861277e-22,2.2248212321042124e-07
64.66510239358277,0.7463483004997169,layer0_post_block,0.05132092573477626,71.0371645493526,-2.1912872791290283,2,0.5790489048808716,0.0,0.0,binary_functor,-2.879663167245545,0.5709330489238104,-2.333817313114802,-2.1912872791290283,0.11918047660340865,2.0,11,12,4,binary_functor:r2,3.6456930462464054,5.4353861115231545,-3.59780238412957,0.5790489048808716,0.007067573296309338,0.01154174775688259
8.836516798567562,0.5894814215150428,layer1_post_sa,0.051400096617966684,86.97594595761784,-0.9928943316141764,3,0.6378580476545693,0.0,0.08333333333333333,binary_functor,-1.2432000196030402,1.345313514272372,-1.620461955666542,-0.9928943316141764,0.22520806640386581,2.3333333333333335,11,12,4,binary_functor:r2,4.470572025660606,5.740464298187079,-1.3891750841712827,0.6378580476545693,0.01449766914821491,0.0667097041687965
