accuracy,axis,cell_id,competent,examples,generator_family,head_count,mean_margin,mean_rank,mean_stable_layer_when_correct,model_depth,model_seed,model_width,nuisance_count,predictive_order,raw_length,requested_dependency_span,training_budget
1,raw_length,e9e9842f144b,1,32,necessary_pattern,4,8.831128537654877,1,1.46875,2,37,64,0,2,4,4,2
1,dependency_span,0c9a5ad51bfa,1,32,skip_gram,4,11.467055976390839,1,3.78125,8,11,32,0,2,12,8,2
1,dependency_span,239494a22bda,1,32,skip_gram,4,11.257622480392456,1,4.1875,8,11,32,0,2,12,4,2
1,dependency_span,516d5f3a8cea,1,32,skip_gram,4,10.425400078296661,1,2.34375,8,11,32,0,2,12,2,2
1,dependency_span,7a494b2e93f4,1,32,skip_gram,4,11.370611250400543,1,4.5625,8,11,32,0,2,12,16,2
1,dependency_span,cdd05bfab044,1,32,skip_gram,4,11.347713679075241,1,4.1875,8,11,32,0,2,12,32,2
1,generator_family,64e7c9b15cd9,1,32,contiguous,4,5.654302567243576,1,2.15625,8,11,32,0,2,12,2,2
1,generator_family,cd72217c00e4,1,32,necessary_pattern,4,11.678745090961456,1,3.28125,8,11,32,0,2,12,4,2
1,generator_family,dad81f86a87c,1,32,skip_gram,4,11.257622480392456,1,4.1875,8,11,32,0,2,12,4,2
1,nuisance,0ebbf95b3e38,1,32,necessary_pattern,4,11.821137517690659,1,3.6875,8,11,32,4,2,12,4,2
1,nuisance,7a6b0b00032a,1,32,necessary_pattern,4,11.945995211601257,1,3.65625,8,11,32,8,2,12,4,2
1,nuisance,888714c4e48e,1,32,necessary_pattern,4,11.678744316101074,1,3.28125,8,11,32,0,2,12,4,2
1,nuisance,9fe6cfcfa630,1,32,necessary_pattern,4,12.011188954114914,1,3.6875,8,11,32,16,2,12,4,2
1,nuisance,b7046cfe3bf0,1,32,necessary_pattern,4,11.467178076505661,1,3.5625,8,11,32,32,2,12,4,2
1,nuisance,ca9c5624dbda,1,32,necessary_pattern,4,11.916365176439285,1,3.375,8,11,32,2,2,12,4,2
0.59375,predictive_order,2368e64e6ae0,0,32,necessary_pattern,4,1.167484164237976,1.84375,2.526315789473684,8,11,32,0,3,12,4,2
0.3125,predictive_order,30712ebe71a9,0,32,necessary_pattern,4,-0.5117896497249603,2.59375,6.2,8,11,32,0,8,12,8,2
1,predictive_order,3c1c7bde239d,1,32,necessary_pattern,4,8.24646407365799,1,5.75,8,11,32,0,1,12,4,2
0.125,predictive_order,96300ccbcaee,0,32,necessary_pattern,4,-0.8245221376419067,2.8125,4.5,8,11,32,0,6,12,6,2
0.28125,predictive_order,a5891a5b16d7,0,32,necessary_pattern,4,-0.4471489489078522,2.59375,5.555555555555555,8,11,32,0,12,12,12,2
0.21875,predictive_order,ecae3be4326f,0,32,necessary_pattern,4,-0.5261218547821045,2.5,5.0,8,11,32,0,4,12,4,2
1,predictive_order,f306bd7c1d91,1,32,necessary_pattern,4,11.678744316101074,1,3.28125,8,11,32,0,2,12,4,2
1,raw_length,07cdc0054772,1,32,necessary_pattern,4,11.858299791812897,1,4.15625,8,11,32,0,2,2,4,2
1,raw_length,5b3975d8947d,1,32,necessary_pattern,4,11.858299791812897,1,4.15625,8,11,32,0,2,3,4,2
1,raw_length,5bed8b907b14,1,32,necessary_pattern,4,11.565100967884064,1,4.46875,8,11,32,0,2,16,4,2
1,raw_length,6ee96a3ceda6,1,32,necessary_pattern,4,11.085411846637726,1,3.40625,8,11,32,0,2,8,4,2
1,raw_length,9cb22f271bee,1,32,necessary_pattern,4,11.457044452428818,1,4.4375,8,11,32,0,2,24,4,2
1,raw_length,dcb8f7366193,1,32,necessary_pattern,4,11.678744316101074,1,3.28125,8,11,32,0,2,12,4,2
1,raw_length,def8612efd03,1,32,necessary_pattern,4,11.30557894706726,1,3.46875,8,11,32,0,2,6,4,2
1,raw_length,e9e9842f144b,1,32,necessary_pattern,4,11.858299791812897,1,4.15625,8,11,32,0,2,4,4,2
0.84375,dependency_span,0c9a5ad51bfa,1,32,skip_gram,4,2.6307325065135956,1.3125,2.2962962962962963,8,23,32,0,2,12,8,2
0.84375,dependency_span,239494a22bda,1,32,skip_gram,4,3.163041889667511,1.3125,2.111111111111111,8,23,32,0,2,12,4,2
0.84375,dependency_span,516d5f3a8cea,1,32,skip_gram,4,2.729378640651703,1.3125,2.5185185185185186,8,23,32,0,2,12,2,2
0.8125,dependency_span,7a494b2e93f4,1,32,skip_gram,4,2.4254304468631744,1.40625,2.230769230769231,8,23,32,0,2,12,16,2
0.8125,dependency_span,cdd05bfab044,1,32,skip_gram,4,2.6007611453533173,1.40625,2.230769230769231,8,23,32,0,2,12,32,2
0.96875,generator_family,64e7c9b15cd9,1,32,contiguous,4,2.607230842113495,1.03125,2.129032258064516,8,23,32,0,2,12,2,2
1,generator_family,cd72217c00e4,1,32,necessary_pattern,4,2.9454708099365234,1,2.3125,8,23,32,0,2,12,4,2
0.84375,generator_family,dad81f86a87c,1,32,skip_gram,4,3.163041889667511,1.3125,2.111111111111111,8,23,32,0,2,12,4,2
0.96875,nuisance,0ebbf95b3e38,1,32,necessary_pattern,4,2.8206519186496735,1.03125,2.2903225806451615,8,23,32,4,2,12,4,2
0.96875,nuisance,7a6b0b00032a,1,32,necessary_pattern,4,2.546896308660507,1.03125,2.5161290322580645,8,23,32,8,2,12,4,2
1,nuisance,888714c4e48e,1,32,necessary_pattern,4,2.9454702138900757,1,2.3125,8,23,32,0,2,12,4,2
0.90625,nuisance,9fe6cfcfa630,1,32,necessary_pattern,4,1.8924887776374817,1.125,2.896551724137931,8,23,32,16,2,12,4,2
0.75,nuisance,b7046cfe3bf0,0,32,necessary_pattern,4,1.0012521147727966,1.28125,4.041666666666667,8,23,32,32,2,12,4,2
1,nuisance,ca9c5624dbda,1,32,necessary_pattern,4,2.9040437936782837,1,2.28125,8,23,32,2,2,12,4,2
0.25,predictive_order,2368e64e6ae0,0,32,necessary_pattern,4,-1.6838640868663788,2.46875,2.625,8,23,32,0,3,12,4,2
0.3125,predictive_order,30712ebe71a9,0,32,necessary_pattern,4,-1.0837542116641998,2.5,4.3,8,23,32,0,8,12,8,2
0.25,predictive_order,3c1c7bde239d,0,32,necessary_pattern,4,1.4627201557159424,1.75,1.0,8,23,32,0,1,12,4,2
0.3125,predictive_order,96300ccbcaee,0,32,necessary_pattern,4,-0.3889959454536438,2.21875,2.8,8,23,32,0,6,12,6,2
0.21875,predictive_order,a5891a5b16d7,0,32,necessary_pattern,4,-1.10079425573349,2.34375,4.0,8,23,32,0,12,12,12,2
0.28125,predictive_order,ecae3be4326f,0,32,necessary_pattern,4,-0.9304612576961517,2.4375,3.111111111111111,8,23,32,0,4,12,4,2
1,predictive_order,f306bd7c1d91,1,32,necessary_pattern,4,2.9454702138900757,1,2.3125,8,23,32,0,2,12,4,2
0.9375,raw_length,07cdc0054772,1,32,necessary_pattern,4,2.7527879774570465,1.0625,2.1333333333333333,8,23,32,0,2,2,4,2
0.9375,raw_length,5b3975d8947d,1,32,necessary_pattern,4,2.7527879774570465,1.0625,2.1333333333333333,8,23,32,0,2,3,4,2
0.9375,raw_length,5bed8b907b14,1,32,necessary_pattern,4,2.497080475091934,1.0625,2.2,8,23,32,0,2,16,4,2
0.9375,raw_length,6ee96a3ceda6,1,32,necessary_pattern,4,2.3800939321517944,1.0625,2.2666666666666666,8,23,32,0,2,8,4,2
0.9375,raw_length,9cb22f271bee,1,32,necessary_pattern,4,2.4866946935653687,1.0625,2.566666666666667,8,23,32,0,2,24,4,2
1,raw_length,dcb8f7366193,1,32,necessary_pattern,4,2.9454702138900757,1,2.3125,8,23,32,0,2,12,4,2
0.90625,raw_length,def8612efd03,1,32,necessary_pattern,4,2.235557496547699,1.15625,2.103448275862069,8,23,32,0,2,6,4,2
0.9375,raw_length,e9e9842f144b,1,32,necessary_pattern,4,2.7527879774570465,1.0625,2.1333333333333333,8,23,32,0,2,4,4,2
0.59375,dependency_span,0c9a5ad51bfa,0,32,skip_gram,4,0.20366233587265015,1.40625,2.3157894736842106,8,37,32,0,2,12,8,2
0.625,dependency_span,239494a22bda,0,32,skip_gram,4,0.17250746488571167,1.375,3.2,8,37,32,0,2,12,4,2
0.625,dependency_span,516d5f3a8cea,0,32,skip_gram,4,0.222774475812912,1.375,3.0,8,37,32,0,2,12,2,2
0.71875,dependency_span,7a494b2e93f4,0,32,skip_gram,4,0.3587340712547302,1.28125,2.869565217391304,8,37,32,0,2,12,16,2
0.625,dependency_span,cdd05bfab044,0,32,skip_gram,4,0.2781807482242584,1.375,3.45,8,37,32,0,2,12,32,2
0.65625,generator_family,64e7c9b15cd9,0,32,contiguous,4,0.20918655395507812,1.34375,2.5714285714285716,8,37,32,0,2,12,2,2
0.75,generator_family,cd72217c00e4,0,32,necessary_pattern,4,0.5437942445278168,1.25,2.5,8,37,32,0,2,12,4,2
0.625,generator_family,dad81f86a87c,0,32,skip_gram,4,0.17250746488571167,1.375,3.2,8,37,32,0,2,12,4,2
0.71875,nuisance,0ebbf95b3e38,0,32,necessary_pattern,4,0.7461400032043457,1.28125,2.0869565217391304,8,37,32,4,2,12,4,2
0.6875,nuisance,7a6b0b00032a,0,32,necessary_pattern,4,0.7951601147651672,1.3125,2.0454545454545454,8,37,32,8,2,12,4,2
0.75,nuisance,888714c4e48e,0,32,necessary_pattern,4,0.5437948703765869,1.25,2.5,8,37,32,0,2,12,4,2
0.71875,nuisance,9fe6cfcfa630,0,32,necessary_pattern,4,0.8943634033203125,1.28125,1.9565217391304348,8,37,32,16,2,12,4,2
0.6875,nuisance,b7046cfe3bf0,0,32,necessary_pattern,4,0.8077207803726196,1.3125,1.7727272727272727,8,37,32,32,2,12,4,2
0.75,nuisance,ca9c5624dbda,0,32,necessary_pattern,4,0.7886102795600891,1.25,2.25,8,37,32,2,2,12,4,2
0.40625,predictive_order,2368e64e6ae0,0,32,necessary_pattern,4,-0.06127721071243286,1.6875,5.076923076923077,8,37,32,0,3,12,4,2
0.28125,predictive_order,30712ebe71a9,0,32,necessary_pattern,4,-0.28429701924324036,2.40625,7.222222222222222,8,37,32,0,8,12,8,2
